xoreupdvad,migpitdwnk,sblfkpcjxx,zfravldiaw,lnqxxdhdmh,folwwbovfi,idgvrybxln
-0.4525,jdjyqdjvln,mryfvylleo,jknkrigrwv,utcuyesboh,0.1705,athhpyknvh
-0.2375,-235,-0.447,nupxxparmo,ccpwyvnkpi,faenpeedew,xlijkaxpej
CAt,-0.1985,-473,caT,-0.111,gkwcdhqlkd,-170
-0.449,bwwfuytlly,-0.433,-0.2075,caT,cogozplcxg,agvldqtnec
769,0.0355,ojxfgzagmn,540,939,311,-0.4765
-921,cowzypgoaa,0.0565,dOg,DOg,-0.012,rylcbhshjc
-12,DOG,npqqbqqivq,0.376,-0.248,caT,CAT
-528,ctuhyxljjm,942,-259,-0.1085,yikgallxtg,-883
707,-855,-0.024,0.369,dOG,-0.0405,-43
0.4405,-623,-0.3435,-774,0.4945,768,irigdwbkfm
-659,eaoqfhiaji,dOG,-0.2265,913,459,egcxzzebiu
cAT,-417,349,nllhptgkaw,-551,-0.259,cAT
uqiiupkkcj,-879,-0.0045,-0.459,105,cAT,-0.1145
-517,0.3545,-0.4605,-0.4555,dOg,521,gmhoevtmkt
wwvgnnform,ubryrhlgpe,cyhuxskkax,eifvitwhwo,-990,cat,CAt
-776,dOG,DOg,-31,951,cat,-202
-25,0.3495,-393,-0.379,DoG,-0.218,165
ugmeaffqur,szanyxncks,cyunmtsagq,CaT,dog,-479,-0.312
asezdgbnzi,DOG,vdghzmalob,0.256,-273,CAT,-462
doG,-0.358,Cat,534,0.2125,loapwjleof,-480
-570,kpivbujten,dOG,qunsemujpg,0.144,Cat,487
xgaxutclyv,-962,ywonnmyjjj,icjtazgxeq,-0.392,470,0.1265
-396,tjpujtqneh,-897,-0.3315,-3,jqocanprvy,0.19
lheinzzedm,ybpuhnbzeb,0.1405,-687,-781,0.343,kaxpydgtil
-0.3965,DoG,dOG,-959,-0.4855,0.353,CAt
0.495,-0.263,0.202,-0.082,irbrfravjx,Cat,zmdbhvgbkc
nqnomjaizy,jlfsjegnjx,tahuyvssbm,-0.424,CaT,-0.2085,membpquhrs
0.408,DOG,579,-485,824,-363,hqxukanymk
Cat,346,aqfvdhqevq,-0.038,zwyoagxmut,mzahnlcoln,0.495
caT,mxulhmomtw,DOG,919,-344,Cat,-0.308
-178,cAT,0.0005,605,shranaytfn,-0.1665,-461
-0.353,aylfhchipt,CaT,-0.072,kuknaxhluu,-0.003,651
DoG,-950,475,dOG,jupdydwxkn,gmuqtwtara,256
kzpcdboqxs,zntbcrmspv,0.068,Dog,674,-0.27,CAT
aaopbmvhbr,hcebsweqgy,0.1435,dOg,mbcvpheqin,-573,0.401
laimlghaoe,lqrfofwzty,-302,doG,-344,doG,bhobzqnxan
cat,-430,27,doG,108,rgljuqilep,403
Dog,13,-89,xcbwuquovq,mckdjfpufy,0.0725,-0.438
cAt,0.3275,ffldmprlap,0.3515,qrlevzcdqu,dOG,-470
DOg,695,uksetcrciq,847,eemfcagotl,Dog,DOG
ralvdrmygc,dOg,-578,2,666,-231,cAT
cat,xftwojepoc,-0.105,CaT,vtddfvcuac,391,szyxlktpuh
162,-658,0.428,0.3895,dtbprrylfz,xyfxegqgwr,dog
-0.18,688,Dog,0.1485,-379,dOG,Dog
eaygairlmd,qiamooglfd,masvhbyzyk,doG,dkyuhyocke,0.2665,CAt
0.038,kvdwgncddr,Dog,-270,mqgxvlfzlp,cAt,-270
kjeptnmhnu,0.0505,DOG,0.437,286,622,217
