mmeklbxsib,qxonnwoglv,tntedrsvul
oeumgxdjyr,ortizyjqjk,0.498
-0.311,-825,ybvreubxgp
ykdbpayoey,-0.075,DOg
dog,-0.391,0.0735
tqdfmqsqlu,500,-0.0295
Dog,gzftittras,-0.3655
-0.0955,0.1055,-0.484
cat,ismpqgcqhn,djpijlnxgj
0.412,0.195,CAt
-0.211,dmnhelrwdi,574
-657,cAt,yzrcivfira
brrkgqwayq,641,zteknicksg
-201,smcxywlaac,733
0.1385,78,0.4365
vbnqzglphj,-180,bleeziiewl
0.1075,0.108,dvzdbnrpjh
sggjcuyrus,-0.342,0.3775
bhgednbpqh,-137,odkrckqtmj
gtjvpoyfca,-872,ddkupinuhg
dOg,768,-0.052
-0.333,816,qgtsqgjgll
cAt,0.298,993
458,ebggkmdraq,-0.218
CAt,huaashtcbj,-0.4965
oonhegwfli,611,0.217
jxhmzdlrft,658,0.216
upjxppzauo,syvynsyark,-530
-0.0955,DOg,-215
-102,hvqikwsctf,Dog
136,-0.005,829
0.433,629,lyrxorxsnp
-821,uavogvirir,-905
pywgaeentu,441,-343
-0.342,opnbimemxi,dvmhivvkkd
-284,dog,Dog
-154,-332,400
-0.125,cat,-817
175,0.447,xdynilzdwq
0.387,0.2645,zeyfsgpnxr
0.1305,234,vaktwltcvu
DoG,463,-0.2845
zprzxwiqaf,dOg,0.4345
DoG,0.0375,tqqliqkush
vmfkytzssf,0.136,weolrzdxpl
-0.363,0.465,-827
-0.4505,15,kupeputpat
tpudowodfb,308,-0.3035
kadalhxueb,-0.4405,-0.3945
wcmazeudqm,0.455,gjekmmozld
0.245,-850,yeyyhnzstw
0.1495,0.337,-0.1985
myqxyvfoqg,wojpnrhgoq,0.119
-282,-0.1685,43
296,-920,0.2845
CAT,pcydvwhfwn,doG
-0.265,254,qrnlyrfwyj
-772,itnxngdftu,0.0575
yfqjgckgwy,723,dadamkzpjo
DOg,0.397,-0.0005
-477,-0.113,295
200,958,doG
363,yfokeexfky,0.103
-346,pmmlgbovpg,-637
-0.0515,jivciwjiau,-145
Dog,0.1285,-0.3345
-0.312,qhfvmmnlaz,-0.1285
-0.419,surbumbzmz,-0.446
dog,370,CAt
0.219,37,gieikftlij
mcgiqsvumk,czekturfkj,wxoraovvsr
tdfgxdyjte,evvjxymtuv,-0.3245
0.488,0.0325,0.01
DoG,408,-380
352,sgfdtvoilf,caT
-748,ppqxfohmkz,0.4595
utpdfektmq,0.0025,jihaqizayh
reiugmxchf,233,CAT
-0.391,hrkbksjnnm,846
DOg,uhwluhhxop,0.469
0.478,caT,408
-0.1465,wqauirudub,ikzeuctiiu
-154,-0.4525,mreqikrnrl
DOG,0.06,ddfbrsbdbf
epktctvhtv,-0.128,0.2575
dOG,983,dkpeyutagu
0.006,-0.332,-309
caT,wcbximmpdo,0.213
