hrpjvjbnpx,hagfkkttfr,tocarwiqig,uymqtwjhgx,ygxylridfa,hhotipyiuy
Dog,nvuppooifo,525,-664,-562,mwajcjnglf
0.188,-0.367,qmdfflcekd,jbgmobkmxc,yfzxfrzrcf,zlbnkqemfm
Dog,CAT,-0.241,-778,0.009,11
lyevzneahy,dOG,Dog,CaT,161,297
117,977,0.073,-253,-56,884
-705,CAt,yaxevvsjzi,yyqqpkwxsw,72,309
nxmaohechn,cAT,0.176,-0.3415,0.1145,DOG
DOG,0.2765,-740,cat,Dog,-479
0.472,-0.405,-0.0625,-0.4865,-0.3275,ezuuymdbaw
204,texrdszzyu,-470,pnchwzkvyn,-0.2435,DOG
-820,112,-0.1595,doG,-549,Cat
ijqpxuqaum,Cat,43,-267,DOg,-683
DOg,-132,732,326,894,0.302
0.4375,0.437,0.181,-0.3315,-15,-0.3005
yzfghxdgux,0.205,-0.0335,doG,-47,gikqlcwzlv
-739,546,-0.098,ayriouydnb,-0.014,aqijdkqfac
yvzcuylems,751,swmodgpxpn,efqorhuwhf,covcupfpst,ihfxsgkwhz
-341,808,CAT,givjpqcjql,-97,swxnfvzwbg
Dog,-0.1015,qcneomyqdw,ynosyxpqvi,948,-185
Cat,0.214,-0.197,cAt,ejgwwpycdz,-0.114
uarvqmecuw,257,317,cAT,DOg,0.4685
pbgtbayjrf,-0.137,doG,doG,cAt,nlbjjppeye
-0.398,0.082,zszydkpypx,0.331,qwnjfcxfop,975
xcmeolzicg,-0.0585,-308,ijshwslgjg,CaT,736
0.2325,-0.27,518,CAT,0.3855,0.082
759,764,625,0.1885,0.4715,-138
havzmqzjrz,-0.448,umuepccdwc,0.472,jovvfcgjxo,pqnbeksflj
-684,cAt,0.388,dOG,olcglgooyu,-0.0405
vgcagofnpf,uslkyzcait,833,796,vdflgwhbhg,0.0985
-95,658,-0.138,285,cAT,cat
uzrmcysuen,0.2825,gbovjqukjt,0.0545,hnrsfxxcqk,-435
zfupdjonwt,-110,CAt,0.006,rzfevlrgzw,-213
unslhduoqs,jxvxdujale,bxkimytwyv,-297,-435,bpbgbhzglc
-0.032,Cat,doG,-229,0.075,cAt
