gsjoerpjmk,yumymzmaun,mjakewstsl
-17,cat,nhhtlmeigd
cAt,zmtpmqknps,0.4665
557,ertxoibjqf,Cat
0.288,786,417
hcznkyuogz,0.114,xvjvoxarzs
kroozwdwjh,108,tomqabwskp
-0.14,ppcgmyvigv,32
-0.1935,-935,dog
cznfnnmmph,-0.4,-0.075
DoG,-260,Cat
crxknwfual,CAT,906
216,obqptxgidq,mujzddsghn
-619,-265,781
925,0.059,dOG
-611,cat,-0.434
-750,-326,daoqierakv
923,fwrqpgwfsu,ktoicrjsnz
280,DOG,hluwxwwoew
ivlvoldqox,cAT,doG
gpxchmzhas,-0.2415,Cat
vedwowsenc,578,0.29
0.1225,-500,vclqjgjkex
cAT,0.2685,0.1925
vytrabpdfi,-119,0.0915
wjyarmtmvj,hwzhplpouf,-0.4645
dkmpbwnpws,CAt,0.1385
trnizgqnvq,-0.2835,-426
-0.0615,cAT,590
guknegyovo,428,0.4515
CAt,184,854
roqiszvlkr,-0.4995,0.456
611,0.02,0.407
-492,-611,-0.4955
0.114,DOg,-0.379
-197,kqwbulcuys,570
dog,pfnnnktktj,hcdkfsfsho
-82,0.255,-0.2775
dtmvthtczz,DOg,irnmtgaevs
puiujaswhg,0.357,cAt
CaT,151,caT
-0.2885,cAT,436
-0.401,-0.0495,140
536,-0.4735,403
Dog,0.245,doG
doG,fketlfhhew,mysddmlcvx
-464,-0.0805,-686
cAT,-0.0195,-0.339
swkjobwjam,-0.2685,mlnoraybdp
885,-495,0.3625
-0.259,-0.1565,xblvlorhuh
0.2475,ueerplupve,dOG
751,-0.384,0.199
DoG,0.45,CAt
0.1505,Dog,serctnuhfc
-876,Dog,-0.336
621,skdulojgyh,lkmicozyid
qqotzyvskb,-0.254,DoG
aabqdctypn,58,998
