pET,sdaerotpxz,yzbckchyme
cAT,-60,0.274
Dog,785,-689
qpwxljadzh,0.4565,dog
dOG,-0.0805,0.0995
dog,svaglvscmi,0.398
0.1005,-0.2125,-0.3385
CaT,hhlxydzjak,dOG
Cat,-160,475
wwyzvciohg,-856,640
doG,hrewuccweo,69
caT,-0.19,-0.152
CAT,-832,oozwsiloxf
DoG,668,difidyzxdi
dog,qjdvpcmcws,-108
doG,dog,jajbaxnwys
CAT,0.138,jolmwvtrmi
CAt,uikyyarspj,-0.0835
28,108,0.254
0.261,-0.4765,0.2915
dOg,-476,0.0485
DoG,-0.1905,-0.3425
CAt,-0.281,cAt
Dog,-854,-0.156
cAT,glecfhzlfu,odjyeqjktd
doG,869,-280
DOg,-0.308,xhfkktcvaz
dog,caT,0.1965
CaT,cAt,CaT
Cat,zalkzlfatv,-374
cAt,caT,-0.093
klyqmxjzlb,gbgniblrod,101
cAt,dOG,DOg
-0.138,jugeaeoqnw,thvwghlino
cat,nqmlwqnsph,cAt
DOg,0.0935,-0.342
caT,urwqrvhplf,-0.26
lfexeamduu,mlmsqpfjeg,ktxmzvmljj
-66,-0.137,atjrsgmygk
dog,671,0.2775
DoG,0.4695,zxnxeeumfd
DOG,4,-871
CAT,zvwoamuofa,0.1165
dOG,gcpcyvqzjz,-564
cAt,0.429,quoylgmgec
doG,yrkzgkcfdd,-783
DOG,354,0.0905
doG,cAt,726
dOg,0.132,caT
Cat,doG,12
CAT,-0.371,894
0.1105,125,-0.286
DoG,dloikadnvr,ibkalungea
Dog,121,0.3235
CAT,phipsqlvcf,-0.4105
dog,tuxrwbkkmg,-0.2015
CAt,-535,-0.244
DOg,dehvivdeya,0.478
dog,-0.029,DOg
DOg,ziyffsoijg,yciaghftss
DOg,CAt,-380
caT,0.2865,-758
cat,0.2385,0.0365
dOG,0.194,sfcoohxfpm
cAT,CAt,665
747,554,-865
mwzydfbsnj,770,odvdykzfdm
835,fmtaxsuxug,cAT
dOg,DOG,0.1465
cat,0.0135,qaqyhectug
