fprtscnvni,atqqymuxwt,sidnjnfahb
idalwdjryg,byooavjuaf,Cat
550,ljdvtqfwoc,atjnlbygrb
0.4585,0.0595,583
534,doG,axdmdixbzn
tzdojzknny,-0.4135,CaT
oblxammmej,-911,cAT
0.1465,98,984
-366,-0.457,dOg
thmigwevzs,-898,cat
0.1125,0.1195,955
teifcxbiwm,cdwyjfbbtq,0.3135
0.1785,-0.0465,talqzejmsb
-815,-0.1245,cgdylzmbib
-0.436,-0.4185,-467
kpzcvudmnv,-891,DOG
-837,jiskndninm,vezkqmsukf
ittaqmvwtl,0.283,-408
bymwqaaiwd,0.467,0.449
-839,ulgnyoauzp,-0.1305
192,-0.0385,636
-808,0.2535,CaT
dgqhnjtkpt,0.3825,womdtmmbkv
641,-628,0.392
dOG,0.0165,0.201
