kziklzvdiy,phvbseidmc,coakexfoit,fqbhrczbwz,tkgssvlviw,bxhsusgyxd,oqvzpjihvp
-0.2555,0.26,0.042,mukddadesa,-0.0425,Dog,-58
0.319,fhrmcgnmes,ymzdvpvxpw,nfjvxmtvjf,CAT,-0.4505,744
fkpxpejagp,albehuhkdk,-183,723,-3,0.392,dog
cat,-0.294,906,Cat,tmqnwwcejr,bmsdwglzaj,126
678,tomrrynyqu,msnkmosqnc,cAT,cAt,ddnbdjhgix,126
kvnvkpyjeo,vlscqabdti,iouelvragy,DOG,-644,xldlrtekzs,0.2585
cat,-0.1435,nhobbonrur,673,-522,pjbyycutuu,0.4155
14,ocgzasoudy,dOg,-0.442,-0.3155,61,DOG
0.379,fhtgfgmugv,DoG,usnmeavugh,CAt,548,464
rggdbjpypl,lhohcoedtz,CAT,815,tvmhjxnhjk,jzovfqxmej,78
owkokstxyp,mofhxzwtla,0.4895,-0.2405,cAt,fbrnoguwno,CaT
-0.318,zsjgcxcuhy,dindnfzhgo,vwsgseniss,qrklijxvii,109,hobqeqrxjt
ximuaflzco,-0.472,0.4085,uobsgvnbnq,-0.488,cAt,cxqdvvngor
jmkqrxbaot,jptkkfsgaf,825,dog,992,60,-512
psqyeisone,vbrbnfnhmm,879,CAt,dOg,-63,0.1215
-928,nlhbhtdtqy,cAt,-643,caT,0.325,-0.2465
826,-66,0.408,DOg,-0.114,tchgsbcpip,jzlgfqkfir
ewepbyvvsy,tsmvybkcio,cat,-318,sigwigfbru,-55,88
-772,uporqeuzid,Cat,-0.122,0.3515,rkyaguakze,DOG
-0.0175,dOG,uhtgjxxain,maffucffhm,0.114,cAt,439
mrgmjvfaim,-0.3855,CAT,-716,193,xdzwsjgvgm,0.486
-0.466,0.4735,CaT,cAT,-0.3455,Cat,-897
-0.442,-0.2495,-67,cAt,edrfcfmbrd,gpdoeqzazn,cAT
rnokfnozwb,iekbqolgrl,Cat,ysiciiesol,-0.327,eznjtmmfmy,-0.0195
-0.2905,-967,0.146,-0.2455,DOG,0.255,uweukdnydy
-31,-0.118,0.455,CAt,zcisshxbmk,jwzpazdtau,277
vdbnjmchnr,cjwqnfdezk,qhmoiymuch,400,0.1115,nxnqfiltfk,-0.4825
pwnezvrclj,-0.219,szfguplddq,ugqkokqvyz,DOG,337,99
0.0145,-0.241,-956,-0.007,-0.3555,kozqhpmcbp,-0.0365
Dog,-392,rmlpyxzkne,rhnsgleccv,-0.4875,vaiuovhrug,-0.3555
0.209,0.1405,0.3665,-0.0365,263,315,Cat
0.4685,dog,-445,0.428,-968,vtscxrljyb,vkcfdgkhra
cAT,nxyzutwpln,0.4935,543,caT,dog,DOG
caT,Cat,uhaqjqorij,-0.069,CaT,lvdmlobump,-301
dOG,-359,0.401,-633,cmotprahmu,-0.271,148
-0.1805,fnchnffgzg,dog,caT,516,doG,cat
CaT,963,-632,gsuatgvsva,uihnutjzss,dOG,0.016
782,nkrpvdaclr,-0.1695,907,dOg,0.349,doG
cAT,-998,605,0.044,chsgeqmece,-799,0.2605
zbfiufvlsb,tvqglotucq,-936,0.4875,-389,cAT,0.095
ojcooxqgaz,cgcmbpjxbu,ljtlusjfgm,ixwkjqyvqo,-0.4045,egvbfvlqzs,-252
doG,-0.314,-968,iwwtihcwtk,0.0035,-0.4215,cjwwleimnh
-916,244,caT,-0.1025,0.304,ouhuxtmheu,-0.3275
byzbxssdqv,-0.1955,167,40,0.346,cAT,-305
-937,bfdplgggcp,-0.165,-643,-0.304,-612,Cat
etcfhubipn,tvfhojbmvq,Cat,0.2735,275,gnfzyhlmkg,0.3785
cAT,-0.4395,fynefeyhta,0.0435,-233,CAT,dOG
uojdleziiv,0.13,0.2505,czxsuhtsum,53,tqcinmezpl,osviochszv
378,lhnfmidbre,DoG,0.1705,gpplflydar,iutpeovkza,0.37
0.4935,-64,tmooizwtem,fqmgxqnnoe,-64,-668,-0.365
-885,dOG,376,CAt,dOG,0.0205,-507
qlrsywatbv,-0.2435,mlyzfezblu,-969,-489,-400,0.27
-0.142,-0.425,-222,0.1375,-0.416,yrenwvwrjl,-0.1915
0.183,rgmewmrbgo,717,slentngozo,0.1115,-0.0425,-411
845,-0.2575,bbizncmzky,868,xeexfmdbfv,-84,ylpzrowmrc
0.031,0.376,DoG,jqlgeoykmx,644,ababvmslqz,pwuviurvmp
-0.3365,0.105,-44,-732,pdhdbtnnpx,jmqpbaevtd,774
372,895,-337,jfswgjfhww,0.2815,fnuhccplup,245
hckgdschjs,-214,ryoikqaawv,740,-988,zpccbuddlr,-370
-929,-0.0425,-0.403,0.394,0.1405,dOG,0.4625
-0.274,49,pfyquivmwe,urrjtlmcvg,-635,DoG,0.311
caT,-0.3405,CAt,cat,-142,DoG,pkfckspnnd
jaheyemlgd,DOG,-431,zjzmbgcmgv,0.4095,lzzggqmdru,snzioabatn
0.188,0.0875,khwzhhwptd,0.3415,-965,-0.451,wvgbwzjnad
dog,319,dOg,642,DOg,cqdxmskjyj,bnfjtohfya
gxjkstwmqd,983,-0.277,-124,-56,-0.2985,dakzbupetx
694,562,btaesnlqto,0.29,DOg,-302,vmksgzmuuy
-424,DOG,qwjsmknxbi,smzulnqjub,-0.27,CaT,mwfzcwaqyy
