obemwngubj,grfuackuwk,eatwqnwrzp,zilbaeokms,tjgsypomut,sikehutide
0.065,699,-647,0.017,11,258
453,dOg,ytneytggvm,-0.363,DoG,-0.449
umjqjuupqf,-180,-72,-0.4,836,0.1065
DoG,dOg,dog,cAT,doG,akznspmkyc
-830,-0.078,rleofevgvu,dOg,psvdijlvnl,wlaooxaavr
zgmyuvekcg,0.184,333,eluiijyyfh,iwlpzmpoyt,-0.327
nfyfxxkxvm,CaT,0.4665,936,-0.435,6
-112,0.4815,0.064,-0.031,18,-0.236
-0.309,DoG,-185,knnkynxqpv,-0.356,Cat
dOg,pmekaaphds,109,-0.009,lzbmgpjlux,-765
-805,-0.469,DOg,brfqviuzzm,-0.1305,627
691,DOG,0.48,202,0.465,-67
smfxcaukie,-287,510,0.359,0.2645,0.1115
dOg,Dog,318,vlslppidij,125,CAt
-112,blktxxxkdg,-735,-0.116,jcyfwlovzr,Dog
wzgxixgpas,0.184,CAT,-718,244,344
dOg,cAT,lfaasiwmlh,CAt,dOg,681
qlufcclfbn,-425,dfxknnnkga,-664,-354,-850
-0.196,804,0.009,ifcqmkdlhq,-0.086,Dog
0.22,joqascbqfa,0.374,0.098,yoqqwgbmie,430
-614,-620,-787,CAt,wobzooccpn,0.026
-0.364,dog,-0.101,dOG,cAt,0.1885
ubnhyrcvbq,cwromkoxuw,346,84,0.379,-0.281
0.2045,680,65,0.2995,-776,DOg
-706,haysbqmlbb,-997,561,cat,trjdfqxkim
fgizjqybrs,DOg,675,-751,490,chojepvlzo
0.1585,0.385,-0.23,0.385,-274,-0.3365
-96,0.481,-0.2565,DoG,0.475,caT
caT,caT,0.2965,cxkcaqohnd,299,0.1
0.306,wrgbgoegbg,dog,158,-0.4415,738
368,-798,-683,mkucpnrgjj,dog,0.385
0.2,-0.3885,tzlozrhmat,dyueicozlz,0.1315,810
0.4855,-618,avienwhifg,-70,cat,pujzrixsbp
nkuxkccgyz,ptblhngycr,cmnlbnuscd,414,xkgvtzquvw,fjsobzphkc
CAt,-0.4485,-678,cAT,-0.074,834
-0.1085,DOg,rldzqzjuvn,0.359,cAT,wodjcouwwa
0.355,0.4105,kflzupkvaj,-0.1565,ndlvewltaq,711
cAT,efygtltthu,cat,652,dtgvsrzhbs,Cat
0.4595,-0.085,-0.377,-53,DoG,dOg
rhiwdtscjz,-545,-0.4755,-980,pjkiqgobko,0.301
-0.3605,41,cat,-267,gdwjkbcjxq,ejobuvsgda
-430,rrlvnjmfar,129,phnxanqkyd,favpvgesbs,208
DOg,DOG,147,562,-135,-0.118
DOG,515,-0.187,sjdbhflina,945,0.193
cAT,ulbozzwlll,453,jgudfyupla,cAt,-844
-0.215,-491,0.384,frmlzavper,-0.4405,453
