pEt,zplgxltijw,kusreexbpz,smgalajcvr,rmppagofyn
Dog,CaT,0.081,rixefkdemw,-547
cAt,-0.253,226,-0.1605,92
DOg,cAt,0.1675,876,qpovfbnson
Cat,voxghlqfxw,0.3225,-165,gkxcpkmeyd
DoG,cat,-0.0225,okfpdiusly,doG
doG,cooplsltgv,-284,276,-0.272
CAt,rlkscbwfay,0.327,-3,-0.45
0.061,CaT,-0.3405,-489,-0.2575
cAT,-174,-732,0.0455,-0.0695
uegirwpvjd,hvifwikrrc,dOg,sxhorfllxq,130
Cat,egqaxqbkxv,-353,lifasaucum,0.359
CAt,dog,caduaiehwl,yqbwlkltzc,kjtljyurwt
-0.138,-234,DoG,290,0.187
CAT,-538,-0.016,0.069,dOG
DOg,557,12,-0.362,0.1415
cAT,dOg,-0.2135,DOg,0.403
CAT,472,erzcswlvyj,-0.4935,-0.054
CAT,-628,0.0515,drsmfqhsmu,khijdsizaf
cAt,-200,cjhcdcvcjc,880,zfeynpuodr
doG,0.188,hhifcirllv,xbkpadwwna,ntxtfcfvwl
cat,0.087,31,-0.457,caT
doG,-0.25,psqshhciri,940,40
CaT,rlusbmyots,dOg,-976,ceoexmjwmb
dOG,zwktfltfry,0.13,-0.1095,CAT
doG,89,539,0.271,-0.382
CaT,-0.306,0.0105,bikbnabpwg,ckxmvhyjhx
ssaeebekin,-0.141,944,-0.037,-0.352
-788,-0.384,kcntbimzor,wlpycyroza,ubullsjzci
dOg,-0.3695,-0.4645,lvyigqljpt,-0.2215
-446,dog,-602,rkoktbbnhn,piokovrovz
0.192,-190,-0.1665,-0.201,-661
-856,0.337,-0.181,qojhtxwzzh,dOG
Cat,ycrfainqhm,qjopmcwavr,CaT,qlafbglhxg
DOG,dzdncfwltx,knxzpqqawd,hwjiyhkfff,245
llwgignxmu,yjmnprhmgs,30,534,oteiwzdcur
cat,-0.315,dOg,-846,khzezthfnd
DOg,-0.36,xopzktjrya,tkewvdimof,-183
dqizemyxgd,390,-0.2785,cat,0.127
dOg,0.2825,-684,0.2865,0.4355
CAT,wrjeurnfoi,0.24,-0.014,-836
dOG,0.293,-799,-637,460
CAt,oyvjiyrvje,438,-858,-329
cAt,-0.292,553,633,dOG
CAt,-0.433,-0.441,doxorwicpr,-0.2485
DOG,-0.366,cvqhydvkkx,hlsxvfytue,860
cAT,yimwtpvicy,gkvdshbker,wnyhnojtax,dOg
Dog,gmsodpgved,433,-0.4375,-1
CAT,quuulmqlqp,630,bffrgrtzih,dbqopafjyp
dvvuckimwf,bbevrswicj,0.2145,dog,0.176
dOg,uvjmnkpwbo,mhnjylpryz,604,-519
0.416,fdujoqsqla,pnxrynzzqu,-174,wkrkxnhuwn
Cat,caT,gaoikxhvit,cAt,-0.2
DoG,23,0.249,Cat,bdjrgqdafr
dOG,coxehkntmp,-0.1775,832,-582
-679,mwsfsexwgf,439,0.356,-203
dog,oropfruiwd,eyfvibgdyr,558,caT
-0.157,0.215,pinfnskwhg,0.139,cat
CAt,0.084,figvknqibn,-0.2625,pakffzvjql
DOG,189,808,uylzqpjdgl,suahdqnumc
cAt,0.0465,qpkirjewbw,0.376,DOg
dOg,sbycguzblr,sehptbimzi,913,-198
dog,-0.413,DoG,-0.475,397
DOG,amllgysoxx,kviehdknbz,-0.1245,nlltdhrbzz
dog,-0.134,-807,-581,181
dOg,-0.1595,doG,0.192,gqibuhwftl
cat,709,-0.333,-0.2185,fbmvucunec
dOG,-0.2805,cat,rkqxfqnjpt,-754
CaT,dOG,-0.426,Cat,-0.473
cat,tyqtdtypje,lmcananlux,Cat,-0.3315
cat,0.4315,cat,485,-421
DOg,-263,atsirsdxgl,vvzjwzlsjh,cAT
0.011,wffywlhkua,0.105,-0.4735,-38
CAt,-0.0825,0.4545,-0.311,-0.381
0.385,DOg,0.097,-0.3135,wqriqidsld
caT,0.0865,-968,boklmlnqwv,-0.05
CaT,nftpylehck,-0.2965,0.157,qkfsqxmlsw
CAt,ihnpehkzea,0.1215,-0.2535,0.427
dog,-0.4975,-634,mlmeloiemo,769
dOg,-0.083,261,Dog,dmacvivdtx
zkikrfsyfl,mcuynxrtuf,-340,xgbctcaine,-0.4265
dOg,-0.0965,hvyulqndgw,-59,0.2235
DoG,xotnfciugw,cat,zgmtxqdenj,0.4355
caT,ldcgzuxhiw,CAT,-0.154,dOg
cAt,caT,910,0.0565,901
