jifmrhpkru,pyagrpzerf,ldgzxvqvob,vqnlafputn,peT
637,0.216,-0.322,75,cAt
-0.106,0.174,dOg,-0.2335,cat
okrotiosij,654,870,znlmrshsil,caT
-957,-0.281,CAT,-0.2335,cAT
925,631,fknajuzlcx,cat,854
mzmojsyzph,737,psdldnjxkf,-0.242,cAT
-305,-821,dOg,-40,cAT
-390,-0.2505,0.1815,0.4675,cAT
cvhnotcxhl,CAT,945,DOG,CAt
ilkyawgkdx,-113,0.112,doG,cAT
75,0.1405,25,ybcqacmvmo,caT
CAT,0.061,0.4305,dog,drjksldfvt
-0.0785,-642,yxmpooxyqc,0.395,DOg
Dog,-0.177,432,doG,Dog
-0.015,xkllyczloy,461,-718,dcmebuokuh
0.0815,ibkwiolora,CAt,dOG,DOG
scvxelitxw,doG,dOg,DOG,bkdcsoljxl
0.431,-499,nevzbhxppl,qvplkxvxtt,818
cAT,jlofhwrdle,CAT,-548,cAT
jzigztdeot,130,-0.021,Dog,DOg
jcabjnkldn,0.2845,821,0.386,rldxjfehnn
-299,0.4065,vsqiopagxw,0.3665,cAT
dog,-647,957,-806,doG
Dog,-0.258,frvfsgauvw,wnixdlpfzw,-309
bjarvuoajb,pqcyosxgvw,0.164,DoG,dOg
0.2275,wodbzfihdm,-137,-185,caT
590,0.2645,tsgelucxfr,CaT,lsxrxnxdgb
zfjdovlasj,-335,155,qyighobdjz,DOG
cat,DoG,-0.498,-0.44,CAT
ktxpxwsmgs,-0.1955,hxlchchswj,-0.339,CAT
-0.3915,gmbqcwdjkk,-0.3605,275,441
193,0.4955,0.3595,grltyxfrfj,dOg
-270,CaT,-570,CaT,CAT
159,-209,DOG,0.5,dOG
-0.3335,-336,cat,-230,21
DoG,887,0.4215,dkymwzqqzf,Dog
-0.433,0.33,-0.2875,673,cAT
dog,-456,187,-587,0.2105
-34,CAT,-940,0.171,Dog
-0.346,dog,504,-336,926
DOG,CAT,-0.1695,dOg,Dog
-0.3635,xfkatfrgaf,caT,dog,CAt
0.393,trkifpparp,0.068,-0.3945,dOG
-0.34,15,caT,918,DOG
DOG,-0.4245,cat,qskcbsvcdk,CAt
-139,0.331,CAT,ojknwovzte,CAt
zhfqxpsrzn,cAt,0.323,0.286,doG
-965,ryjcaieymd,-0.423,DOg,dOg
-0.1175,-121,ctjjioqdku,0.229,-566
lbidcgpjtf,-48,zopfgiyawf,-499,CAT
-97,-0.2615,bwxfgdrlyp,0.241,CAt
-0.4525,195,67,-714,cat
958,0.281,-0.2205,-0.342,fycecwyqsc
DOg,-516,354,-810,-645
0.354,0.2165,359,cAt,caT
qhfhtdxrvx,jlftlhxzlg,-0.1245,0.342,doG
-558,-769,-0.0765,-0.361,DoG
nqruitqowv,jmxbwgbrzb,536,bdtbnqbino,cAT
dOg,dog,-0.1425,CAT,cAt
-98,beakjiujhq,-188,-429,684
460,-0.085,caT,cAT,doG
fotjpkbzzq,0.4355,-0.229,0.043,DOg
600,0.456,CAT,CAt,wkrhawyjvw
kxxuzpymxo,dog,CAt,iiexrquzsq,dog
tegyklqazp,-0.3155,0.374,cAT,Dog
zugxgrosyt,0.4195,doG,-321,CAt
tctmieuvuj,ayzcxvhrrx,-0.2515,CAt,Dog
gwsugmwzaz,-252,gxzvbpzwur,CAT,DoG
rusfidzqlf,444,-0.084,-419,cat
834,-0.2235,-0.3705,doG,doG
trywfinvlu,cgbeqqyzmv,gmkugwcblq,htwmfybsze,CaT
doG,ktvspjdvvc,blhagjcorh,-0.498,dOG
lujcilclhx,311,doG,wtzovzgsjm,cat
-0.032,0.053,-624,-0.2375,cAt
DoG,-947,DOG,mcwyfbzsis,DOG
axbobfdkey,lcnlxvegzt,rypavzlxmu,0.407,0.3555
-0.222,-0.2835,0.305,Dog,ggtrtuepvf
nztsigmpuk,-284,bktigtykoc,0.452,DOg
-609,empebndnng,dqfbfnmdpu,caT,CaT
-512,DOG,809,xzrlnyqqxu,dOG
CAT,-667,-87,DOG,cat
737,ssaotpmujn,nchobdzbcl,zfktukncdz,52
DOg,dOG,0.043,glxvdxrwxn,CAT
-0.1175,107,366,-0.152,cat
773,0.4775,wkzpkpdnly,CAT,0.438
ofggmmtaaj,cAT,0.397,282,DOg
cAT,-741,-0.409,axaihynhny,dOg
epocrydwdv,jauarsfbrp,-0.274,DOg,DOg
qvwgozaieu,0.3135,328,0.295,CAt
iizvcopxpz,DOg,-0.296,Dog,zrzwuuljwj
