vqrihrbllr,PET,jcwqdhwfpn,xhnfgjdgpx,ruwxvxfeae
-0.24,doG,-0.1315,hlptecpydu,147
-217,CaT,-0.2125,mabmqcyfgl,379
0.091,DoG,9,-0.427,-0.37
250,336,0.0535,-52,dog
-635,dOG,vmpmablcpa,qaguflfowj,0.241
dOg,Dog,fgxeqpnrln,-771,Dog
0.3145,DOg,ptboufxffg,Cat,0.476
-945,-818,tohygiyzhz,-0.2155,cat
823,0.406,pohejiapna,Cat,0.2915
-0.409,caT,Dog,pqyynyyhdz,dOg
dOg,DoG,0.3685,CAT,927
-0.281,dOg,446,442,0.48
-0.468,cAt,CAt,4,cAt
ncmbgcrjrw,cAt,-0.255,71,466
kmjybifofd,dOg,tmwbxxnwtc,589,-950
zelyjezopq,CAt,Cat,0.3405,-10
