hmvbdpejtx,PET,mxeqbjoxgv,dxhwkteonb,qesjslnxri,jyycvtpadn,kjwbmzffwk
vnbltmkavg,cAt,714,245,uvzfdzgssn,DOG,0.0375
0.145,cAt,CAt,0.462,0.3565,-0.2605,-616
-64,-0.208,-573,Dog,-579,-928,0.4725
qcqydledst,DOG,0.2075,0.0805,-449,0.3295,-0.421
doG,166,0.0115,-0.466,cAt,954,cAT
eeocwldcqn,DOg,-581,-0.0245,0.1855,0.4805,527
vedhdvxgvf,Dog,bultzxqcje,946,0.4815,cAt,0.22
588,Cat,-0.272,0.118,-0.312,0.2715,-0.402
0.363,ldgwkjdsdw,dOg,-0.3465,mvvtxmvvfu,suxfspbsue,lfcefvpspg
19,CAt,rgwgtsncoi,0.4435,-773,0.355,3
wvjrbfslni,DOG,Cat,-0.454,dog,uwcnpufuhi,291
CAt,DOg,897,444,979,-0.3455,cAT
0.1075,-0.038,-859,875,0.0165,-290,-0.255
vjxmyaufix,jfuvijevay,-224,-633,-734,-43,0.4845
iqcbdzmfyn,caT,Dog,706,54,-0.456,rdbucgobge
0.208,mdnxnqvtkm,vdyglyrutp,-562,0.1605,401,-320
0.4165,Dog,-882,dog,dog,432,CaT
DoG,-72,0.4795,jptzryyrnp,811,CAT,mjerrvxwuv
Cat,cat,lurhfinzey,0.3175,qgxmrjxjyr,0.244,-348
270,fnftzmtiup,sokjxmpwxj,wddzbezflp,xojbxiwywy,-0.205,cshlawpfnm
-62,doG,dkrdomirnv,-501,0.388,rpbupkwdrb,izpadhwpmx
cat,cAT,862,gutljayxiz,Dog,-0.2775,0.393
dog,698,0.4085,caT,itivwfopoi,502,infetkdwgc
90,DOG,gnjjucfnfr,886,-0.237,mfzpqyspqq,479
yhdspwopmf,-628,0.2795,0.455,408,-612,-0.4465
gnbnhhghsn,DOG,0.282,doG,0.3845,Dog,0.465
wnqulutftt,caT,-0.2965,-0.2225,Dog,Dog,CaT
zebeshooch,cat,-0.492,cAt,-0.1865,-35,zifaorzewe
-0.211,oxxcwjzjqe,-0.161,-0.312,-0.231,0.2475,DoG
-775,DOg,-563,icxjbviqlt,DoG,-438,0.277
dOG,DoG,mkrbhbuuiu,47,375,rgacasrylx,-81
phdhlnonvh,0.2185,-0.1555,-0.1375,-243,-0.1455,cstngzvier
cwaissdzaw,0.155,gujpwrofsg,975,CaT,jeqggyfila,CAT
zlgofvikku,Dog,zarkrwhoqb,nknjddygcf,gkzhqlkkrr,-0.0275,engsmrbwmd
dojynzofsm,463,-613,Dog,cat,sewgaatnkd,0.2495
cAT,xjfaosxwlm,0.0885,-0.4795,878,ilgzhorcyt,210
-667,Cat,-98,fzqesywuve,guxvxxljmz,cAt,brmiijczpn
CaT,0.3085,DOg,0.446,cAT,Dog,0.412
701,cAT,-530,-252,ubejkyzbaa,0.133,tlyytquqfe
tjsvxitqel,885,ckirrwotdk,xoenvlaouq,tcbtzyfoko,-612,979
964,Dog,-170,cAT,ffosvwyabk,cAT,rgtndyuyyc
ikltuluqiq,Dog,lgxspoyxiz,122,-0.059,-868,937
mctcvuvbca,dOG,rptrcomvxr,-0.28,-0.46,0.2665,157
djxjwskwpn,doG,-906,0.4425,-0.118,0.1195,-0.499
573,-0.3815,eubzlthgli,caT,jmmmjdbdxb,-900,0.008
132,dog,87,0.298,-0.288,Cat,949
uzcyqutokw,CAt,-0.1475,DOg,0.1775,0.485,sxlaxworii
923,Dog,-0.217,zigdiqmhqh,0.288,dOG,DOG
-0.2,dOg,doG,wdmvzeibpk,0.484,gopicgtout,0.2495
-0.1675,CAt,-825,0.2235,DoG,eqvljumary,yfjqgfnrsj
cafildrjva,cAt,890,0.18,CAt,okhrczmslg,-222
-313,584,txzagsfuzd,0.3875,CAT,CAt,-0.223
-237,pvmhpyovfu,-859,yhbphlhgyu,doG,0.1775,-132
CAt,dog,CaT,Dog,799,ludfbmpfmt,hpktsleehy
0.388,cAT,0.096,-0.2415,193,-0.0215,0.165
-84,0.318,-390,wqclktzkqo,-0.0085,-938,-767
kcnzldwfwq,DoG,0.021,lsmoeaozdq,0.1905,504,537
-0.1275,doG,0.198,dOG,rnvdjxvwtb,-435,pdvyasfjdu
0.317,doG,dOG,coazeeixoe,dkjpbdplaj,-0.335,-599
jeitvhiadz,DoG,wnmadakqyr,531,dOG,156,-0.057
-872,CaT,-0.2905,doG,DoG,-0.052,kwulusgwea
zlgfufovpf,cAT,-964,zaobltbobn,caT,0.1335,-0.2375
941,-0.329,fqgepkibjx,-0.052,cAt,-0.08,-0.157
752,CAt,503,njojrqvtvy,0.314,ewiikhvtvf,-0.478
cat,Cat,343,-0.33,-435,aknybrivwp,eyzxzrvorn
-8,CAt,479,-0.052,0.1855,yzuvgzbcdq,889
borgxytarb,DOG,Dog,-0.1055,ekxfjwxodu,676,ewbohvknwe
oxhcstjido,-0.1545,96,kmqxqnkkgc,-384,629,cqhzxeijvy
