hfraygvleq,uxrfzzgqjl,tyzqchdnyl
341,vkeujdyehg,-0.403
jmtnumreox,784,-0.002
-344,0.224,DOg
-685,0.457,-875
zpwuiwmaxo,-0.449,rsileekrrc
CAt,0.0255,-655
0.18,-524,0.4135
hnmcfdorwy,kpbcezvycg,pjsvsjilgm
-763,soosfpkxdq,-0.434
nxbuufrfwx,579,uuxtzefukr
-0.3125,812,DOg
-0.243,323,855
-34,-504,ccjxnfaytc
-0.0665,dog,CAt
DOG,drlbipqgcs,0.1785
DoG,vsnjpnjost,Cat
gcdzntgjcz,-388,-0.469
0.4095,685,0.0305
-0.335,cAt,CaT
830,-0.333,oadzirptxi
alijskismh,jauxorqsnr,-416
-0.4025,-998,DOG
haqcmbdprd,-664,-0.2345
puxgnbdlsw,kkgytgputs,0.397
0.256,bcpteurhdb,ktzhfltcgf
-0.3135,-0.0295,bdhqlgtvnp
jbiprmafgh,mkyosuznlw,-282
-0.326,asqisretik,740
hioxsncysu,0.4085,-0.1825
565,-0.006,-0.036
-0.453,evisbgrtph,doG
fypjcambkj,-0.329,808
350,0.2745,-960
-0.16,-333,-480
152,-0.364,-0.3495
eydnkqxxcr,jhmckbbwjy,doqnhanaiw
906,0.209,dOG
yoydgfkspi,-881,0.3125
vrcadhgivf,CAT,bvtelnyrdk
-0.3925,0.1975,dOG
ssidsuckcm,Cat,-218
dOG,-0.399,xgcauudnvg
cAT,zzcajmlbqm,42
imoxqgtyui,DOg,-0.0675
-436,-547,-696
86,Dog,CaT
Cat,-0.244,908
547,667,-0.278
0.461,0.318,doG
dOg,zintqtgfup,-0.163
1,-0.097,ippybuaqrk
robyrufsub,dog,uuxwfmfyyp
dOG,0.248,-633
635,CaT,238
-0.424,fsmxnntjab,zhlekdntsw
-192,-0.1665,ursuznpidd
333,nbwlczozim,tnzhgubcxn
fzgfvgnplw,bzpjnmaksr,qyjxwczpnk
-0.1105,aeooyzkabz,-674
0.3295,suvnxhstjq,-813
0.208,562,bajsylvicb
0.3255,rfipbzhina,Cat
doG,CAt,cat
-0.443,-813,-0.085
-420,-0.019,-0.3565
410,yfspmqotlv,302
0.387,doG,-0.0415
-72,0.069,cAT
-109,ssgwbbdfma,0.0045
zylvspqjvd,lvtnmwakam,-0.4335
dOG,-347,rjhfmionve
-0.2505,0.164,-346
ysbpqatbdh,775,855
-456,704,0.3735
752,-307,rhpjanhiwt
uvjbikchcv,478,-0.4265
DoG,-43,36
gkplfphwtx,cat,0.4845
212,CaT,koscfnvrrz
vumjzwedau,0.065,0.4715
cAt,kdauxsrypo,-564
0.2275,-0.121,rufafzbsie
CAT,578,-0.225
-0.229,Dog,0.237
cntkgezffl,wtxsampape,-0.4435
0.114,-0.2695,ptjwhrrwgb
0.2855,73,0.1295
-809,0.256,zormiezfck
rhriwyuudt,cat,tzrrcnjtqv
