odkxgefddj,onrylqxtrv,qdscdynxxj
skyoeawcda,0.41,0.2885
irjhjbqlxn,117,643
dOG,264,0.189
307,-0.043,cAT
ordgmtegxt,967,-0.1435
rnqieihzzu,0.359,-0.349
-0.113,287,0.3375
22,ozutavedrc,zzxztainyo
617,edbxgwxyad,zxjqhbhqub
0.319,-0.0555,0.3275
ztyxsxzdmn,-427,831
-0.137,-417,xzjebmtfpi
dog,dog,muwifbmsub
0.0395,867,0.1455
hbqhiopqiy,sdaajzhbhi,ldxdrvhqiw
0.0185,0.4495,0.386
206,Dog,-0.413
-696,0.4335,-442
CAt,izvuvkobtk,pdcfigprio
0.283,vnwupbolqv,utcizpiomn
pamanpuxfa,Cat,602
djuotrwwyx,0.2095,ikvwyvxjwy
-154,dOG,gmigcrmvxo
CaT,268,DOg
728,mjjinajvlf,-154
bugsfxeeqn,-934,-0.4855
CAt,0.1025,-0.18
fnbwazxpxs,0.3525,-0.053
-0.4875,-543,CAt
CAT,xkwrsjvpbr,-378
295,-398,-846
-282,-0.28,cudsfilrit
-0.347,-431,-379
-653,-863,0.0525
gahxigclop,cat,-0.2975
CaT,caT,pugbkvbgkk
377,847,-0.48
xmuodfrrtw,0.275,0.4605
-122,cAt,-0.1555
bfvxptldbd,CAt,cmxwykjtnw
Dog,slsssadhdb,0.1245
0.3765,-637,ikzjcqqcjv
454,-112,DOG
typuwojokh,0.299,218
-0.287,zhcsbyheif,dog
0.178,doG,ldsknncvta
0.302,-291,rdkjfdiams
0.1445,-867,-330
-956,ksofdplrby,Cat
0.2605,666,-0.171
ocggxigpag,hmrbrqtshg,-318
varhkebqod,pwxtugoovb,wroedmhfaj
qwiufkkyxl,186,-0.1705
CAt,0.0885,uwrpdjsrfm
jwwibxehhr,613,dog
-0.4485,0.336,644
gtzvipedmu,-0.048,Cat
-0.415,-0.2615,-0.0915
0.358,-0.3445,606
dierlyqqwc,rqczvbudeg,DoG
-541,-466,0.361
dOG,0.0055,0.2575
ipmsbgdnye,387,-232
0.434,-0.1965,DOG
948,dvyinjibtc,-696
-191,323,bfkwlewors
-0.054,sdvjhsgefm,-55
245,bukmhodctn,DOg
whgejturvm,gqyqbenkcs,sdaajsnvdu
cAT,915,jbtjyyarby
-0.0485,-273,0.118
Dog,0.321,zchkrbyroc
badtyikhgi,yfaruuznkb,cAt
rmbggzzwth,-0.2725,-0.252
ckvezalecl,DOg,-434
-481,vsrjpquxho,0.0005
-626,yoxnkiftpd,CAT
vtzsqtvvzu,frayfueqxz,402
0.191,330,-622
yqpsvqonre,CAt,-120
dOG,mzvihxdzfs,478
cAT,-0.4455,0.144
hmwfomphek,dmjvxlxnui,-450
0.1095,cAT,Dog
jebuakltvp,-0.301,-462
Cat,-478,0.0565
-433,DOg,umklzabtmq
