ipjvlqrdmp,plmzwjcgpo,cezhlybrri,icufsvdihf,peT,pwuismhqcj
mvwillybqq,805,-0.064,-0.118,cAT,DOg
kfykmjkftq,cAt,-749,klnblcfibr,dOG,pavwtyzkdt
doG,0.444,-75,dOg,xqlaqyirny,DOg
yzwxwawdyk,-716,-0.0555,caT,DOG,-432
dclqoiybwt,-0.364,rqsqcwqzor,tbklvbbval,CaT,caT
cat,zvaodpvqbt,0.48,-0.371,caT,0.246
379,-937,0.481,338,dOg,yweeftcqqs
374,-0.1235,ktrmftlisk,CaT,-800,kesgzbujgi
0.1535,-347,1000,840,Dog,345
CaT,258,kyqularoge,-0.1245,cat,CaT
pxwwagmtrn,941,-794,0.1475,ilrzxmxgmn,868
CAT,-0.0915,kyqsvyvjuo,pmanozneev,CAt,cytegznuet
0.4805,0.142,955,0.017,-539,339
-0.2855,550,197,blklpvsuxs,hunjogemsp,-702
aobcezpzgx,-0.2895,0.4085,CAt,DOg,712
0.069,DOG,cAT,0.1825,0.13,kdnwktbbpb
0.0615,0.128,zmprctaedv,0.1655,Cat,wwcerorhaz
0.3125,omrhkvxclq,0.2005,dOG,568,lknaofxirh
0.336,0.188,0.389,-0.0615,xgupcrwtpj,-0.0415
0.4565,-412,-710,-944,cAt,wxnqfmcere
-0.035,xnsldohkri,641,76,0.4935,0.455
dibbduhmnd,0.482,cAt,-0.071,cAt,232
nuzitogxaj,0.0725,hezooeache,-0.1705,doG,rwbwyvzmby
ovrastiunm,kplsrrnffw,176,-0.136,Dog,yizufrsnno
onmuszwmwx,801,mdnldkkzoj,-0.1835,Dog,-0.2135
0.133,-358,-138,-0.241,hhnrigvzpx,744
-228,DOG,0.391,DOg,CAt,0.2745
cAt,-0.074,-792,-0.493,DOG,-296
-314,Dog,295,0.495,cat,izxonqfqli
0.111,-0.2955,upaxuthsus,-0.007,CAT,yhdpzlbkkf
jxspszpaxv,-0.4885,zgnqirjgvo,pgzxduuwci,CAT,692
-487,-0.053,tcqftyklof,-0.223,309,-0.122
-18,CAt,slfhuzyfqp,rjrmuuondx,cat,DoG
xqcyqaszey,-0.0725,derqmykhut,tzjexixnts,cat,97
ozwuuypiub,-0.2105,928,-562,CAt,DoG
-0.3495,160,0.2525,0.2925,cAT,-0.004
-0.0745,0.1415,53,733,dOg,doG
-0.438,339,zsolgbyimv,-0.119,cAt,-329
yshycdmbdf,0.0945,0.2435,-0.119,DOg,0.298
-324,asatxbaimi,0.091,988,CAt,703
-742,-594,-898,Cat,CAt,-496
Cat,dOg,0.2235,0.3225,Dog,-0.2305
0.4705,cAt,xgfenrnqvu,asmajxvamy,-0.107,-0.123
529,-255,0.1655,tldcorazvj,CAT,dOG
CaT,-0.0825,-632,doG,-0.3435,-0.0055
hfqmhrqlyc,cAt,349,dOg,-0.157,dOg
jlihwwkkub,-839,-0.1265,ngrsjutctp,Cat,-188
jrfwwfwzbo,dOG,-226,436,bhoxpfflij,-491
