wbiphqvwll,jxqlgonxiy,PeT,addmqkvprq
0.24,vtttabuiyo,cAT,914
mmpvepvrqk,884,cAT,-85
-0.4745,0.186,0.478,juooqtkjhz
548,-0.1005,CAt,DOg
cAt,CAT,cAt,-0.362
0.212,hptcjhithi,0.1495,irmeqevgog
-535,eublzfbvav,dOg,thildyzorv
dOG,84,946,xzztxwgvpn
dog,-25,DoG,-914
770,caT,CAt,0.416
otvxlfgwfo,sasgvppexp,cat,zpiysxmcgp
643,DOg,cAT,dOg
514,0.3965,CAt,uwapmgotix
-239,epqdulvcvg,cAt,waxkuzlbni
-0.1935,abaiefziou,cAt,-268
nbvpesbudd,-0.399,cAT,-281
0.165,0.2515,CAt,568
cAt,-0.219,0.058,DOg
-613,0.1155,dog,0.2045
DoG,DoG,sjftpupufd,0.1185
Dog,iurxrievwj,cAT,kdpkbxxceh
0.0495,-0.047,-383,DoG
dOG,vqdlczpxjb,-181,dOg
616,0.3165,dOg,-0.423
13,196,cAt,0.3595
612,ihzqqzryiy,CAT,CaT
igxlwcaawq,doG,Dog,-707
-0.1905,arnextnfxv,cAt,-0.4485
-0.4755,sqttmdkbgk,CAT,rwpgsebtid
pejcczbyuj,-0.283,Cat,cAt
286,rggqkwflkp,DoG,schchifdvw
-0.1335,fgqvccfjsv,doG,-0.4435
427,-920,0.33,0.494
pnpqjqwvrp,qdvumijijv,Cat,gkogfumbxq
qwbqjzcdou,64,Dog,bkhsknnlci
pkiauhizud,-0.306,cAt,0.203
376,507,rfkzcnwbki,zzyxxsuzxe
vbwvdvriwy,-826,CAT,-879
-176,0.06,dOg,0.166
0.264,-0.4785,cAt,fqljijrkqa
cAT,Dog,CAt,cat
ojiyomodnw,-835,caT,-0.435
CAt,odjhcusbwy,DoG,-280
potftqkynl,0.1345,dog,0.151
961,-0.133,cAt,-0.426
0.2165,0.441,CAT,445
-41,-672,-0.411,746
doG,DOG,cAt,-196
-0.3075,515,DOg,xxoxaxojeq
0.3925,DoG,fbujflormk,vzekobsvsf
474,DOg,-0.1565,mbkbjfidfp
yguialkvai,ueaxymviea,dOg,CaT
inavicnycr,cAT,CAt,jmrhrncxfb
809,tbnhbdupze,dOg,-0.0365
-341,0.2705,doG,dxkecejfjs
619,caT,dog,-0.2925
0.151,oxkfyvchbp,caT,tircujayjg
woyxtbhmpl,-0.369,ugafxjwewm,414
464,sdwcxtacpa,266,568
808,-0.373,dOG,gykkplktvt
0.3365,0.0065,caT,CaT
yyomeipehb,-0.0755,cat,108
lwnnbsupco,Dog,-0.068,-89
-461,DOg,doG,667
981,hqqltjkmev,cAt,-0.181
-801,vdymxsnvto,-512,-0.108
lngunzybsu,cat,Cat,mxalijszbh
-0.0755,ibzhxpdklc,-0.07,-825
-224,brwcxclcmq,0.4215,-0.3005
nqsjfielkd,crezcoezmq,sysenjbjhn,Dog
28,-0.306,dog,lxljdumosd
0.3535,wfhlvuntgp,caT,-0.016
-239,dwignzxrfb,0.325,-0.4445
0.2745,wrmcxrkzxi,cAT,14
447,-0.4255,CAt,axriiqmuru
825,-0.0625,Cat,gpyrobbwqx
enjzxnriwp,fnctmbgexs,CAT,uwziwjpyal
DOg,-0.41,CAt,-0.443
0.443,dOg,dOg,CaT
hyowznmgli,CaT,erumcfcovh,-0.2205
-0.4205,ghbzgppxgl,doG,0.131
xblvniyabq,cowoghuhoq,CAT,caT
-0.217,-238,CAT,cat
cat,-0.221,cat,irpbuzhjwn
-458,476,294,nuihmmeniu
0.23,hdfcvsnruq,DoG,-0.1975
lrinbihjgq,DoG,dOG,-0.205
815,0.198,dog,uzdzlyznzo
doG,0.2685,Dog,-0.3325
-70,0.145,cat,0.384
-0.3675,-750,0.346,-0.079
805,DoG,-0.3675,yzsgvrhtqy
fejhndhxon,-0.4275,dog,zjrpybxvij
0.0495,ogfpxrggte,DOg,gfruygluol
-286,0.1825,0.3235,-977
cat,-184,cAT,-0.29
