lfuvoxucpx,lwvpivfhnb,bztxgmwhui,zghyzzipsk,gqmmysokeq
0.412,kagrjycggi,919,ertyqmqmzf,-328
-165,-873,reiuoypyse,0.141,Cat
nhvpnkjtqt,404,lisstbhfrp,-0.417,835
-150,CAt,pazmctwtdw,CAt,0.3695
DOG,-0.4755,-0.071,806,-603
-877,doG,0.243,0.038,CaT
0.386,ivhyjgsfcm,-0.388,984,-0.0085
0.355,951,243,DoG,CAt
0.2825,-0.369,0.068,doG,atxwrqlwjv
-295,874,-0.3735,zukbecujwq,hxwzsnnjmw
dOG,185,-834,0.1835,-943
doG,CAt,571,-0.0345,liksgmeefv
0.139,uspdhtuuak,0.316,0.0515,lkzsmiuvyn
Dog,0.135,crqlyhkwzf,gymdqgidmq,-413
-700,761,644,0.3485,CAT
Cat,169,mfzfqwvgfz,crgajlkbot,vnvxxjjmeb
-0.0935,0.4475,780,-0.34,CaT
sljajetztv,cAT,-0.197,tflhberssn,cmcfstkcot
-0.208,iofdbroudy,-632,ihyaptvxfg,-880
-649,-0.0635,45,ldgprgmyzn,ntwzztgkhw
0.14,dbxstxcrhn,tjmltnzlch,toyjajjgls,thtcdenhcv
jsyygmisys,DOg,772,DoG,-75
-808,87,0.013,0.2585,-567
cAT,75,wfitdcjzzc,-0.472,0.4905
691,-0.492,DoG,hlcyjkfult,-0.3405
-316,-0.3065,byttumdgec,-583,DoG
dog,vihxbhozrf,doG,761,0.1415
-422,acwmtdniwz,bxbeifeazq,-0.311,ttgjbttxbj
CaT,-0.046,0.2505,gslqccjahp,125
ccfvemeuye,0.003,0.3815,-0.3125,-0.0075
bforbywobx,-0.4775,CAt,CAT,cAT
0.064,887,DOg,219,-0.1875
ltrdzbjqhq,Cat,Cat,0.404,-0.0195
doG,mltrhzqjzy,0.3805,616,hgfzkrkjnw
-0.193,iaoftnyzwe,-214,caT,-92
qoxeveefbe,0.023,hztqjupvjs,-0.007,-949
doG,DOg,Cat,tdepozcgqg,289
bawxdmqlul,rsokoipajh,0.4,sufuexhsrg,DOG
-915,vusisfdsei,-862,180,rplbbwlrzl
wkovvdhyga,0.182,obnufnxhcu,iziilpzkei,-685
epbjrjkisu,-0.246,knrouaxxhp,0.3075,-0.1775
ivdfpfaacp,-595,-364,0.027,125
peoahowyzh,-0.3645,0.464,-0.315,0.3955
avlotzsqlj,658,0.056,bgcfrfhpmm,-0.0265
repmiewtjb,cAT,lfnvyzlduy,0.442,0.034
606,0.4735,-237,487,xyrpriaati
lhmoeujomm,uktbfnsodt,qditahmehy,0.3545,ejwxvsrzfn
ypxaltiypb,yjknlzjdaj,-746,-0.0445,47
DOg,scyttbjfzi,wxpmxodkyk,rkvynekfrj,-0.1625
tvxorjqtvg,zqihunhgdb,-95,-0.2995,0.334
299,777,0.454,dOg,DoG
Dog,mypckrfnpd,0.026,0.4305,xdyyjfeigd
dOG,CAT,-0.2695,dOG,0.0735
-0.2215,-0.2225,-0.091,wzkxgmeymo,-0.275
fgfgnbzfnh,0.351,cat,0.4055,swgpgrfhtt
-0.406,363,wpyjorlxkp,Cat,795
340,cat,ummvddzsbe,ofwdsjfbvw,-569
-881,CaT,-524,gfepfrakuo,0.287
DOg,Dog,-496,-0.367,dOG
enluueysbf,atdxspyiwh,khdbfijhlv,0.1375,989
453,DOg,ycregvubcg,0.37,fdvxiynwtc
-999,qdembiedgi,lldhrkmshu,956,sidepsokis
220,-726,dcqcduhvxa,125,pvgcxvarbo
357,dog,auffexiijb,0.2275,319
actlqtnvsr,sbqsjppfiz,-0.444,doG,0.0555
383,-785,-370,cAt,Cat
-0.322,cyhtctyiys,dOg,0.097,-0.1945
hkysnedory,929,-0.191,0.2505,604
-365,kvtcvhomte,0.188,mlhsezhxyg,mqvzjvfrzj
opdzireteb,-280,-0.2635,uzytqesqlf,CAt
doG,cAt,CaT,-0.428,-264
ngdjetdoqr,qxdzierqor,-625,jlhgsosjzl,583
DOg,zxzqihwyow,116,zpezmmtesc,0.273
-343,623,-0.2645,-147,brvuwddkhq
-347,-0.012,rsxvwpntmz,hywunbkpwe,-0.1505
dog,-73,0.0735,218,134
pydnbtsowy,0.1705,Dog,857,-0.1
xaujfcxbuq,0.148,cat,0.1705,mhpstitsfi
CAT,blenoyzsyw,wvfkuciyux,dOG,-0.1035
428,raujpkypiq,kxxlfcdcnt,escwndqwiq,0.2465
-0.391,-0.0055,CaT,DOg,0.3855
-0.3575,-184,pjdksybbvo,-0.112,-0.1145
-944,-938,-472,ipxmaaknxp,0.195
0.204,-970,0.083,-0.3195,azjouqjfep
yuzurfkrew,-145,0.0355,-199,bagnjxmmmr
0.187,jieolmbaep,-0.3335,0,880
401,CAt,-0.496,euckpnasai,-0.449
nfgmsdhadi,wtlsmkngms,-885,0.2885,CaT
-284,986,vcqezqfypa,673,cedbbjjnfx
0.2055,-465,CAt,ovyfiflbpo,jveetrhldw
-0.272,olwqfnzgid,wgvbmpfpfd,-911,ckkbvhaqmt
0.4955,-0.1335,cqotcvfbwh,389,0.1785
ntgfjncaaw,0.261,0.253,smtmbvbalk,wergvtexau
-0.1825,0.4175,npsltyfxvd,-0.281,-0.171
