ujybprmmtd,mpsemkuuzs,ndbanetidz,gwlwbudyef
315,-0.0725,-890,akbkccugzt
gvnzzrjxun,598,putadiqecu,-0.077
nnpwoeapzj,382,dtwjvzgbsy,-389
-0.3515,dwpjdxommf,814,-0.2105
-98,cat,mcffkxnbet,188
-0.3635,427,psdrcihbom,tzvmkgwalm
mwqdaowyes,-0.333,-0.429,0.013
786,oevppvzxnp,dog,uymtqldesf
lwhtxulfhr,cAt,-423,-0.397
0.3295,nrrvjjhrnm,0.1545,dOg
ldxdvxxntr,hxclwehsam,771,DoG
-0.3055,dOG,697,-478
cAT,Dog,wkxavlxnch,qjqaqsdaen
0.4875,-0.2665,yyqlqxsozx,-0.3205
idutcadfkm,cxjdshdjvl,DoG,fmgjjegjyh
179,-0.0725,qaebruvyji,cAT
DOg,-0.3585,cpjxuctkov,bvgxilirvn
-949,0.069,0.423,942
Dog,cAT,-0.137,ynpmjutxxt
-0.1605,-0.184,ifakmegvqs,-825
695,apnuruoxcw,-940,owmykmmtmb
286,pbytgboezz,0.4185,-185
cAT,yynkxmpdug,926,-0.1795
-126,0.1945,CAT,937
-0.0915,822,caT,-776
dOg,646,cat,729
doG,eijsoygrnh,Cat,647
-0.2755,201,dOG,pjyxtgplrf
xsgmrbfsnm,-0.283,caT,DOG
kpdtfiyhwo,0.123,-0.024,lmhijzeiwj
-354,hbrbuiixbg,imfdfxwask,-243
184,dog,biqmozkmpz,0.241
-0.1865,0.27,cat,979
xcdbpwdxlc,-685,-711,-0.0575
343,-0.32,83,djwvwpxilg
-0.215,-0.361,-824,-0.3665
wofrpwtfea,dOG,-975,cAT
-694,vexpdaqujm,-295,-0.202
-515,0.401,0.1415,-584
-684,-134,dOg,CAt
0.334,-0.2345,-153,caT
ypcmhnyhst,718,-0.432,Dog
nlxpnwhgby,jlvlqqqmcf,0.209,kxrtxbfzjx
-658,-0.058,-0.3775,0.2085
Dog,791,57,-0.001
308,-26,-602,-982
-455,-207,zcsuismrxk,Dog
0.4235,doG,563,-0.0765
0.0995,rmaxnnulch,0.341,-0.227
263,0.0335,njlsgpxehx,688
fiqhrzdmxl,bgnxqfwhan,-953,dwjqrbyyvt
cAT,zpqlydxvfx,qymkunckbs,431
-435,DOG,719,skycetexsu
-326,614,818,-0.2565
553,39,0.0875,yfzxafetsf
ndjoksjisg,-0.0305,-0.017,cmlwvrrnxf
pxfkpzbaxi,dOG,rsuyluzzdi,jnwbmbvtng
0.359,-0.43,-907,khuhrtvquz
CaT,caT,0.18,xpaciuwoac
