gjtkcxwdax,PET,nrnbgoaddl
353,cAT,0.057
690,cAT,dOG
okwvgrqwfb,CAT,ychxifnynf
ixxcdqaxdk,CaT,-0.1475
wckdokeojg,cAT,zxfnqzyrnz
0.2455,0.4715,atgjkzpajm
DOg,CAt,446
-97,CaT,-366
715,511,CaT
-8,0.3645,-301
715,-128,415
-685,Dog,0.017
0.273,CAT,-0.1865
-932,CAt,trayfjqoao
122,Cat,cAt
jwqvmwqquz,cAT,-445
-0.412,CaT,968
ovgncmxeix,dOG,-938
0.3205,iprhedzgin,-0.145
dOg,DOG,zqppeibrny
0.187,cat,qlssoydsxs
-0.0845,wrxbhdhscl,-0.132
wicmmqhmga,klgfivimys,gdipltkcup
-0.398,dog,0.428
0.4575,346,-42
dOG,CaT,-0.0695
0.4975,cAT,DoG
0.105,cAT,0.4595
kdvcrpkxty,caT,-343
-0.1915,ipmtczjidq,-0.427
622,cAt,ekvmlkwvvu
-0.363,caT,577
-0.43,Dog,0.4465
0.204,cAT,87
cAt,cat,-29
214,cAT,dog
-0.29,CaT,himenccalr
-0.369,CAt,320
-860,Dog,0.182
DOg,DoG,kcngumcfqz
-418,bupnhkijor,mejvojsjyx
-945,dog,qafctvrvyt
llnslsgsoi,caT,-0.283
0.0145,Cat,yffstyfonc
-0.4725,CAt,-0.204
-0.388,cat,-0.1765
-508,0.441,phugqqinxf
-330,DoG,993
0.367,dog,ngqkmjlade
0.3045,doG,egyqoruxnf
