hlpjprgxuu,xdquksuqsn,vcunczyrou,ddqzsafjyx,kawrhifrdg,qfejglkwtm,egneoixoyi
mxxrvtzoqm,eaupjjjhwq,fbuopvmlyl,-0.2615,-0.291,-724,bzlzibhhyz
0.1995,-0.375,-0.356,CAt,-0.3965,0.1225,jpnimagfki
DOG,0.0745,-853,386,-0.4505,-0.4005,flzxndhpdv
-0.343,98,xwcqbkigka,643,945,-0.1745,0.3795
572,810,0.042,-0.4435,caT,0.1305,-244
dOg,DOg,0.022,CAt,-0.1545,dog,-0.058
-21,kblswffebb,caT,-682,roebyqgdeb,cAT,-276
-153,sxztsupgze,0.0325,222,0.1285,0.2385,cbuuboqsny
uevvpdkeeh,nzqmmrtyno,-860,ikiiedaftv,0.1565,xkxxtibjxe,0.487
cAT,0.205,427,DOg,duaqmhvsxd,CAT,caT
dhmwozquap,0.08,318,-381,796,DoG,tibfuicfsd
wnjmtphgze,royzalksuy,0.1535,289,141,346,0.0555
-462,0.4475,0.359,cAt,173,kthxnmakak,-888
caT,0.3935,uifzavimud,raoomcucha,rqvpzemodh,-0.01,0.4435
