ldsvuqflgl,roswisxges,msaycgpdwm,upjcyekfgw,gvmzhsohle,uygnanpcvc,xxegrogmhx
pddsuycdkh,-788,bhnsouqjou,754,nsfmzlszkb,spvhbcskvc,280
cat,-344,514,CAT,doG,lfpepdkaki,717
-0.457,eyfzuxqvmb,kyxpdnetik,jzdwlywxmc,-119,zmxblxltee,0.4215
0.4695,abrftbnscf,-259,twpfomrogc,-0.4865,wnjvkdctkx,-0.301
-0.382,agbsnizrvv,CAT,tzqlhowkxb,vrierncjlg,-0.171,-0.395
cAt,kyyfrgabvh,316,yyzwdmhflm,vrvomksrvd,doG,594
-82,0.0275,175,Dog,vcnoyzfvic,-0.2135,cAT
460,dOG,-0.3315,0.017,-0.056,950,ojdoehwdub
184,foccmbdkvu,kfkfzosmaz,-0.293,sykjgqhhtk,brxkmnpqmf,gmzpxkosvs
Cat,wlcreokrib,186,-446,-876,537,-891
0.42,891,-240,439,ecdkzlxxdy,-0.3415,vexoaiqddv
-0.2015,129,-0.046,-736,dOg,CAT,ljtcbpgkdu
0.4505,0.1205,-598,lhirnetldl,419,bgugabhlys,0.4595
-0.357,58,-0.302,691,cdfpglkpej,brsyuxdwtk,CaT
0.448,282,-0.4815,0.1365,CAT,caT,529
96,mwzbtxovis,-0.4395,ygmdjjjrsb,oxihpjbpik,CaT,0.0235
-813,0.276,0.3055,790,-718,ggvjrtsdoj,frarndfrbt
537,dOg,0.2135,686,cat,-5,-0.1405
DOg,-0.1145,raxrbvjnmv,fbxlljwojz,376,oilwiqczqg,-156
-0.2375,-0.248,qforydnidw,0.011,veitnxogzs,jvwlvbgitr,mlxtpxmuqr
-0.033,844,0.058,cAt,dOG,DOG,-0.089
-0.165,stnuambsbf,Cat,dOG,0.094,CAT,vmixbrxahl
abdfyvgvsp,saszpivfkh,-229,hpmqknsjhn,ftsxjnlyip,-137,-7
kvdxwpsqeb,jnpunbyamz,ttijrxtetp,-0.383,yocriqdqtq,658,-639
0.2045,-39,niyfvvchyq,511,oepnqifzcu,-0.1125,-0.355
xihefrqpdj,21,0.422,-0.0595,qqpwtnvecy,yunkbzlzdi,xkqlhhmnfi
307,-291,doG,cAt,caT,0.018,-734
0.0755,0.257,-0.486,104,-0.0565,-0.009,690
angchdwfzj,-517,-0.034,wvgnbooojs,0.334,DoG,-0.269
hndvvnngac,-0.277,Dog,pwfvzkqfzx,uimhermqll,254,-0.0745
54,0.469,1,fxctfqwpcx,jljzcahwhq,bmnnairihy,ncjvpahcyu
dOg,cqwaywddgz,prnorappyz,0.1805,-0.3555,20,-0.4675
698,cAT,-905,343,-0.106,jkfoyytnqk,ecbuikktkz
-0.026,qemjtxgkaa,zvgisedpzz,cAt,cat,0.073,caT
-0.4555,-0.1005,fyortfyrdk,-0.0155,cat,CAT,vdkhqyeuyu
-0.206,bobnwlmaxn,nmgjkpyyop,rjzosovjfw,pjizrjrdlj,CAt,-0.2255
tlvjsokghf,980,cAt,nfaultjleo,CAt,-0.453,nuybhydked
734,-0.3005,cAt,-0.117,-0.148,-382,-399
605,848,-0.1285,380,grxcelztfp,-709,-284
prbypqvhkp,lkwokumafl,oumklnztuq,ekawuussks,vepsrjidah,0.3205,njrlvbbsgd
caT,hjgnmfeflg,752,0.3995,DOg,wlcfznglnu,snqzxuhofk
qxooubrlpe,486,0.2845,132,0.08,234,-0.3465
Cat,171,869,btcjukexff,zolhkhwzuq,DOg,wbakhzufpm
-0.4305,43,ibfrdxccvy,-585,cAT,-23,0.4785
834,urzmazamoy,-0.108,-0.29,0.0945,-672,DoG
agkxakkgvh,yyrqjcqvud,dOg,0.175,ashcwtidsk,janbpeyipo,143
cAt,DoG,-0.2025,cjpxnoebnm,-0.395,-0.392,jmiywurgtj
zpgraelvgz,465,-844,xsqjzxwsii,-0.0395,0.061,iswfsvskek
eifefnjxeg,cAT,pwhgyxucgn,312,Cat,-0.2635,jatgyvfuko
0.2935,-791,76,dog,484,cat,ntkeecmplk
0.4685,jmsteaxtwm,fblwlllxif,-816,-0.3315,shnzwnkdgl,-0.0765
cAT,CaT,-147,vvdsmteviu,kpqqwtqmpi,-0.3345,-981
rgybrsnrfh,cat,-0.3665,597,816,0.3865,rklzwxplzh
mhkcgljdkj,xqqktitrxo,-0.0955,ahrdqqfojz,dOg,-692,lkhcwfrunt
-875,wiwwecwplp,-347,xzzzengnob,tjbjnwncjo,0.4185,-0.301
omlsyocdoz,-799,0.2625,dOg,DoG,0.195,-18
Dog,caT,dOg,130,CAT,-0.425,0.3755
