dyfslqurhq,ftnmgtflra,echueizitb,nflldcpyfy,slxcxuscvp,vxeiwboftj,fwwbddwohw
uzofpfquzn,lizckhoreo,CAt,sbsxpspsgq,DOG,yevmhtdyrh,0.388
rkagestskl,-0.371,-0.3815,wdahemgagg,-914,-0.275,ocswnlzprt
-0.499,0.1905,0.0835,avlcovhfgn,0.1535,488,217
0.295,-79,-0.3265,-0.071,-0.3425,0.311,0.0495
-0.369,0.4075,0.0405,673,-0.46,0.042,DOG
-349,fulscbzlmp,dszqvawbch,288,winiyjaede,xhzxujjltj,gztcuwaimn
0.3885,0.35,DOG,895,0.134,acbansyewd,DOg
-263,-849,lgytmwvubv,hgopkhnejw,636,0.0835,Cat
0.44,0.494,gfxmeplaxb,-0.4825,gngoctoejd,uvfzzdwtnx,714
zhhtvuhvoi,840,-242,-0.157,-0.314,0.32,0.246
cbgoerjsip,Cat,fpaulexxrs,bunnyntivd,-305,-93,0.292
-734,0.219,745,-0.407,0.3465,CAT,679
340,awrrdfvsic,-0.414,CaT,qlzvvrxrpy,0.3395,-0.3765
xtgntggdhe,-652,efehpeimqq,myglcnvxsv,cjtwytkmzy,-469,490
cAT,dOg,irtfandbnn,-0.3205,zxsjvxciux,doG,0.136
-180,-0.282,428,0.4385,0.489,cAT,0.0515
0.275,caT,gbgdibcqhi,0.214,-710,-0.082,nvonuaspis
dog,0.336,caT,fhbstvifyw,cwwqhqinem,edlhttvwly,CAt
0.2195,hzhrlilyzs,DoG,-813,usmeikugeh,DOG,deuuipoubp
-875,-587,shxardydfs,txemcrsyxy,Cat,gcvrxkfcjo,DOg
nwthbossnl,-0.1595,-0.2345,mmjzudpmse,dog,icngdhbjlo,mjfjfdbfzk
0.3495,-185,-568,490,CAT,847,799
ttcdprjqli,vfmounhauj,decnvglhsn,guujqjwctc,-56,213,tevqucwohe
gvkkitapvg,dOG,yamylpoqfa,tfnnrnionj,-0.4835,-0.19,-0.3295
0.205,gkyqfcmqcu,dog,acrjmjmaai,0.2605,wruenaqqph,-236
xwtwubffzy,-0.0835,xbzarjgpqo,xumsyvnifg,138,0.2615,-877
vrafqedusw,mglkfcvaws,njunltcute,-198,-0.2165,0.322,-56
wrvhfjlwae,cAt,Dog,-518,113,-0.1095,nfkruvujaz
dOg,jxpzllwuvk,mcvrumpcgk,-0.0645,-594,-282,276
816,utuvaftdxt,CAt,-887,-147,CAT,rqwtrarpne
DOG,-0.0105,370,-0.3355,Cat,caT,dog
-0.406,-0.3355,0.346,dog,fixdrqowur,uxubctxkpy,861
lfdczhtblr,-146,-853,mapjumofbe,-0.3405,435,689
648,0.2735,922,CAt,0.458,399,-305
619,wbidbwprpw,arolfhltdy,wrcrdgjkmt,joikzbmwpl,zhhhsfezep,gppdvldalr
0.2435,775,kvtreradxu,dOG,oslpuvkjll,rubwxfvmck,azztkcwnvf
gahwunibma,lnxqadqdkv,-377,dog,dwderjyxrd,366,0.0555
-704,-610,0.339,0.432,-0.451,-0.0735,-168
lbwsspgkrj,-0.135,CAt,0.038,0.0415,mfvkbnuild,0.337
ilfolugnlm,caT,-0.023,0.0405,dog,seauvlgyzo,uctktihwob
693,xxtgprexvx,-0.4215,0.1535,-254,-0.2885,0.142
-0.3005,CAt,-797,dltgfzrovy,wkehnciobt,lrmnglbrzn,yzujgnkqtw
0.0235,yicrwnbavd,16,levfvuisyi,DOg,-828,604
hqkdsclihe,-0.394,-854,-0.33,caT,299,dlzlveyawn
mhrzfgmzxl,DoG,-0.482,0.2135,caT,CAT,-280
-0.493,-0.2195,yilrtoekpy,108,CaT,152,0.2305
691,rnbjwiujmr,cuybuakxlj,dOg,cAt,0.0085,caT
xtllwxcfbc,-290,fxjrdqhyor,-0.303,ilyvjgiusp,yswydwgzen,cAT
465,-0.4135,cqimdldqse,cat,CaT,DoG,-624
0.4425,-560,jkgcmpzmol,-0.4895,-896,218,doG
484,ogcjsjeslq,-0.458,0.271,-477,774,-175
