advfqoaqlg,ixzloekaoq,ecigwwjyri,cdnrdkwhdr,ypuplhaayx,locjamtvzu,khrmtxvyiv
-597,wdqtgstipk,-904,-0.3775,-0.3205,dOg,Cat
doG,rmxtoigxfd,cat,-0.273,-0.366,CAt,508
265,famjffrcvf,0.315,228,689,cyvhnhuocy,-0.2985
507,0.378,ymdupgvukd,0.0365,yynhxiwkia,0.0605,-204
dOg,-771,wigodowpyz,sdvervykoj,qwodbuczge,-948,tlmsrrnyxn
doG,DoG,bcnjtdqcwo,0.2075,0.123,-0.138,0.47
-0.4145,-0.194,-152,-0.245,0.3745,dOg,cxsxrfmlvr
517,-0.3575,398,Cat,373,nxpepfhyto,-0.468
yupnfjwbhw,dOG,-575,heauuwttng,vblutlfpqd,640,756
hqrsayycgg,cAT,0.186,0.141,effmlpycdb,ipmtgkobac,ndgsqerqgm
-30,-78,cuyqbaybai,484,Dog,gqnzsefgme,-0.158
ifuhyulzgq,-568,0.212,qgdagvdrqy,-245,-392,CaT
-502,-519,-0.3375,ykiyrglala,-0.016,wvcdczlnba,CaT
0.099,CAt,890,-0.056,0.189,mwmvdoylne,CAT
-0.4445,844,okseiucfmp,828,759,aakxdezlqu,162
0.231,cat,cnwraohroz,cAt,-0.4515,315,-930
vidstbkitv,-693,pvhjranymo,okqtjlsato,cAT,fsokypanvo,vdwdovxxum
657,-998,0.4035,swqlpulwcf,hhrnmslybt,-339,0.3845
0.0485,scckgubqcf,vugstiawpp,fwbbuzruun,-0.4755,270,bcocgjlrjr
735,945,dOg,lmfhjqceux,hqjgmmylww,332,0.278
-0.1085,nqijfawmdd,CAt,-124,byxyfeyvip,xtukuwypdt,232
-934,625,-69,957,-0.369,hqpdfvgcig,-497
-0.312,-0.363,-0.3475,dOG,-995,226,0.478
0.39,osfenefkxa,uomrhumivs,-571,DOg,CAT,dog
0.0375,-0.3185,420,zkducyffmo,CAt,-625,-0.217
-0.3965,mpnbjezjkb,cat,tszcruhujf,343,-0.1515,eszrkkrthh
0.22,-473,0.4565,dOg,22,602,dOG
430,gzkiesyfbn,pidryuuejr,539,doG,-0.041,0.2345
nmafmgiher,qhnfypbdbv,DOg,caT,Cat,zaaxeuzbhi,cAt
vaaaxrtbzb,0.352,gjboxqzyut,cAt,lznabgjqgi,-0.075,0.3435
-0.373,0.148,gdvyfyjeru,cAT,-0.191,-935,svxrfwphda
znccyrsoly,3,582,-0.22,-0.2295,850,DoG
415,0.2245,-0.3425,-683,caT,761,DOG
0.499,0.077,-631,-0.3475,phwqisovnv,-0.1115,-0.066
-746,623,efefwgxxcg,-0.2635,naiiqpirxp,-636,0.2795
-0.259,325,jltakagyqg,suqcjzptea,cAt,jmijxvqzpd,883
0.098,-0.43,948,-0.1305,sjxrnyhszn,DOG,-445
-0.0225,ptchjepuer,cat,-52,756,936,DoG
-0.231,-0.444,0.445,-0.1495,134,581,gkxphwicph
746,0.3915,cat,cAT,-0.07,893,Dog
-0.157,zvbrmuizzf,rkczujfwfm,dOg,666,0.149,-0.047
cyjhwyhrto,tbgjtgmxdw,caT,-323,hldlscohbb,0.041,671
-744,opwudaxocf,eqfbjnjmoe,422,cAt,0.027,0.4065
0.4615,0.4625,cAT,-0.184,CAt,ghcpxjbnpq,mducedkfvc
0.277,hwupkddxea,vrysbciuzy,-0.38,caT,-0.3595,umgrdsqelk
bebotiiixo,-665,-0.311,-0.3485,-385,caT,-0.132
82,-0.1725,0.486,hjmijnxbiy,CAT,-0.4375,-0.2535
-0.4175,vakawwpgrl,pyfxrsehgk,434,0.3755,xhcjssmzuz,CaT
-282,5,521,wdigqdgmxw,-0.0865,-504,-813
594,151,-0.2665,-670,jdglvgnigd,410,cAT
umjztcxsio,0.1735,0.1565,otgiyklssr,-0.4865,kglvpmyipn,DOG
bgtmffqzzc,-0.041,0.107,-0.277,941,-393,hgweddqrsr
trncbkcbpo,-790,ditthygmqo,472,pdxfxiufyg,115,cAt
CAt,rqdkgetukl,cAt,DoG,vqwllwepok,762,-0.161
501,-0.166,ulpukxidsd,CAt,686,Cat,-952
