ysdnqlqruk,fbsqlzbahj,eadnygxfxe,hhwbcmvcmq,pet,qxdrxrgkfv
dog,spximwazow,gxsgpnvtmh,0.3105,0.489,0.3435
0.408,dOG,-0.0345,-342,DOg,-101
nwqdbmywqx,0.489,-185,-0.3025,rilekqtxfg,0.118
-238,vggvdjyqej,0.366,xkpsqrxkqc,cAt,-0.077
nlmgmbdkah,cat,cat,978,doG,-0.114
-772,rbjnnmzjdn,CaT,evjskroudy,gjufnfruxz,DoG
dOG,-161,xevsshnqho,doG,cAT,174
czzfbikmpv,-1000,cat,whgjnbwhbm,dOG,350
caT,0.3105,-345,gdiyffakoc,cAt,0.442
CAt,0.385,-0.092,stcyrzkmgx,caT,hovsunjslg
0.3185,0.25,-0.103,0.256,DOG,czfmiedpkt
0.1515,155,0.075,-0.393,cAt,-181
465,cAT,319,kjjxxvrdsd,dog,-213
744,cuudnvhcrc,-807,-145,CAt,440
cAT,guelsvhpxt,0.227,-802,caT,CAT
fsxedrodqu,CaT,-0.4855,dOG,DoG,-0.097
0.2155,dOg,CAT,909,CAT,kslfmyhzdy
-432,dog,zsjffrikuw,-0.078,doG,244
-0.392,549,mftllrsptb,ovurvyggxr,Dog,CAt
-834,298,-381,-288,lqlszobxsc,hiqpzveiwh
ktvsrxcjgw,-896,-0.362,ftljlisqol,Cat,-0.213
lczxqldtcz,0.1165,bwvgyjkyjm,-770,0.128,-0.219
atouspjuty,doG,-0.177,CAt,dOG,DoG
doG,-280,imlehtezro,-952,cAT,gmpgmsriue
-59,-270,eayumoeyoc,-0.0025,errinkemov,0.449
DOg,797,-0.0795,0.4265,-268,-0.312
-0.1395,-329,dOg,0.292,dOG,960
-0.287,caT,0.01,aeiekjhabb,DoG,0.1575
dOG,dog,DOg,-761,mcypyyjayb,388
-0.41,vrhbqjbtdj,0.137,eywyjuhrdg,roiywpjock,-0.354
otpsktajaq,caT,-0.157,tomwtpfaih,DoG,663
-0.1345,-323,dpqxdazujw,buhnhlygot,Dog,caT
mmdpujttwh,DOg,-0.0425,xwuxjtedrd,188,-0.1075
0.0885,0.107,irkykwgjhc,buhtlcqazo,CaT,487
giqawkldrf,-0.29,-319,nkikzmwnyt,dog,0.326
-96,-0.1085,-993,269,CAT,0.2005
0.499,miwugmyedf,Dog,-0.371,cAT,DOg
DOg,cAT,0.0835,doG,CAt,538
0.1895,zgjgcquooi,0.033,cexostykil,cat,dOG
