zoleggioks,jbwxcnvogc,wdvisrbjjx,yrdrrikyaa
-46,txwpchjgyr,-810,frtgizgqzp
-209,-371,kxefpzywvx,cat
urrnpjvskk,CaT,-251,aclfbwvewb
-756,882,cAt,lfvonkgkpd
xelmbycbev,22,-0.4945,unsskvmwcj
999,44,caT,-0.288
-0.046,mwbykesnal,kzswrqjbck,435
doG,zfhvjljdtl,-0.069,-0.046
0.4,avofnrwvfq,lcizdwtocq,483
CAt,0.0385,595,0.4715
hnouargyxh,hfshsjisqt,-0.2005,mdijmygqvb
cAT,0.073,0.2825,-0.2985
CAt,CAt,521,-0.4945
cat,0.2405,cAt,0.2195
-0.0565,18,810,0.3715
0.399,odkffyooyd,oitscmalul,cAt
bqypcgavla,-665,wihxcvsdiz,0.217
jmfdcoylkk,dsxlkqrvuo,atsadakjko,raskrxkzur
-0.4875,DOG,-0.335,-657
DoG,275,603,cAt
-735,428,353,-0.0535
-0.3495,378,620,-0.2975
0.092,122,0.4465,-986
cfqjibjzhn,-0.2075,-0.048,0.3635
Dog,qvamkeiqew,0.051,tzikczyvnn
271,0.4535,120,-0.1175
cat,faazspjjuh,419,uufxwiycjo
DoG,-360,qkgleqqsvx,-97
qpalqqtnqq,367,-0.453,0.477
-0.2485,-973,xnbqksrqop,-521
0.353,643,275,0.2535
qjkpukgmyf,697,0.3095,0.288
vyhjbcndev,-640,-27,-0.083
roslkugmzy,aqwycstbam,-300,140
ocyfnfjnta,bcqbmgzbty,425,bpitodtsxh
-0.466,DOg,-452,sgmnaemmup
-0.4925,-429,-933,xxleqvhmdu
-0.1825,0.008,dog,-0.299
-0.1795,302,19,cAt
-0.362,Cat,-0.142,-413
skuodlrsqd,984,qemetvhjzb,-971
296,452,-0.125,DOG
DOG,DoG,eozxhywfft,wlqqubfjnr
CAt,-0.0325,tuvtsnrkyd,-0.445
DOg,679,zzwvoqxkjd,isefphwxjc
Cat,noyhkfozfr,801,58
Dog,0.366,Dog,myxyevajrj
888,76,bqalswaqtn,-0.195
CaT,dOG,Cat,dog
500,zingniytsy,0.236,CaT
stbnnbdzyn,Dog,urjczsmdtf,xhkwtygprw
DOG,-663,cqgfxqzqof,-0.133
0.2695,260,mnldoxprtr,-0.1075
-378,-0.0595,-664,kzdbwuwbex
0.346,qbjfmkegqx,uouikzvinr,-382
-787,0.3835,kctyzaoftc,-0.015
cat,dOG,-744,881
jpoqpcguqa,-0.33,-0.1445,zxwxogwvrj
DoG,CaT,0.2525,CaT
-0.269,0.4195,0.1455,cat
oqnmqawbiq,tzwyqivcxe,0.2455,umwahgituo
aewbzliayd,fjxktifhgg,35,89
eotqnavbbq,qhehxtzsfy,-0.2575,ammxvuusqp
CaT,nvqlhuprfm,0.499,gkeixpigqs
-673,0.438,-814,ixxmodwpmj
70,CAT,770,-0.1715
rbnnpaefxl,-0.414,774,93
0.3235,DOG,479,wvgzbcshju
cAT,0.3225,dypbvjxmyy,lndjjhcjje
-0.0705,170,DOG,0.448
cAT,-0.0815,0.0345,lzfrtkyleg
jvkzcqdmxs,-0.3445,yplrcrrvre,-855
0.297,xelqhdgthl,DOG,zoymqkrhvt
doG,680,caT,ojooqrwqky
esecxfbsmd,449,vxnezrcgid,xfgncdkmei
hckxshxidu,-452,DOg,-0.4175
911,dOG,681,vxfkmigvtq
931,osgwuxqwlu,ospwfphmxn,Cat
0.178,wfyjpiqnno,CaT,cAT
274,-493,0.247,jdxpdkslnb
CaT,dog,-669,0.1325
-894,-0.4,DOG,-110
-0.0095,vxdfukfcqp,bbnpqbfgym,xoocsickni
0.0725,935,lpnhfyvcwc,-657
