yzoszfeskh,bcfwayiyer,PeT,lavbtlfejj,ybpkbynkxv,cwkkkdlxlw
-0.2195,0.38,-0.392,0.17,Cat,dOg
doG,-0.347,DOg,jutwxenypv,dbxjvhiqle,-0.1815
kpiaxmjgta,-0.3495,cat,nbcrytamrm,-48,89
183,-0.117,DOg,doG,-0.1235,dOg
vttrbwuxsc,806,0.288,0.4995,caT,tbuhbkbsyd
631,qfqffrdecd,DoG,-788,pckdufwcdp,-933
966,pcjqkznuea,0.0865,0.0105,answvjfpgk,xefhadefta
nwdpbnzpzt,dog,cAt,cAt,676,-224
-0.1975,Cat,0.172,-0.3085,-754,dog
906,DOG,cat,475,ldhmdouipn,-0.2455
occfsakcuv,erjyunwalv,Cat,320,0.175,0.085
-278,whloltsteq,itqwfudtgp,mguaovptkm,-0.2085,caT
-0.0145,-108,cAt,-480,-0.0265,uvdtkydxot
403,0.053,CaT,-356,-938,rerpenvmgo
toncltfhxm,fufqphgorb,CaT,uejuyadynl,etcvxcpvog,837
-591,-325,DoG,Dog,0.4115,qfezynqgxw
201,-243,DOG,dOg,rstgpoipmj,byzpmmfaeo
-34,dOg,doG,DoG,vdqetomxzq,0.415
doG,0.1415,dOG,monjiwvhrz,70,-409
803,-0.371,dOG,-674,0.0145,mckaxxyjvw
doG,-965,DOG,-344,dvskcthjgn,dOG
atbagctmdm,0.443,dOg,yrcdqiotmh,-284,0.0125
0.0745,dog,Dog,-0.3245,650,ctkacacncn
0.0515,suymvjjkoz,vwbnjlpbtj,-722,ievqxkspsv,-421
rxttrpcfhb,CaT,caT,gwottkfcvd,-0.1575,xqrzodclbg
-0.112,0.3955,-44,jqjbgsersm,uhmowblped,544
0.2605,-747,DOG,0.276,0.4775,-0.0455
dOg,sygrpeqsus,DoG,668,dOG,0.3635
CaT,0.01,caT,Dog,750,536
