pprthfgfwi,gkqjgmlqhw,PeT
fgmrtoenxz,doG,doG
745,ixjiexayfo,279
aunctffspk,xpzwoiulgt,-0.34
vxarhadmdj,-0.039,Dog
23,0.4065,-0.3455
xtjehvkvpy,cAt,Dog
0.056,CAt,cAt
275,25,-691
xhxdnknufq,0.0275,doG
-893,0.144,DOg
-0.4495,-0.2225,DoG
-751,-0.198,dog
Cat,wcnbzcnkju,caT
ucsiznbmlt,0.0475,-0.0195
uvwhvuceky,rjcqsrakno,0.34
dOG,cat,Dog
telssappih,674,-279
cAt,wfjoflpxgb,dOG
310,Cat,CaT
576,976,Dog
-732,-0.38,hceogrlpeu
qcwylzaryt,666,dog
0.3495,wscpvylifd,caT
gkolufjrfp,rndhvejwzi,-932
nlzyajyapp,urgueflkuc,-0.211
0.1155,caT,cAT
doG,kmlqzgubry,Dog
0.234,0.028,dOG
-0.2315,pjjjqxjygt,CAT
ztrwmjpovb,caT,-0.186
-842,948,DOG
-921,394,zznwefopeo
685,oxdvtnloce,dOg
0.2815,njzvckniie,CaT
anshjxyuma,-862,CaT
-0.3945,-316,caT
qcugcmeptk,uewgzxqgab,Dog
530,mpgqpxqaqb,cat
-894,caT,CAt
CAT,cpanjufvpu,cAt
-0.289,DOg,cat
qmbhemolrh,480,cat
dOg,0.19,duvcgpjprc
dog,0.1005,DOG
odvpvzmzwz,CaT,Cat
teljoucqqm,-43,-0.4795
63,0.0745,dOG
iyjlcgeagi,cAt,cat
81,-845,dog
-0.2685,cAt,0.3055
DOg,742,dOg
uablbkrgql,513,cat
yzqhocmwxh,ulsdxfesdx,DoG
ccdjgfrrxs,xmupsyeaai,DOg
DOg,ihxesmxrex,CaT
-0.0575,-0.284,DoG
365,-0.4935,DoG
-0.015,CAt,cAT
DOg,482,dhfrshzicr
0.2785,-579,Cat
yuvflbcybb,cxuegyaoxz,Cat
944,dOg,cvmryprnma
liaqeyzdfe,683,0.139
egfylortmx,936,dpjwgexgbw
txglcrjxbf,zypuxehzzi,CAt
-0.359,fmcapysplg,doG
-0.316,866,caT
-0.2415,-35,-683
766,-0.0555,-0.4405
805,-0.2375,cAT
-830,0.4745,dOg
owamskfxtv,841,caT
0.327,0.382,qhsdqifstb
bnbnfytbkg,-0.1835,Dog
0.3285,0.2575,CaT
erxjabybyo,0.3695,cat
Cat,914,-0.398
0.458,47,cAT
0.4915,0.227,kouhueylye
