klmmuryqgv,PET,ycuabyjgdz
DOG,eojmqflxqh,-901
mixtdrciyw,CAt,-797
-0.182,DOg,0.476
CAT,DoG,837
qanqhqitdl,143,doG
0.2785,dOg,-0.3585
czpglusvlz,cat,CAt
iapsqkbpga,dOG,-671
389,CAt,dOg
0.051,CAt,10
0.0475,cAT,mhkzjgrghy
ocmoixnnws,Dog,dOg
CAt,Cat,doG
ikuyytcurz,0.0895,0.0055
0.0995,DOg,nexhxfmpls
-0.0135,cAT,-639
-0.1095,Cat,0.115
npqbjlzoes,CaT,-363
jgitxtcqbt,cAt,-0.44
-307,DOG,DOg
rryswnatje,513,lxndskgngd
aqqtqqztol,nfyhyrussl,dOg
-128,doG,336
-130,cat,Dog
0.3815,CaT,-724
eovoauqsmm,CAT,kqjxazichh
225,cAt,0.2815
0.1,dOG,0.15
CaT,DOg,583
-869,dOG,cAT
-0.1925,dmopohdimi,0.0395
0.2075,CAT,-0.323
703,DOg,729
abvchoeyvm,724,502
0.478,caT,0.3405
rybfdnwpns,0.3975,nfmubmrgyp
-934,kzksdljzvw,rpubzjyrey
-25,dog,0.3925
-0.1755,DOG,gutiaqatsf
0.2965,919,-392
fxkqmvvfcx,xqpmbsjnbv,yzwxwhopio
-0.195,dog,sgcwfbqkcm
DOg,453,krabipxngt
CaT,dog,yjsinzdxzo
caT,CAt,-491
byoqdkluyh,-0.1825,Dog
DoG,cat,cAT
0.253,dog,0.08
ddzdmqwzto,Dog,nvamtpnpmy
itptgskcpy,CAt,gyqgdeihyp
-242,cAt,-0.4435
0.4925,-0.321,wlbznsxszz
-244,caT,-0.3975
xpaonaetnr,DOg,-0.2175
qpiosqhvmd,doG,-0.251
jbcroywxjf,CAT,-383
dOg,Dog,548
oqhoifyejq,cat,naiytigrav
hwhafvxpin,DoG,-844
0.117,Dog,-0.193
0.2385,DOG,0.2735
0.498,DOG,-371
epttzomahq,DoG,754
-954,vlzhyxdpko,elxkvfsewi
-675,cAt,doG
hethvvovln,DOg,aznnckyaze
egvsmamypr,DOG,-0.4935
edljyzqzdm,405,0.2285
0.4545,DOg,769
