ajssfpflbd,wgobsucoql,usxpqzyhrc,edmmvyzeor,tefdcssfvp,rjlkrxgpfd
-844,-0.4705,0.0305,0.3555,nfopufuqqx,copercxajf
-458,0.453,fdnrjgxqwc,-21,cAt,0.226
-0.3015,658,2,jgheuaudpz,436,CaT
akolmjnlql,-76,Cat,Cat,fssmfosojp,-0.4735
ljaaqejryg,-961,Cat,DOg,xjwmgxogip,-0.124
fenananhoe,-0.312,cat,doG,-750,cjevaakizo
243,quprscoklo,-0.151,-0.0425,230,wnhnwnzrqe
cowtsolsez,-951,ppdeupwclk,547,-0.468,lqxjueloqx
0.2695,xenhnxcdwn,dkrzghakmx,-745,DOG,-0.393
-306,qcctuohfgj,0.236,-452,dckpexkvsk,zydqykrjhc
874,CAt,994,810,-406,0.111
caT,788,0.4615,virurkijhr,-0.3995,ooczhvwdbi
nufjmefsvt,0.2735,0.149,gsmiloipwo,0.2175,zzmqcugkio
0.2735,-0.003,dog,doG,owewosbtze,748
zuaglwxdyo,595,cAT,211,ihplktpuci,-132
-0.142,-57,866,vjndyhxiis,-0.015,687
-0.391,-0.159,-0.1495,-409,vqvuniqgob,myvpsprimv
cAT,nrzfisuguo,dwanfjphub,skcdtfmjgc,cAT,CAT
ypvhlddpbo,vumygcflbd,gwelxvmaus,fjshtzdmqd,povkjsuzon,utgwrydwxj
558,-0.4795,CaT,caT,CaT,0.229
zoiikjhvkx,-593,-0.07,891,lkgwftrnhw,0.455
-0.234,hdqrbowbun,884,uhrskpprmv,233,hyvcopxemt
dxchezmmej,Cat,zfoedbzhmn,iafaswjaef,494,caT
-0.3395,0.121,133,aduqlmltxy,-636,569
-676,hiskewejkb,-949,669,ljtktbicle,185
0.496,-869,Dog,0.155,-0.1425,ahfqikemtb
-0.438,0.2905,ltukjrloin,xdbszevkee,oykdfhxipy,-26
-0.0925,0.072,ciytfcqwhm,kqvtqxjami,uaqyzwqork,qmfsnrgkgb
0.3095,-931,-451,0.0695,-0.1265,cat
eiubmqllcu,zqsybwdgyy,486,323,727,sawxqpeaek
DOG,iyfzkaulbf,qfaycoolmj,632,-124,112
gdmmnnhpxm,ufvviwoghn,zqowydtizb,-0.083,-204,caT
hbbgaktalq,0.08,cAT,-0.1545,dOG,-0.0175
cAt,DoG,nkoglqimcq,-0.0975,-0.355,0.169
288,-88,-727,opsyhqpqwh,0.01,ljulhwfvle
DOg,-686,-0.4505,0.018,mryisrxwgf,fqsuazpokw
-798,-0.213,0.3695,-0.3945,-540,-0.0525
-61,htzjdfhkop,mjkbrbmhls,0.2155,zagbrpuohf,CAT
miceuwemld,-0.473,0.098,kfrbxawnpw,-0.2065,171
-0.46,0.136,jalpqznpey,adlragubhu,-0.132,Cat
259,uhgxlnkmow,-0.115,rkekmwkimy,dhiymtyldn,kojwmkcrcl
-0.0435,puxpqbflxj,-985,0.1595,-0.4165,CaT
-0.0685,ewpmcpkccp,vfjeciqgii,frsbnhtfvp,822,tiymzbihnn
DOg,-0.108,llmhjgqfso,zytzvvtavm,0.0395,-0.1145
