dygxbxtwmo,PeT,juzfefukaw
0.3605,Cat,0.1815
-207,rtaxsgvumq,cAT
nhrtzsqhja,918,-0.3415
oydrohpsst,-0.2535,dxrbhdzgtc
929,Cat,-59
661,caT,-0.2815
54,-0.3625,CaT
-0.2235,lrldmquaqx,CAT
696,CAt,pwcgdyvxbx
vzbatxtkct,dOg,-390
-0.0745,Dog,-696
auswlfiukr,DOG,usxsfyjdpt
cat,Dog,-0.0185
-0.378,840,-0.3695
ugtjpnpthh,dOg,-0.3115
-0.192,CAt,cat
zekzxzjgza,doG,CAt
tlszyfwkbf,CaT,pyyarrmmri
oawmdgaapd,-167,-564
694,CAT,DOG
Cat,-311,-471
799,cAT,-430
cAT,doG,-554
awiqruioju,dog,261
951,CAt,mvdpnhqamh
383,caT,743
CAT,cAt,kpyrgoijjn
rsesfiwbyi,doG,-0.4075
-0.4305,doG,390
0.4385,Cat,CAt
cAT,vpvvdglxdn,DOg
0.0515,dOg,95
caT,caT,-0.1115
rgjfwiptsy,Cat,CAT
246,doG,dOG
CAt,dog,maxsvwwgwe
kdbanqlrwz,DOG,khyhhlmkpi
-617,CAt,jqjljnfdtl
-225,Dog,udlczbgfou
-26,Dog,vcuyebduqx
-0.329,-0.2935,733
dinpmtikay,DOG,-541
ruwldhtiey,qvmcsdzatp,jbtgszzsyn
-174,CAt,761
qexolyflts,doG,-683
165,cAT,ixlgxcmszd
DOg,DOG,0.3465
kkpqtujtcl,-300,0.3935
-110,dOG,lvgxgoqrrh
ilbuoyteto,doG,262
tldmwdjyyb,CaT,-0.3325
doG,cAT,mdjstumnei
ehhhkworuq,doG,CAT
ofirhuindr,dOG,rmsbcqwrdd
-239,234,0.477
DoG,cat,-0.211
caT,29,-0.396
ydyrckxidv,doG,Cat
xeaavjjlsw,cAT,dOg
dog,DOg,caT
0.0195,887,DOG
CaT,cAt,-0.2135
0.319,-0.057,rmwzomxtpl
729,dOg,hfrladflfz
DOg,Dog,0.178
CAt,cat,-0.212
-0.3915,0.4805,doG
0.1415,-997,862
35,caT,CAt
DOG,DOG,0.3495
-0.0615,cat,-968
0.232,cAt,843
-91,doG,-0.2675
5,dog,0.3425
jaxbogqdar,cAT,-0.226
-0.357,caT,0.1665
-0.4815,90,858
dOg,Cat,0.4205
-756,DoG,pdbihzxpzy
-643,dOg,dog
DOg,doG,144
0.4835,dOG,488
0.1175,doG,0.3795
DOG,cat,dOG
0.4415,doG,mrwkdggmxp
0.288,Dog,0.1275
243,oesmnwaldb,etdqtvkldt
932,Cat,560
0.411,DOG,440
wsxoxitpys,dOg,CAt
-0.3425,CAT,-103
DOG,CAt,-45
0.374,739,0.1125
0.4,lcuvfarnmq,-0.3095
-0.2685,doG,-392
Dog,CAt,nqgwdjcast
