bkoizmgnrv,ghjbzyxjdb,vmotgfiekr,kbfnnblzse
-0.3155,0.0315,gtkzerltuq,dOg
DoG,-533,-0.392,jpwcjoizho
doG,-0.3895,0.476,doG
beyrfyzsyi,-979,doG,0.046
470,bvwghytdkc,uystpjheuy,-199
-23,-0.339,qjyfmpfbjs,-0.3265
-589,sgmhdqbaxu,cAT,ffuqlihgzv
fkxdxkitem,-382,-0.093,CAt
CaT,-952,-0.023,-0.1255
sihelmstvg,cjcmrkmtpe,0.3415,uwqpjhvrko
CaT,51,locmxbadwo,-0.4415
-0.353,-358,0.394,-146
259,0.063,-883,0.26
585,-0.483,ynncorcsom,842
0.3625,657,0.4925,lolucqzttx
mwodbcjohe,ejksshgfnz,DoG,azkmtlrkpy
0.287,ixarwcgovd,lfzsexhmsk,zilyuzbzeg
ocdzwccsqt,adqmsurjzx,xdobhizbph,-628
DOG,Dog,tsxhuvipoy,-0.453
Dog,sympljqdpv,79,69
-0.353,CAt,304,-4
106,0.3295,xbfeaazpwi,0.1425
xboxasbxxw,-0.337,Cat,0.022
165,-182,-0.3405,-0.352
-0.0495,-725,uylkdqclxt,chrvwquubt
Cat,220,sfrpkjsfyl,-949
njwirlasgh,tzxkchjdwo,-651,CAT
-14,hlylostlvg,emvogijjui,484
ohsgcbykof,-0.1,-155,0.263
qoztijegwo,caT,caT,CAt
-0.2735,qfyfbyuhgm,ylclbmcjmd,lxsqkwdofs
-0.055,0.3455,-0.3475,cdexsizkti
240,DOg,330,cpllsoaucl
-0.041,-91,-0.289,0.424
ahmbabwzfa,mbhjtqlism,-0.1745,qxqzbefknc
DoG,0.065,-0.5,ohimvsrpjr
0.2975,0.1815,vxuwiphcsv,lovuqthfwn
-0.4455,-791,0.2665,-0.2835
115,-0.0875,jpiirnsecz,-769
wvzevzpatr,-0.1085,ghbavqpeks,0.3115
497,dog,707,24
rpntsjwxcc,-852,tdytqahztk,DoG
748,tvqrhewplx,0.1525,nmxnxpepeh
633,iujfnizuhq,gvmyuzlcqb,0.0905
-386,dog,0.2615,uydfxyxqrg
idcugsvivi,172,432,dOG
-618,961,-142,cfwymkgllc
-0.411,dog,995,0.1405
faigrkafak,-0.0145,Cat,-0.4355
-0.2465,0.0295,lgpzkmfcyn,-149
-459,oguvjdufia,-606,euyywcpvvv
zsfxsodwqh,244,-126,ixgymtwkjh
Cat,jsamqcmjgw,qexsbqhykc,crxsfctmyd
stcevkdykh,-278,449,ciwemzxssw
0.3285,39,ifskbytvpg,-0.2055
fvecwwgmkv,tayolxfzsm,282,-966
137,-396,932,-0.294
