ysbmisgeib,wqhbsbybsr,rftlatrgya,crfwcxgxaz,khtowqqbkw,fmpazznkpl,PEt
0.401,cfhsndwmer,0.3225,-0.06,DOg,doG,Cat
DOG,twhggpaztf,-364,fhjqhhbcus,unyxbxpayu,DOG,Cat
704,126,-0.3765,caT,-0.1395,dog,dOG
sqxnfebayu,0.32,-0.2765,55,tnqngicbnk,-121,DOG
CaT,-353,pazqsovksc,867,xugzxtefpl,-0.477,CAT
774,CaT,0.0705,dOg,cat,0.187,Cat
245,-289,dOg,-0.0855,oaxlaqjjhc,Cat,560
htnmazxnwm,0.4225,tfdmpqlbpe,-0.4765,-654,uukbozewqq,sethauyedf
-581,-0.337,-0.2855,lltbteugoc,srwzwkrzgk,-69,caT
-0.0765,0.39,ifqacuedft,osutxwaqon,ruthsbokar,-45,dOg
khlpqhyvni,0.4445,0.472,rudxkasnyf,0.432,0.4245,907
rjyydmajfp,-105,dog,0.347,-0.1775,624,DoG
0.0635,-816,cAt,sszyzfehza,-247,-175,jmdxdfpxhy
cmmqhhtmdx,0.417,0.013,372,ofrfveuxit,0.3235,cAT
0.1475,sewvhlfjbt,789,282,owrkmiydgy,-929,CaT
vmrhrasanj,doG,-649,blbrgvwaix,tqzzoyiixo,fbwahbrrmb,caT
750,rondjntmdi,0.1175,gakrctevdt,yfpoawoixf,0.0505,Cat
fvadyosoyr,-450,cAt,gpmldmzwis,268,-924,DOG
cAT,Cat,lgxgyeznmx,-320,0.276,-0.2865,DoG
caT,wqibtvrdhy,834,329,-0.2615,-709,dOg
645,-0.393,0.4425,688,hwfjrglqfc,0.1685,cat
-0.379,beobcpvdfz,DOg,0.11,-0.001,rfhrcuzvri,caT
0.1885,-0.2205,244,kyopsgwbec,cAt,DoG,DOg
509,zrtayuykoh,852,-189,uyoqwjzlgr,-0.425,DOg
xemohmgrpu,kgwvmcwwwr,DoG,-0.182,dOG,-989,CAT
ixycokwsky,-735,ooqgimxlrl,-0.383,halqpjkykq,3,-966
0.131,0.403,0.199,CaT,ahjkhivepp,rsntxeprdi,CAT
223,rvilinytvd,-911,dOg,-0.2985,-0.381,cat
-0.0395,212,60,wbvogwrctp,259,tgsjtrwqay,0.362
-0.139,-0.297,pbxugbofgg,dxfvmflbql,aahhnvplwm,ykeythrqqw,doG
0.447,fheraijrib,igdfubqkjs,-0.2275,uwklzreglt,dOG,0.236
636,dog,818,dog,0.177,0.0715,cAT
DOg,vjqzirqnyo,CaT,555,-137,wultxnhbms,qzmrznwmrx
DOg,0.4365,0.0075,oxqukbcmxv,Cat,-0.283,dog
cAt,CAT,-644,fokbmltcrv,-352,-297,jrltitwmbp
