xjizhzdekg,pet,dfnbvixwus
178,dog,-320
175,0.2795,CAt
0.3675,DOG,yanhnfnzje
-0.311,doG,0.4565
512,Dog,-0.1765
-202,jktpjhxanr,0.218
gfhgmxdwfd,-0.1605,196
iteucdesoz,dOg,cgwespnpvg
-220,Dog,wnpinawsgj
-0.085,DoG,hpydlpkdaa
-0.396,Cat,-0.1295
756,-0.292,-0.0515
CaT,cAt,-394
cat,cAT,pfxxdmrsny
nkxihrhabn,dOG,doG
82,113,Cat
-0.3315,cAt,-0.0195
0.2305,841,fhaydufqdz
-0.26,caT,-320
302,CaT,yjhgxmkyif
843,pqoqmxklgg,189
qbayladvml,Dog,-0.089
-0.346,caT,510
oodueopzvf,DOg,dOG
cAt,DOg,-0.0095
0.049,DOg,hxpzvqphmg
zxfxplgarm,CAT,whqnnmygac
-359,0.227,doG
-0.4955,ynqynpebol,-159
-159,CaT,mtkecwvgic
CAt,cAt,dog
-0.476,166,-0.4715
vgijzashxo,DoG,-630
-0.4225,DOG,244
yevwunvrls,DOG,cxnsptitdp
0.023,-236,794
CaT,CAt,236
-0.329,aywwvbtzyo,0.272
-0.499,-341,-0.278
hueyfnnonn,cat,239
CAt,xplkfbepxl,115
934,caT,Dog
pnymomfknp,-550,emxnbbxojp
0.309,-0.0465,sraxuwptrl
wgtctsbarh,dOG,589
xnxzhyivwc,CAT,-0.487
-25,caT,szysvoplre
-510,doG,-2
-599,cat,-0.3025
ibbooydvet,DOg,-0.2465
830,Dog,cat
uacddvihxj,Dog,yxjakfaavv
-0.367,-703,doG
301,DOG,-398
qrbgqjwyaj,Dog,cAT
184,zkvuwkcnfc,-819
0.0985,DoG,xgpwgklout
mbqqbuximu,CAt,0.314
250,akgxvwwjbz,DOg
-518,cat,211
dhadkajled,CAt,-408
tjnpxrrtdk,Cat,-0.219
-809,cat,jngkkfmkya
0.093,DOG,0.4995
CAT,cAt,-0.4775
-44,-562,64
-254,DOg,kirfqjwiek
caT,cAT,-215
CAT,CAT,0.122
234,0.307,-0.4535
541,Cat,DOg
DoG,DoG,DOg
299,Cat,756
dckjexmtox,cAT,197
