lyxvgszbmv,ffzzeaqnjj,kxchkcxztz,sjhdzpalqc,sagssimyig,ckgntgskjz,tewflasdlm
DOG,-451,-0.4665,0.239,0.2175,678,iseokhdvbm
-0.4245,-0.2265,-163,gkfzclqazq,cAT,321,DOg
0.447,-874,-0.49,-0.496,346,wahuzxvnus,645
bfwffujhgt,-787,458,0.0875,-0.095,-0.317,-0.1005
DoG,cAT,immifyloss,109,cAT,awvctaqfvw,cdafoiiqro
-0.431,axdvwgumvp,DOg,0.4135,0.2355,sxscucjyfg,0.1715
ztukexgaln,324,-780,qkljgtkcsl,lphyfhdusq,DoG,geqzwfpuwl
-0.349,-465,-918,0.1085,Dog,919,-0.0905
-0.4135,0.2465,jxmuewhpwl,-995,592,-843,-0.257
DOG,0.0335,209,-0.1285,iqhomqqkit,0.205,caT
-0.1825,331,-825,0.2085,0.009,cAT,doG
dog,0.234,fiqhgzlpwe,dog,-0.482,urbpwzrvqq,977
fdyahhlifk,822,50,cAt,CAT,-503,CAt
pywvdputfq,dOg,-0.2385,-253,-901,cAt,fnqqtpfivo
gyqujdzcgd,tghjbtqtxi,wnpuutheie,-210,fyxjlzspig,0.244,wfufhhielc
0.4155,-837,sxnmwrjtyn,-854,iovqzvyijn,-0.1755,caT
CAT,gcfviedwsj,728,DoG,0.3915,ckkwrrkeeu,wjpqtdzasd
0.4835,-329,-0.0585,-0.242,594,nnxqwydxlv,CAt
nuzehitfjn,765,qlpbdbwlof,373,Cat,0.416,-0.2185
-405,cAt,-0.2045,-732,jirinubfqw,-0.246,-138
DOG,326,txdbuxnhyv,-0.1335,Cat,gmfzoqmmes,0.2825
-123,ahwghkpgyo,-0.123,165,0.4175,-752,pbahxfcbkj
-0.0275,-196,qkbtpanzax,CaT,275,Cat,-480
-557,-0.36,0.4875,DoG,-0.047,-0.112,qvoevuugdw
0.111,cAT,dOG,-0.0245,0.4025,-0.3775,-0.0195
213,-0.2695,115,-398,-0.1435,0.251,0.265
pypsalteim,152,-0.1415,0.029,-738,0.384,CaT
cegnhsmwtc,csovkubvid,djaszjdzie,0.133,igpjxjkond,772,740
CAT,dtuyxnbhkv,-946,-0.367,-0.0085,0.227,zyxnipkvss
0.422,-665,jkewqpegay,-562,fksapxhbft,kgorhropes,0.1445
0.0555,dOG,lwdisrsthh,wnewchrjkz,CaT,vrivvylxxe,cdvflatydz
fzbvakmioc,osogknqyrv,-0.315,ejcolmeimz,gjhtnoxxmh,-0.186,jinvdopefq
urowzoxjyn,jznbhhtakf,215,108,ehoykndmap,dfnaxbskkz,-839
521,957,-717,-737,ojdyxzbezo,DoG,-0.465
yoouiqyieg,0.1265,DOg,dOG,qljntlgqtk,dowkqyxyhz,-388
57,0.4535,0.1625,-341,dOG,-0.3515,-607
ectfiynchk,hzriemxsfm,-959,-441,-85,0.0215,-0.4315
DoG,859,wvzzxdwlwe,zyrsthlenu,DOG,-265,0.373
-0.1535,0.3125,0.134,-775,vomejurhvh,sgjxayfwwj,-894
702,-0.236,0.2225,-0.018,jpewddkttb,CaT,vpaqjowcfx
256,-497,574,lzzzcaxtgg,fohfilcrob,0.435,123
-601,iqcxmsegrh,dOg,dOG,-140,0.3125,-0.499
880,poigpomxix,CaT,wneludbxhr,xkkzeohgdv,DoG,316
-341,-0.2945,DoG,zrxwqnhcgz,0.1555,-0.1695,0.131
szxxmahmak,ouuuioyfdo,-641,-848,0.07,jryicsglbu,allyymxeel
-757,-652,Dog,dOG,vlrhtixenn,-210,-558
0.092,xsbzdejxnj,0.2455,61,-263,-0.01,-0.187
56,2,0.0815,-973,gfbbcusezh,-525,0.126
0.0885,-418,-0.438,pjfwhbbvzo,-32,235,546
120,-0.264,umfapnifot,-0.0865,cpdifjqkbs,dipskdcnvf,-0.293
869,sgxmnabagk,cAt,caT,tkemkzdrjg,-765,omkcukmttt
Cat,-41,0.2,-0.404,-0.242,CaT,-0.0525
scubglztsc,anoqauejly,-0.0425,197,474,caT,ggtzwnkchi
0.279,-901,0.0605,-530,cAt,-440,xqnxnhyxta
0.4055,emerarypxb,-0.41,273,Cat,-133,660
pyrnyvrlqe,ssjpfckvtb,-384,-487,0.2505,mshzepqewr,-0.275
cAT,DoG,-513,-53,-0.42,CaT,DOg
tohhffzspr,0.098,-0.2425,yefgpoencu,DOG,-456,huzoyzhymr
cAt,Cat,jhohxwcjjl,didkkfwxcv,956,apokqzwmxg,mtemutqxkf
-81,okxcpgbtpy,-0.006,cgjyxvzwoh,Cat,-0.062,0.401
-657,-126,-0.222,0.2325,qpxsjuugjs,-869,rjmicfiiqp
naplzwjhcz,132,bbirswimeq,glrzxsnbty,-0.029,93,plwxrsiubb
-460,keyrrtvbwj,0.3675,cat,-237,vahkwbkcan,afdcwygvgd
aksfteytzq,-234,-814,0.2195,srnsdjqyqv,0.488,sctrovwbsj
Cat,-0.416,cat,-0.4195,-474,-299,qgwhfbcllc
28,0.1065,0.4105,DOg,hwrccktvzu,Dog,-0.1375
cqvpbkztwf,-36,-991,kpbywogtkn,DoG,-0.49,0.019
-0.373,-0.408,-735,-570,cat,-525,0.0375
CAT,cat,0.129,-600,xbqecfsjmf,uhygxfaslk,-0.3515
-0.3515,-289,0.191,tovbxgfbqv,0.2835,-154,qpagjnzngz
