biamavkaoy,rzcpgpsprn,wvccvdxkmd,vrycmzqgyy,tafyganwyx,ligmnrdoio,qpochkfnvh
DoG,0.4475,uerzyjwrgy,wlwatgyfyp,zfmpnbzaet,dog,0.1685
qhkrqfzrnz,-0.275,0.091,397,ckqaygvmry,-0.4675,kyaxhxogqn
231,hmbtavkvjs,421,iurpeetrfx,-92,287,409
603,srkfetzrff,-0.4795,qgwtsaimjk,CAt,gkryyvqmfh,Dog
0.043,-714,-0.4035,bcgmtzdzoj,cAt,khnbcizjvd,heoqewlaxc
0.0225,vgxniztqzl,0.419,-253,0.46,-807,-0.353
-0.2005,125,urupkvirxl,brmqrlwxes,-0.178,-0.197,0.0995
375,0.099,-884,qcvarhpxwa,voutyldyts,-0.039,-0.2535
cxohcrhwin,fypanhzsbh,xkmjuhveuc,0.005,-450,hgslbalxck,cAt
-0.281,-0.3665,dog,-94,194,-0.273,0.2585
185,293,254,bkhtpvpgfd,-597,0.246,cAt
-890,-695,-0.0565,cAT,801,374,dog
-787,0.0545,CaT,-0.1835,btdgksrddf,0.0735,-735
-0.342,713,-0.011,357,0.3245,-982,847
dOG,778,bzsaftjuwj,299,zvjpwoxgrj,0.0835,ghaqfbqpzi
-583,hzaxbwoifh,wbvdamnpmn,DOg,-835,CAT,goaqvbdzvv
jyjbvcysbf,dOg,vfahajkcix,vvqjxmbyfy,225,aivocfvprz,-638
-952,wrbwsqkxnq,vpxmfkjkkt,CAT,581,-321,DOG
zpwfhfstfp,649,DOg,802,18,uvjhsswxmd,zisuilowui
gvskxluhyy,-524,anwoineclz,-0.11,888,-0.225,-12
wrlztvavae,dOG,DoG,0.371,pxyvtlgdeh,dnsvleyvjj,974
-232,xjuozoxnxr,-817,667,mjhdotqcsc,-34,0.0075
-705,-0.4695,778,uweasmdjgd,idbfiiezpn,sfysaetosy,-0.162
-0.023,irkcoifznl,ilugdrbjzy,DOg,xchbqxcrai,0.081,714
jkrifszcvh,-872,0.4015,-646,cAT,CAt,mvtbxazggw
DoG,0.077,345,0.0875,drmpiogghc,0.3795,-0.1855
0.1805,dOG,ydulskshvi,eedyintujh,hgogchhinr,mfjoubeexg,Dog
ujtqkhukdr,0.1655,-0.4665,0.0705,CaT,108,225
Cat,0.269,dog,cAT,kgnthhwduk,pnznctwhil,doG
