djjjhpxcre,pEt,iwxsgchart,unagsbfkct,dezhmcmxrw
-0.182,cAt,0.178,-0.0515,caojywcohm
qgmrrbzyxd,cAt,mkjzxukkpl,CAt,0.3295
-0.2255,CAT,ozwodqewmq,CAt,dOG
0.021,CaT,0.195,871,904
0.243,0.05,0.2365,-0.1815,doG
-553,caT,0.2605,0.303,tyimoxetno
759,caT,348,qephzzffma,lhgvdhzcnu
-0.056,doG,pmgpoisblm,549,Dog
600,CAT,otbadmhwfx,-0.419,Dog
0.296,zlfgjywxbr,-0.13,0.115,0.3555
dOg,DOg,qpexllmcvj,dog,yqqnovdghy
0.022,-0.0375,-52,766,oigzakpdsj
-276,DOG,0.2635,324,DOG
0.358,dOG,-673,0.035,wwmjycupqc
656,CaT,280,-963,-0.494
krfonmhabw,Cat,ldebgzlhxi,nqoorjnfjm,375
jfethavnot,CAt,vcyrihjlmj,0.2105,-0.2425
olglderhxu,caT,39,caT,vjqpmikkiw
0.3295,cAT,namywnyvxy,0.0455,0.4285
feuquqdprb,cAT,-469,-0.253,dglamjxxrk
ksbyjgtqlq,624,layksnerin,dog,chplemwekg
-0.127,CAt,182,Cat,DOG
0.3725,dOG,-154,0.212,0.3335
258,Cat,awgjvtaifs,cAT,wlwthjqhzg
-495,bobptqvccq,sesaukgkqr,0.154,0.0725
-0.276,yyhzviqafi,mfkgpzhiiv,pjzmwaktxn,caT
eenriifhey,Dog,0.198,0.217,cAT
yuiggtysuh,dOG,zyybxskklk,-442,516
-0.4445,dog,-0.0915,Dog,0.2135
igpsmixiav,dOg,svrahrugdo,dxctegfxph,435
wearqrhamn,doG,wfifrkyami,dOG,-578
-446,cat,cAt,DoG,452
ksbltndkcs,-0.249,-342,-665,chswzhuqak
wcllzkgaje,Cat,-565,ahaspxiusf,nytnhnnozl
doG,CAt,sldeuikncv,lmdswbkkei,hqpdehedlp
bwuzcpuptb,jajdqfwswl,DOG,-0.3465,273
CAt,dOG,hftflwbxkd,-368,wtlecinsbs
0.077,Dog,-0.446,-422,smmkavneft
0.207,-607,0.32,vdnkvfxsvr,nyfxypsfby
-0.257,Dog,-388,-0.374,ukjryvxzpo
-109,DOg,0.1925,0.3245,DoG
-0.042,-0.401,256,-0.1505,-365
DOg,-0.3945,0.478,0.221,-0.094
-0.309,fqrgnarluf,-353,edaxsajqnt,-120
ovlubmjoxh,doG,ecseonalfh,0.091,-0.445
875,DoG,uwcklserbb,-0.3825,-754
-393,Dog,yuhpqqwhtc,CAt,glrlkbaejf
-0.435,DOg,gecritbkyt,546,CAt
-0.407,xpbbtvfhag,pbnguihdyq,-0.4905,CAt
CaT,dOg,-823,0.288,994
dog,doG,0.0965,0.0605,DOG
lfcgmlhkbo,caT,CaT,nahztjuuvs,0.061
hopbszzkoh,DOG,vgmduurodx,-0.082,fmzusbsbzo
-0.125,CaT,-0.224,CAt,doG
yhzmtxfbif,dog,ickavwagyc,cat,cAt
jqwecccsgl,DOg,rjbmeutifg,-909,spdohdbukp
449,dog,406,967,0.111
Cat,hzyavwixcm,0.442,DOg,dOG
-820,cat,bbzooubpgl,297,-0.0215
DOg,-575,0.2725,-591,-880
-657,cAt,74,0.1115,dOg
DOG,yypbzekbww,shxsihgdyq,hbosbjiygx,-0.4765
0.317,cat,-0.084,-136,-831
wzqxosiisp,CaT,zlrhryoecu,-158,kubfpnywmm
0.459,DOG,nttquvmbti,zfvnxkigqp,0.041
0.4805,803,-74,0.1485,-13
dOg,-0.297,kwsegdwrxf,-0.02,Dog
ztzjjtvqyu,caT,kxsbqazzok,-0.223,pazrwycvzw
-588,Dog,0.494,CAt,ebvkcnjvbg
583,Cat,0.1035,gpchihswfi,dOg
dOG,-474,CAT,-346,gqwzjtkrwz
cAt,965,fmocijbank,CaT,wgpmmytcvz
0.258,CAT,cAt,konodikpit,-0.041
DOg,0.2035,cat,DoG,kypoawmyyg
CAT,dOG,CAT,0.386,udxwupyqgm
CAT,162,caT,uelmysklwa,cyjjrjmpov
CaT,CAt,jccxvmafmr,-0.2875,dtkjxtulbl
zqfztkjxnt,doG,-0.2785,bqfwbjotok,egrlcaiyll
uqfzdicjsb,-0.136,cAt,rnawfgvdzk,rwwqxehwpw
-522,caT,-0.14,odpgpywbdb,0.355
nyszuivqmn,penwgvfweh,0.346,0.361,yzvdxxougu
DOG,DoG,0.2845,-683,0.1185
295,uehhzxtoiv,mgwzwqmspi,ukderjyyuf,0.35
0.154,77,0.2615,469,0.2945
-512,dOg,126,-0.09,-0.419
wiynxzmmbe,CaT,-477,-0.349,aulmiuhnqf
dOG,DOG,0.296,647,0.176
588,-0.145,txfdecigxu,-217,-0.454
0.0225,cat,-0.473,DOg,doG
sjovjyrcri,DoG,500,mgojgrcikn,CaT
-164,DOg,dog,-0.4765,yaupiujakd
dog,woowasjowg,CAT,dOg,-769
cAt,DoG,owojkyoluy,bzgpaepvql,xomwcklcuq
