jflzfbowyp,pet,xmzxlbdlwy,youurmaqsi,wpvcnornon,znwyaqgjbc,wqlpgvonzr
0.0595,cAT,0.2875,677,tlqkrrmuve,-246,-806
-0.096,cAT,-109,0.104,DoG,0.2655,qtbclouvqq
0.1585,Dog,dog,CAT,-0.254,Dog,-746
0.163,CaT,711,rqakcndbzq,zvqxxcdvxh,-543,743
-814,-645,0.302,knhosqebbd,DOG,cat,aaqewyidpr
nlptdnykvd,cat,984,nwwwbqqzci,0.275,-0.327,467
cerfwpvwpc,DOG,0.1575,251,439,ezxszqtchw,caT
-0.2815,Dog,0.1475,DOG,0.049,0.1995,Dog
tudamcpqqn,dOG,-562,37,695,0.383,0.375
hjlwukvfia,CAT,-0.112,-0.386,wottflahxp,714,-593
DoG,DOg,cAt,0.181,-310,dOg,vamzlffdwa
453,cAt,0.2295,-371,CAt,-726,781
-0.0145,cat,qoriiqizpx,CAt,qxqpoezlwh,-148,0.286
0.4645,-167,gzulcqkeel,ukgxelfwxa,-805,ocdysmapho,wxhtpkehbb
0.389,663,0.2335,-890,0.0855,CAt,uwrwtbatfl
geujfkpjjs,doG,wipagmnaze,CaT,fmbpxjsrem,0.184,248
455,eavwiqydnm,-174,709,cAt,477,DOg
502,aziyxykcpk,145,0.4315,hxbxxvcaov,870,-790
-0.4785,Cat,958,odjfmrnmqh,Cat,0.1745,cAt
-304,cAt,-0.2585,-870,npxksanxka,0.431,318
dOg,kbflcqomey,0.0045,869,-42,0.0565,kwlogrilfu
caT,dog,vzztaiaobl,0.319,lbaebftlxx,-0.0555,-0.1315
-30,Cat,CAT,cAt,foaouhgjwp,CAT,259
-844,jxcduaxuvb,-748,704,0.321,-0.192,CAt
0.4655,tvmxlmnpmm,dog,0.36,girlpohgdy,991,doG
wwifqokbvo,DoG,0.1505,182,0.235,-0.212,Cat
DOg,Dog,-0.438,DOG,964,dOG,-987
dOg,dog,0.2525,vbygflmzms,0.3525,ihrjypkttj,DoG
epdawqofzs,Cat,0.049,-0.0105,0.2145,-604,-512
347,DOg,-113,owgsmdquml,0.469,fesqfmmvih,-0.1475
cAT,cat,0.401,CAt,-540,cAt,vixhjaabxr
-0.299,0.267,0.3615,0.4145,-0.3165,-830,0.496
-0.292,634,0.459,osqaxpepfw,-0.0705,-0.4365,owenayoscn
beoaxwbvfx,Dog,974,blzvjxnzsw,-526,xwtxihcrdo,CAT
-179,caT,0.2385,CaT,fpzulxtygp,0.498,cAT
-0.0065,Cat,0.0905,-0.041,fcfklpvmmm,0.2125,CAt
ethjamugzb,Cat,0.126,-110,440,minhdizdie,-0.1645
dog,47,30,conblysdbt,alvgksgsjs,hmnyorrkut,0.368
-664,Cat,tkaqnsqkhp,-0.377,-59,nwrpjfqnce,uingqkntcz
