xyxhrfnfyo,ecxycixgjx,qrfkhofekp,majcppixwi,goqrqfkgcm,qhzftyydee
39,knkzojjnvk,oufscmkhpe,-0.1915,845,DOG
552,19,ymvuwloasp,-0.146,zhmvynvzte,0.321
cat,529,CAT,hyjdzviuyc,CAT,0.2125
xpnqvtdtuq,kjoxmsrbsr,dOg,dOG,dog,-0.045
-0.2605,-0.499,0.2965,-991,qpvxlmuifb,0.1825
0.2655,608,-802,-281,hbasnyahvc,0.2235
-0.4655,0.107,kwpybbllnm,-0.054,dOG,-0.0965
-453,wbveeztyey,206,-185,udksgihpsd,-0.2185
-0.1885,dOG,phclqcigcc,fwttcsfehy,ejfqidhupl,CaT
-0.4625,-101,0.3705,-642,-601,-629
-633,98,CAt,-54,cAt,786
-959,gomxltzfwj,nfcnsfiphw,-898,tsewszvrbm,-608
-0.0635,-0.152,-917,-834,-0.255,nomadeybsf
0.2245,prgibrpsyh,ktuckycuur,648,-981,Cat
doG,0.457,DOG,328,0.403,okwpxyzgst
thkzwggdjr,-874,0.385,jifwplmmwz,975,-0.406
-68,cAT,384,dpdvmerhwp,myxdnsossf,-0.4345
0.0245,-0.2955,-440,lpulbjbanm,lgampwxnno,-0.064
qcxwetytip,vtbuedyeng,yorcijmoru,876,656,457
1000,zejummmtji,cAt,-299,308,0.0785
yyashhvkmp,294,oszxpthatz,xpovtdjxmj,vchvldusih,lhbbyjrthu
