grieyyuwww,ootbpijuyf,szpekgvxdj,chgeegwkxn,gvpzjkkguq
0.4425,DOG,CAT,-0.133,-894
amltshizfr,cAt,866,-0.307,-0.346
-143,0.4745,iwppxxqsty,-193,doG
dog,-897,-0.3675,-0.1835,DOg
-0.1715,-0.428,DOg,331,jhttounbds
pswgxbxjoq,878,125,nomyxbcxpl,mqfigqupcu
Dog,CAT,jhqysixcni,dftcyicygx,0.272
-622,CaT,cAT,674,ouxbuxeexc
CAT,doG,dog,gydgvyepdo,DOG
cat,bkhvwkyxus,pnafmajzlf,DOg,-148
400,522,0.008,xkrxlvibdx,0.2045
-360,950,0.083,-0.2235,0.082
optrdjhlos,zkwstnmmrf,awetxzotlr,-0.4445,0.0165
224,iubmcapgdh,DOg,0.4535,-0.471
kkgqpmriwq,-300,uqsotvfiex,0.2785,jwnsievlfd
0.2275,709,-466,-109,DoG
-0.243,796,maziiywpyt,211,knhpbkviat
650,xxctkaojjk,-912,-38,cAt
855,-0.4855,mfmafcywet,kzjsipjnvz,unqkkyegow
