ocyrbvzhwa,etbdmfmktp,vlzrfoqurw,iicxdtjsyy
-0.4475,510,sijtinuilp,0.2835
fyfwirgafr,vveoeskzyo,CAt,0.4065
onekcnmcvh,0.4465,693,0.1745
immdjkwixz,lpbqcsbdpj,0.4775,730
CAT,-119,-935,byxqjsziwq
cdvvzqqlou,-0.351,CAt,CaT
rsxbbdmpdd,-649,CAt,24
havoeonkjf,CAt,CAt,ckgkwqdybe
-0.277,kzskjqxmuq,kzowowmzyn,-809
0.085,-22,133,idbdtctqui
dog,gntkaedqnw,rbwdxyjjtm,0.376
930,0.4945,-0.3295,gvrbivypac
tpvzgldpxy,0.104,zeaaifzebs,418
cAT,cat,bquxwycnow,opqlzyjhlb
-92,-824,gfgizlhyxj,DoG
-0.2325,huffbopyhy,0.4445,0.0195
cAT,0.2155,dog,ittdpgaeuj
CaT,DoG,809,0.085
-0.3005,CAt,317,whgpsniidv
-365,0.2125,-628,0.0225
oooorcaoxv,auxwwsembu,774,0.033
0.008,-568,577,caT
-966,kalhqdxxka,mvpcqxbpxk,DOg
46,pysjtjdzmc,-795,pycuhljfvv
ocgjfobera,932,-554,ouqrafdtsi
0.1685,0.0575,-819,-0.4155
dOG,-0.3895,yjnoqlswaz,-649
390,0.2845,-0.037,-0.3625
0.33,wblwxkdfmf,filhvpnzxf,dOG
kxwausegow,-880,185,-234
vwomceormd,197,766,Cat
eigrssrpmq,-407,326,dOG
dog,wocifqnelq,cdljleajrc,0.4245
