wdmkmsfacf,nbinagnzye,nnnxolzwkk,lumauuxpnf
0.183,doG,625,0.011
vvbijdrshg,-0.1825,srjemthqne,0.248
-976,cgorudfhfg,drwfpbecwi,0.0045
634,doG,pqtppfwcgz,861
oywtsyrpea,ftnoqtqhim,-0.051,-124
DOg,jfcthvabdj,0.1605,-0.3525
jmxblohqcn,-781,0.3915,Dog
eelproeukj,936,0.1075,dog
-0.1865,-970,tpiwuvsapc,0.3385
-447,365,rhqjfmbpuv,Dog
381,pgzhbnfimu,-0.273,narewcufkk
-0.0985,vqvleuhyza,pxihhaezkb,zfduyeahyf
586,beeutrzvdk,-0.1405,279
caT,0.215,-873,997
qedqrcrasl,0.4595,-0.2325,CAT
DOG,CAt,591,0.33
-146,899,893,0.1935
80,-913,461,126
DoG,Cat,-0.34,ggfoioqckl
iqpudvtuxt,otwpgcnpkd,0.224,579
qorxzhlxjz,984,552,sihhqiwqni
-977,-0.067,uwcghxkton,jtdhefinia
gyckgeiqtc,-0.0135,fnlhzcyyll,0.41
-232,dOg,-0.1935,-436
zctiqrwoqj,436,-411,-0.1245
Dog,izqgpihukh,xgsqztcbnz,-0.222
DoG,qcbtobpsyv,CaT,hgdlstqlii
jqpnxxohzr,qontpyeapz,-573,658
204,640,0.0085,-75
-0.235,zestnmevgh,dOg,jecfmwywaq
-0.498,0.1175,dOG,vhrbtwxrwk
749,xzyqtfugav,-0.2315,swgaqutncj
wimnhjicos,cAT,758,tarxyhsqaz
0.102,245,-0.0075,sshrctrvku
-0.4975,DOg,0.23,-418
0.3735,0.0255,900,-0.216
0.1255,pzqrvnfsmy,0.4325,0.0145
CAt,454,0.354,-0.147
0.4995,-910,crtnbbvkwd,0.2455
339,-527,pcczwhsvoq,-0.2725
-178,-543,dog,cAt
2,zctvlkefpb,bopnqwfweg,zuqkhriffe
-824,dOg,693,vsfwcqadbq
516,-544,wayevsqgsu,nunvlmtnxg
-287,-0.209,vfhhbfrzqf,caT
208,rtjgesewej,234,-580
cAT,-102,0.258,cAT
zmbbvvaovp,cat,ycyhxtzfiy,lveqhweyjs
-592,-0.4855,zghmgkisok,-0.079
-838,259,568,202
Cat,-0.346,-753,dOg
-0.223,221,149,-0.145
-733,dog,dOg,-382
cAt,-0.1465,-0.423,-0.236
758,0.0765,-0.1385,kkkxacjuft
-0.204,Dog,985,-0.226
hyysekrdlh,dobsjmvgff,822,911
-231,eslkueuvmk,lyjzzioibr,-453
cAT,0.325,-863,0.449
0.451,-222,mciyvjjdqh,-166
-711,702,0.0915,0.2205
lhtoyiyhgo,dOG,0.2395,-758
garqlvsttj,bnchbqfscf,Dog,-0.326
0.2005,CAT,829,Cat
CAT,141,zmbhdtgwuz,pclnksozsu
-0.258,-724,0.3045,CAT
0.226,0.237,-0.4245,0.031
-0.426,CAt,0.1475,0.3095
dqotsthovd,-0.1535,njfameaddd,-0.4155
cat,-815,gbzyzchcgz,xpcyumezsv
