zyszeqbgqz,PEt,efhmiwetee
0.0715,CaT,dOg
Dog,iqtvnbxhry,-968
cAt,-0.209,dOg
-319,ltduiedkhc,0.4295
-0.1755,40,afkrsqzigc
cAt,caT,588
sigbyzfcyd,CAT,-397
-764,dOg,-0.0955
vwrzqtfebd,-395,0.1115
0.475,DoG,DOG
lvthtjkocb,cat,0.111
144,Cat,-769
0.49,CAt,-363
611,-0.1675,oczmhovejt
DoG,Dog,-957
-214,Dog,cAt
pljovwifvr,dOG,-32
-0.2795,DOg,doG
ybalqigbva,cAt,-0.3755
pehiyqszxa,Cat,413
gapxkoiaap,ytfxezqihf,-30
wvxuokxgnl,caT,0.4585
-984,0.043,hqcrbxephi
qfbupldmjg,CAT,pbpmlmcjfr
-184,cAt,cAt
dog,dOg,DOG
CaT,CaT,jnmeqkfccp
-906,DOg,-0.4005
-0.355,Dog,-744
0.468,-182,CaT
842,dOg,0.241
36,CaT,DOG
mzazrnyccy,cAt,228
168,DOG,539
-163,cAT,459
ibpoedbngi,cAT,hodqucmeor
-393,Dog,-0.419
vyewrdwqkv,cat,vzzgotyyjr
-0.414,-0.2555,hdypmhyddm
0.3565,DOG,0.0615
-612,caT,brnmsvtwcw
vmdknmdqrz,941,amqbwrprtc
hvrssgmzvc,CAT,0.4475
dog,DOg,-673
0.0735,-0.0145,754
-0.371,CaT,212
ekuitikfzf,cAT,-0.044
-0.2675,656,fxllviufea
fksewvpedj,DOG,0.209
0.3895,DOg,caT
-0.0985,cobpbckdlk,826
60,-0.0455,wulspxrdfi
