PEt,kosvjinclr,fhetoiitln,yxlktqcrbm,ghgmuaxaqr,qridfqfdhp
caT,sxfmffrwel,0.142,984,xyhoehritb,466
CaT,-0.3585,927,-0.267,0.3895,udthvvaoxx
caT,dOG,-408,crwdlaefku,748,rhqtaajpmu
dOg,493,jrbqvymezs,wtrkckiicq,rkbtruenpt,doG
dog,mtzxelecyt,0.195,38,0.0775,0.44
mmchytylmp,-360,ncojkyxibi,tbgplfvtzn,107,-16
810,364,zuytlxtemg,0.122,0.212,0.102
cAT,0.202,0.061,-0.1585,dvjcrzcliu,-0.3805
dOG,pckqdgxubh,0.4945,crjiirlivo,cat,-0.073
jvpgyhvkci,-843,-95,-771,-502,doG
bubyknsffd,-0.404,CAt,Dog,0.478,-981
cat,palfktnudy,-844,-575,928,Cat
DOG,-704,0.447,doG,347,CaT
Dog,eaomqngscr,242,dOg,-0.2175,0.1765
CAT,326,dOg,914,-242,-591
DoG,495,dOg,0.4085,357,0.3065
cAT,mcsosegufs,-0.2525,-812,oazqlaiclv,qxyisbsmyh
dOG,-0.425,fbukkrvojy,-0.074,501,0.112
cAT,rfnrkjqqey,-413,0.2995,968,Dog
caT,Cat,-290,759,rhcvkvuuno,caT
cat,cAT,348,-0.11,yoidqgxgfl,0.0935
Cat,wpwisewxch,-681,grhngaigbd,0.0815,CAT
736,-0.288,-0.1045,-0.01,likjtkhjbp,0.0335
CaT,-581,zhpzfphfws,378,rsvweltqcu,-599
cAT,446,CAT,CAT,cAt,815
Cat,856,0.012,pswsrfukxf,vdyantqxlj,bmsujvufjt
bejigivwdw,unkpkxdmmt,510,Dog,-0.437,mtexqgfnsr
cAT,Dog,-0.099,cAT,-0.337,ywakitqsjk
DOG,wnhmjogiks,dog,DOg,ctpkgxfvec,-81
caT,dog,dog,Dog,hwlakapdnz,535
0.0205,fzmxbwmdjq,iotkrbilbe,-0.2285,CAT,-0.0055
cAT,0.307,hvfhdofycq,jnfbhcoeeg,983,DOG
-0.4895,908,349,hlskwegemd,-0.4755,-945
cAT,cftbizlwzz,0.0065,iplxmduhxu,vtjwvbnzrk,649
Cat,-402,mixoydartk,-0.264,0.256,kiwyyrkant
-313,-0.358,ajfduvxvxy,CAT,dOG,0.089
uabpouebcy,DoG,-188,-0.3305,jheqkmxbyh,rvuekjtpvs
DOg,Dog,DOG,doG,0.238,prnhuceejj
cAT,-590,-0.2475,-0.395,0.086,501
Dog,xqraajdygg,280,0.087,CAt,yqayslpjzl
cat,0.127,-710,ppzcjfrpcv,-323,uwmsxomdcz
-0.0875,rqxjsqsejb,CAt,lzotsjczun,-0.3435,caT
doG,eknojpwvmf,lcnhltrgfr,-0.1995,-0.2655,824
caT,Dog,-65,-858,0.306,-0.147
0.447,704,354,girvavhfjt,-130,jsfvgddiac
dog,-0.045,72,-893,-0.488,zxgsxkqksy
0.262,-0.116,-0.3275,-0.309,988,czoozcqwxr
CAt,-387,qqyitfufkt,dpnaycltvx,cAT,0.2555
dog,ntcvusyuzr,-728,ddocngufae,mnaqbbjvji,-0.3205
doG,CAT,0.2005,665,0.4965,-59
-182,202,yvqxinxyqx,-497,9,CAT
0.073,thkmibbsmd,-0.115,775,514,567
Dog,gytauquwyg,qmugioovan,gzyvvjoadd,0.1155,cAT
caT,0.3065,-0.287,-746,CAT,-0.4255
Cat,302,-733,0.085,rmvoeqzmta,687
