edcvnmnfvf,zejpgmypch,Pet,kbjgqtjrcn,gdkuejlyjn,ykbhcfdvga
0.342,CAt,Dog,430,0.1155,0.46
uyhpmihrxx,-416,cAT,0.387,-248,539
-77,-207,dOg,260,caT,nktzpolxdu
ersrbczzzn,-238,0.004,ekcncvvpoy,0.1755,Cat
Dog,pljrgtisuz,Dog,caT,dorcwumtrx,664
245,0.4215,caT,-382,-954,-285
CaT,-265,cAt,-975,lxgzkkvlyo,omkkdtncjx
-603,949,0.2825,qijzodjwnr,uxzejmphyk,oaxlceduwg
CAT,-96,dog,pylttqdeze,-0.1775,CAT
-0.467,vaqpwfhyhl,doG,0.414,704,0.3605
bhsgbkflyy,253,-0.2655,-1,-381,0.158
-0.3745,awpbiaimga,cAt,vrvfgspuiu,oapfvkjoea,DoG
358,kosybvlpvi,cAT,arpxwyedut,ahjtlslkom,476
cAt,0.301,dOG,jckbhsuvmq,579,831
-0.4515,-164,-0.056,-883,CAt,dog
tfkruydlar,384,DOg,7,dOg,-737
-11,0.2905,doG,cat,ztriqnhyzp,mmdknbqzat
0.1185,-535,cat,cAT,Cat,747
0.314,492,-0.188,-0.0215,fijkpvfqxs,-0.316
0.415,-0.305,-755,0.033,pqynygygbh,0.32
-542,-113,cAT,pnyafybtas,vabererphl,DOG
0.1135,caT,doG,0.4415,-0.307,dOG
-250,rreyvovtwf,-9,sjmvayfbyh,-669,rhxebxifnj
-825,-416,cat,fbyrxnblib,-0.4105,qfgntutqjb
220,0.2765,dOg,-619,-0.3105,985
92,rjkvpsnidl,caT,ylmggvryfg,ouirgvdtja,qirwxezuyf
DoG,0.4665,Cat,caT,0.0595,-0.0385
utubvuujjd,DOG,dOg,cAt,qitjnojnyq,-0.0045
957,-537,doG,qdniapzwhw,yqekbxwfbv,876
756,-883,caT,cAt,-846,lxvtloncus
-586,dOg,cAT,570,kizpkeplok,-0.314
-697,-0.357,sbhbtodhau,dOg,-255,pjfzrvcakn
-0.2855,emuibcoqqk,CAt,0.187,dOg,445
cAt,0.369,dog,-0.189,gfkgggixpm,lthpfxoeml
0.131,DoG,hxylrylvzf,-496,xprhjtjfmz,mboowrolth
dog,dOG,-0.038,-0.362,xbmnoeexae,DOG
-0.466,wwznpgnwxz,Cat,0.3685,-808,-0.173
Cat,-0.171,-0.2875,0.0035,exvzlissdw,258
-5,-461,836,-967,DoG,-617
-0.1185,xqmalparww,Dog,-472,-0.2835,0.3105
455,0.24,cAt,cat,315,-0.242
105,848,cAt,-0.3675,jndvjczyxu,517
eywfhrwama,adopnketrf,Dog,-884,cat,-0.376
caT,0.214,-0.426,nlbvlyzfnc,dbkqpksfte,kndyksjlsh
0.364,-942,DoG,yvquigbrfm,caT,167
ydyaztcipw,521,Cat,-633,ysjmfspkxz,cat
qwywwpqvpt,CaT,-0.2165,DOG,-594,pevggkqjib
853,dOg,-95,0.438,-257,zixkqhoakk
fawabbxhjb,fkwvamlsdc,cat,505,dog,doG
351,fjsyvvnbdz,Cat,sbpchpzyys,-998,pakwxkpjvc
dOG,tgcqehqgsh,936,DOG,cpvdcmvimx,-441
0.2805,tnwlbuaima,doG,tgfcznanbc,0.28,CAt
0.2955,-706,DOG,959,Dog,-0.1225
wqcjrmiytr,0.375,egpjrylbjh,dOG,-250,238
dznmrnsjfw,-818,CaT,99,CaT,Dog
-177,dog,Cat,-308,-0.2465,yenjieygzn
xbnumpwykz,olmvbfqpkf,doG,dOG,-863,prbcbyznia
mjvpftflse,jsnvwcwbqs,DOG,-0.3135,211,924
-0.387,lqxrtxcihe,149,xrhczdrsad,0.0995,btpotoewey
-0.485,rpppwniavp,cAt,-0.3335,pelmgzvmcq,CaT
479,-989,CaT,dOG,-497,-23
-764,0.0355,-164,-24,dOg,0.3065
-833,DoG,cat,bsbtuyepny,vbckrczefj,0.443
ysxosdqfxj,0.069,cat,nuphwvgfia,fglkiidhnc,0.303
hohfshtebm,-453,cat,-0.1055,-0.191,472
-231,-0.1605,DOg,gnkeaqxqvz,zkayvvspdb,mkuacrkrhk
dsrvdmxmbq,-989,-749,350,cAt,ylwfrlnkhd
0.13,cAT,CaT,0.4565,fpcuxopone,jkekstgzdb
