gpepbvmrjd,glsgrnidrr,gctcphmcpk,dyhqxgxliw
0.16,-742,xwedqkfpkc,CaT
CAt,cat,-745,791
-0.074,438,0.4185,-0.2075
886,dOG,-0.3955,908
asturxtbhi,-0.0645,0.318,-774
-0.17,CAT,ilnrxttcxt,Cat
0.339,caT,-760,cat
695,-0.0755,-353,-945
dOg,653,-0.163,568
-0.265,-690,0.2225,CAT
-0.4495,cAt,-0.123,-60
910,DOG,0.084,ahaewriqau
fxmoumyqwx,0.245,doG,197
ykjkvrrlos,-0.2735,642,-43
krcuyzhcnm,caT,CaT,784
671,rmolhomorf,109,-295
233,939,lpuwahlxpp,-916
CAt,0.4025,CAT,nwsxmzyudt
jgouhasnbv,dcbsgndhrl,oxmtemaanw,suchjjxnuw
obtvauttqi,dOG,-995,ahygoxgbbo
cat,xvekjofids,-956,ogvvpmpbtv
356,oxhbfzokko,-724,esekrppgtl
0.1565,vrgjeeziok,-462,0.1615
-29,0.4,599,Dog
-0.1065,0.357,caT,gjwitldlbs
-442,Dog,-0.2285,nqjluqqjpi
achunuxykm,dOg,jmqoqroqss,0.3875
825,0.4555,50,rvpuelxdar
50,0.001,wagoykqkfe,982
-0.185,-0.0105,0.334,-852
cat,-206,nyhfsizoyt,286
tqwfkqwdtj,0.02,-0.3935,Dog
0.1385,DOg,927,0.4835
-0.4355,fjffncshck,-320,cyhpjmkgzb
-0.1065,DoG,DoG,jrrvekautd
dOg,-88,0.2345,pykuwlvwfd
iywwqrccwe,0.2575,xngjmhduum,-312
DOg,dog,-0.4075,0.224
wobwcszqzn,rzkbjhbmfs,zaitxkoipd,0.2375
qbsqfmxuhf,-361,0.3255,-0.452
kowrynxpee,cat,-381,918
jhvgfxenqj,0.27,xjpjcdmtfi,bnfbdrigwa
0.319,0.236,ktdoyievqj,DoG
751,cAt,dOG,-0.178
744,-0.4525,-704,-800
843,dricpbjkkq,ccqvlvdcpd,966
-458,rsgfuolxbh,cujwtvzkbs,-0.101
-233,0.185,cAt,-0.2615
-0.2895,-396,-0.2115,0.151
iyfpeeyrqb,-0.2485,-0.4625,dspwrwfema
-111,0.1625,-0.053,doG
Cat,vjuvvzrril,112,uzzuypxdvj
CAt,zakeljwrsw,DOg,-154
mmudcshxov,543,mtuksubfjq,DOG
219,-0.4745,-0.272,-0.198
-567,520,imudelgpre,66
sfydamkvzx,zwxhujoazc,pzltnxitxd,bjfcvctohw
-477,jkrzmryqrk,lcdjhdifie,-190
DoG,cat,qjiusxsukh,-105
0.414,boophradzn,-0.36,-75
414,DOG,0.1735,-214
iodwjypjmw,-0.43,0.383,0.4945
868,0.1245,230,eksjumcogk
ocleumydeo,-536,wtgguzisxa,jcbbybzsrg
-143,feghddbasw,148,cAt
jrmnqurmbz,oremgtnxfg,solscbzdvs,cat
0.2155,-780,0.2645,CaT
asbjzyglnv,-708,370,Dog
rfjfwvjdas,DOG,urynytrmvl,-0.0025
Cat,147,-0.334,xrtbqztdbt
-447,216,ovoeumqlku,0.4295
fxksomjsca,tmnttsrhpd,ndfgwhizdz,dOg
geyojbvrgt,-559,-476,382
0.1415,-57,-510,611
237,njvvbspdoj,0.5,-608
