rmqafftivn,oiakfmmftp,pET
sphbkmgvfy,69,cAt
-390,-372,bmdepswcyg
Cat,-0.086,caT
581,cat,DOG
-0.0125,-0.067,dog
-835,fuwcpohbex,DOg
647,0.288,cAT
680,482,rwrxqqilvy
Dog,0.2875,cat
-0.087,syknpafbxz,cAt
cuthgfkvha,cAt,caT
yubvcppuib,-347,-0.4435
CAt,-111,pydgwjmhhm
0.4775,-708,-340
chanchudrx,-0.275,dog
mzcsjbttwg,uywxpyzpbz,DOG
hcpytqkxjr,gftpblaonh,cAT
cfdscrdviu,869,dOG
974,-691,cAt
DOg,-750,dog
dmbrdtrsqg,981,cAt
-0.2095,CAt,CaT
-485,-0.064,DoG
esfaowxbya,599,CAT
658,dOG,Cat
-578,684,0.3695
cAT,DOg,cAT
-711,-304,-40
dwlsqxjiir,DOG,DoG
hdwntqecja,cat,mjfmqialhi
-931,briubflrva,-684
0.226,gubixbhfok,CaT
-0.3965,212,cAT
cmbzzvgbtc,CAT,Cat
696,Dog,mmblojvlau
CAt,utjdtrhhcm,cAT
0.0035,fceavoynsk,806
811,686,-409
263,140,CaT
cat,xkcgxjcllh,DOg
wfhpmkllyy,kiabwxbjhr,doG
413,cAt,caT
585,-0.2005,Cat
-0.0505,-548,dOg
235,-228,-392
87,-0.0615,dOg
-0.4745,0.2775,dOG
-225,pvrqdgvjvh,cdeqdyqgxw
0.0345,-0.2595,cat
wvhzxreisv,-0.2285,-0.415
-619,677,961
-232,0.4955,-71
DoG,-0.064,dog
gbniimbqhi,-810,dOG
-645,331,-0.073
xfrfofhenx,0.1045,aqutsahbwt
-0.187,0.36,-731
-0.079,-0.374,-0.019
0.227,tbskdxdwrs,DOg
0.39,0.2005,CAT
989,oevpvrzafq,Cat
945,60,CaT
-336,-707,0.02
qbufkewxrj,-0.3975,DOG
-0.475,caT,Dog
wdrnxpiuwg,CAt,cAT
435,0.387,-732
CAT,-819,DoG
DoG,buzytkdzml,dog
-0.3545,bgjyimcqxh,dog
gyczfshxuu,Dog,Cat
-0.3965,635,cAt
pnsdnnjrfo,xsvczteehi,0.1375
cat,256,dOg
elkuzueoxb,-0.0545,Dog
401,-950,dOG
xwhfivzpej,zupgilzjgp,kzqeunwvwg
grcvaqwwms,0.045,doG
cAT,0.4705,gsrmsqdpjz
ghgvszuqjz,vrtbhmjxys,dOG
wbkgqogdsq,0.4955,CAT
-204,eyvkqknnxj,CaT
lmrtigteca,ipczeqzmej,caT
-0.254,kezxpybpbi,DOG
0.4035,txlrppskab,cAT
5,htzxscdrhs,Cat
Cat,928,cat
DOG,wqojqfegmj,dOg
0.014,-0.101,-0.4595
jtmfnlgsbg,-197,931
-91,181,wugknzjbqx
cAt,DOg,Cat
360,DoG,DOg
bgopltcruc,cfvrqgzuyh,CAT
llzrkpfeme,CaT,CAT
