PET,adjyybbsrv,troqtyyrfv
cat,-0.4875,ndtfzvyoyx
cAt,972,213
dOg,uvrpsosqoi,0.335
dog,guzaglgpqe,0.116
DoG,-386,rnmrvnlegu
CAT,277,-0.3735
DOG,733,pzcebzclmh
caT,0.419,-0.124
455,-0.297,528
isauzhjwse,-546,0.2595
qmijjnctta,0.0805,972
DOG,-435,-0.3975
0.0115,-0.252,caT
DoG,jgzzpohwjr,ppdnbvrudi
-669,104,-725
cAT,rjcmszmadj,ipnzoajceu
CAt,57,-467
DOg,ytpgfedjrl,0.187
CaT,vjsbfslzdw,gfuizzlnwd
891,365,450
CAT,0.092,0.264
DOg,ihfaamlrfw,zmtssvkjqe
dog,xdvyqvernc,575
CAt,0.4345,-317
cat,cat,wcgncnyiem
0.405,dOg,0.1195
CAt,dog,-0.2895
DOg,0.2485,-391
dOG,rdwjyohjqn,dOg
CaT,-559,350
dOg,713,-0.182
CAT,0.359,0.3685
dOG,784,eehhhrokbd
DoG,0.103,tmfunucqrw
DOg,-949,zigtqylbfj
Cat,mzdylorzcw,mvvuozegnv
dOG,-0.1215,DOG
Dog,yczuhpkqbc,0.409
DOg,Cat,hyauanzsty
CaT,mmxcptgdqw,-0.1825
CAT,-0.3355,-0.41
-301,-798,0.1
DoG,0.372,-0.0025
DOG,DOg,lqahohbdpb
DOg,0.1395,567
DOG,dog,351
cat,526,oacnvbkcpi
dOg,238,0.011
doG,-0.2575,282
cAT,0.274,wgibnyudxv
-997,-0.432,0.268
dog,roghndogvb,0.358
DOg,caT,804
CAt,usvgyrglkl,0.3925
alvkxnkcbh,dslmefiugi,0.368
CAt,bujbkycmyz,568
DOG,679,-866
0.2485,-0.4665,llbhhaoqua
doG,CAt,-0.4385
DOg,-0.2795,ktukopympr
dOG,biitmhilxb,CaT
CAt,ujnlbhjszs,cvpweysmcx
dog,-385,0.4335
doG,dog,-0.231
Dog,DOG,cwamygicho
nyitpnrtvi,-787,nbqrnqboqs
dOg,-0.162,0.4115
DoG,-567,829
-0.3965,dog,pnrslfkodv
CAt,gqrmjmdgdq,0.311
caT,hesbofjaeu,-0.2945
dog,qekrfwmhjn,doG
caT,0.331,jyeqcyymna
CaT,ucxfohlxsp,abjthwgvot
DOG,zhkuhsnyqc,wkrsdbvhsl
dOg,949,0.128
cAt,-952,dog
Cat,bhosktjpzn,uvvmuzgwlf
dOG,txsqlhzdlf,cAT
cAT,-468,CAT
DoG,ieaxbeauqo,rwqfkewxov
dOg,jykfioxiwc,-0.377
cat,oletdabwvz,-290
