pfcivzaynl,cgxihrosvc,dbzcjcaxrh,Pet
-0.416,nwiwbmempg,62,dOG
DoG,rvvkqbasmn,DOG,DOg
-0.209,-0.2045,0.468,caT
945,rysnqpypmy,-0.2675,dOG
ezkkxzjphi,0.2235,-373,dOG
500,-596,DoG,ilxdujqeok
-0.324,edubfglaop,0.2655,725
0.402,doG,749,dOg
-0.4905,wgvuuqmxal,380,-559
rjbbocwxvr,-318,-0.2075,DOG
-53,408,pszefeovtn,cAT
-819,kufqwbahxb,taltmhjasq,CAT
778,0.142,0.0025,cAT
109,-463,0.289,likiolbdwt
-0.3795,pggehzkrkv,djskaaayln,cAt
-505,-288,ouiouhguaa,caT
zvvsikgufy,cat,0.3615,caT
-0.276,-0.3125,DOg,cAt
zbnewakdof,0.2625,-0.4905,-0.0755
dOG,exzwxzkikw,-338,Cat
0.47,0.136,dqfvczovyh,DOG
brgotstwvz,495,0.417,dOG
-0.3305,srgxftbhds,0.318,-0.053
CAt,tdnmskirtt,cvrexlhsne,CAT
kxpyneokzd,-0.102,mdrloopgym,igihykechs
jnkqohlurn,-9,dog,19
vujdudnbli,0.08,255,gzjguvdtcw
xmgerdvtsw,738,-0.016,DoG
doG,-129,sxetjovqlx,Cat
409,-757,twubkwbnzr,cAt
gebawesxal,-0.083,882,cAT
xmcnsgxyie,rxaeifblkn,vyxxgiqopx,-0.053
uslypztxbn,35,0.1245,caT
cAt,-444,xgbubwcjbg,dog
-591,Cat,-0.3125,ccljaahrgk
-0.3055,nrcupjfjef,0.251,-18
cAt,ypwvcwqoax,kekmpoemex,qpjedvthgw
cylgvclbfd,0.4875,245,dOg
vqxmqzekmg,773,doG,-0.4315
dog,Cat,-764,xaanoxkiru
64,gbjokwqlyi,dOg,doG
oducgzlfis,CaT,-698,cat
-525,130,leczbssliw,-356
eqbfwoatro,Dog,0.3905,dOG
0.234,CaT,0.0135,CAt
-338,249,Dog,CaT
-471,-318,cAT,0.07
DOG,-0.182,0.0645,Dog
Cat,cAT,Dog,DoG
-124,isotyqybqj,cat,-776
oexlbeufem,-181,0.402,doG
394,-0.203,-280,DoG
-0.346,xjiydrmlow,723,lkeubsksvh
0.4875,243,caT,cat
0.0475,205,vfuldcrpea,Cat
drfcmizbfk,sbdunetnpg,bdzpddndkj,buzqljouwt
nywkekvmaj,DoG,uzjdmilibg,caT
CAT,dOG,288,cAt
caT,skytmoonjz,reveetcfce,0.1235
0.1095,cAt,839,doG
-840,-320,-856,-0.4435
-216,-0.3515,-929,CAt
0.4515,874,vpgwranksv,CAt
-0.3305,660,-607,Cat
630,429,230,120
0.0165,-0.3965,CAt,caT
-65,-0.491,-175,Dog
127,CaT,DoG,CAt
-236,0.2365,ydzttbbzql,warkhmfcnu
doG,467,932,DOG
0.181,esembmbodn,-4,340
cAT,0.399,ftwoijvbay,cat
DoG,-0.2145,Dog,doG
kgktxzcydj,cAt,omekkbieeu,CAt
0.336,gqggqdezun,vttduknjox,-0.452
-440,sibcthydkr,gnjnlzaqbi,CAt
DOg,-295,0.46,DOg
-0.494,fezeterztk,DOg,-976
-0.037,711,cat,CAT
-0.035,-0.017,yyytuhbuql,DoG
699,0.026,dxexjncxlr,dog
-0.077,qsflnwmayw,642,cAt
-892,0.371,jbzdntwbmh,CAt
Cat,611,zgrcssjttp,doG
0.392,-0.186,vzciwsqrky,cAT
0.129,0.1565,caT,CAt
-0.0995,-420,0.481,Dog
ahcnrjawjr,-0.054,0.0365,0.158
DoG,-257,0.342,fhlxctoalg
Dog,ivsnxcpsiu,-0.29,925
-0.2685,898,wggbzntgyo,DOG
423,oydmbovpac,wweqdbkkft,CaT
vcudcbkhko,khexennugk,-0.411,cAt
689,dewrjxqajy,0.3145,dOG
caT,551,brsysoygtl,CAT
DoG,fkjqplqbpl,-786,doG
-0.458,232,0.213,cAt
DOg,545,ufkmochwkl,0.0025
