PEt,orplmygzfc,kpsbkqonzh,wqqxwlwsri,sxacpxlhpj
cAT,-0.2825,-862,816,374
dog,natihjfrno,kwkyggxzcv,-0.436,751
209,cat,-0.4185,-0.385,eldbdabvtd
qfegtwmond,wamcnvqfvv,vukuijmdza,bsiyuiqnry,bidcmanktj
caT,gggwxaxosv,doG,-977,0.0005
DOG,Dog,617,173,0.0105
728,0.4945,Cat,dOg,506
dog,tfizpqfczc,-0.119,818,uhsfezpdrz
-51,ievpmpxzkd,Cat,CaT,-904
DOg,-460,vozmktzojy,Cat,-503
dOg,-0.3625,0.0645,-0.297,-0.2855
-0.0955,vdgdewivvn,-357,271,fvsqlqypsp
rpulsfukpe,xxejajdqbd,oksyxqjokh,0.1945,0.0795
CAT,-947,-0.3945,-682,nzuqfkdsln
-0.4485,-0.1165,-973,-0.4555,jwueasjlfo
CAT,-155,vsnzrhplrq,899,chefgjxpzc
-0.425,763,dOG,DOG,-103
cat,139,254,DOg,yztmaeqfnd
doG,fmlcuvjspq,413,dOg,ljlgifskaw
0.338,0.032,0.46,416,-0.332
caT,siiqyqsjdq,-24,-736,Dog
itergwounn,tsifxyzxpp,290,0.077,txlmmablnr
dOG,fpxtduycri,0.0235,-794,mmcetbworc
caT,opfbseuqiw,xjpljhrgli,wkskzmimzp,-0.076
Cat,0.462,dOG,-0.189,hacyzjymct
Dog,-0.2725,0.0995,hyozstvifq,-740
dOg,adokjurtqd,-752,-0.074,-0.1745
110,158,-0.3525,gnrihkcbns,doG
fldtwevale,thycfhokra,-221,424,15
Dog,gztrdtqhwk,0.313,540,-0.3825
Cat,pdqyoillje,-105,41,0.47
rxjgmfnrrd,-0.4745,xjkumeeexe,0.066,0.4535
Dog,-245,-277,wuddjfpsne,-0.0685
DOG,360,cAT,dOg,wrsamlukkm
Cat,978,-802,-996,myszjskjbu
doG,-359,-871,skgkwpflxq,-0.32
caT,-0.3585,CAT,278,jncqbsjhwd
DOg,-185,-120,-386,532
doG,iqfgcuhxhi,-0.2405,pvpfzlpjxm,0.1265
cat,Dog,xnpefyfgkt,cAT,-65
Cat,0.343,fobckkdlyp,403,cat
cat,sovziebhgp,cat,qicgyvoqtw,lxpujbthrq
dOg,-50,-336,51,fmdfrkuwtr
CAT,-0.0025,480,-208,690
dOg,155,0.1735,0.29,-0.403
Cat,-48,fbsdaodbta,-3,-0.1055
CAT,hsrnujcdxd,puzuqjmwvx,0.101,-437
cAt,sylqjzicon,-0.2065,-0.2265,pmarujslli
bzkkaxuiew,-960,-987,-151,635
0.308,75,-0.0395,bvuadbuilc,xgcgmbudzf
-1,-0.4375,0.491,jdjktllwoy,caT
748,-0.204,-0.2675,0.0855,-649
cAt,0.1835,-0.464,307,DoG
Dog,gozkueeqwr,-501,kwogbpduyu,850
cat,-0.068,-0.0185,qvthwnmidy,0.4665
-0.0415,dOg,pchlpqpwzw,0.2725,alzxonmlrf
dog,gjzhngjqal,ilwfhusuzs,0.018,zkgeogjixj
Cat,-573,jnxtfywfxd,uokrylxxtz,-0.053
Dog,244,-0.204,0.1935,556
DOG,cat,410,162,-0.22
CAT,-0.285,-843,CaT,cmvtjdzjcs
Dog,blpvmjaaen,CAT,DOG,-383
0.145,DOg,-506,zbvviuzgvg,0.2415
DoG,qxzeqsrqlp,0.3345,-982,-0.39
cAT,-422,-330,grineielst,0.11
fsadmgkzei,ieippxqbil,dOg,822,4
dog,100,-0.2015,0.4005,-356
0.1135,mgspuoqafk,kltqwotoig,83,0.405
dOg,dOg,DOg,rrytwsnpzk,0.2885
