kfzjpzvtor,xhjgwheywn,wmdiqhryfw,njziaxstim,sxzgtpzvhw,kokpmfpxoh,htmlwfgqbf
-639,-0.369,-500,361,doG,-455,kaekpiqage
Cat,0.1525,-0.213,496,-0.153,cgmzcshhis,doG
-168,696,Dog,0.49,-0.284,-125,dOg
-0.0625,-0.322,-0.277,fhbascrdrq,zcyubnjsgz,320,qltwvniala
0.212,176,360,elsrkqcgzm,-276,-0.259,caT
dOG,0.26,-561,adlhvmskfn,-0.3545,jnpvqhylgh,hqcacnprpa
0.345,cat,nnjtwfoctx,-557,-575,DOg,echycetmgz
rcenqppkgw,-976,bqlkatwulk,DoG,-0.337,-0.411,632
-0.493,ndvqalsbbv,0.4515,0.028,ewltscqqil,-669,wafvcqosup
hqrxtacwzg,579,CaT,CAt,205,-0.3735,-0.0675
-221,0.159,rcfabkcrvq,kegspfoyje,auldsoftkl,dOG,388
-119,497,0.4535,chvxouaxdo,-168,-381,ywgfppeebh
0.221,316,0.4235,rjaazoggcw,mufnelwoat,0.4315,-596
0.268,0.0115,Cat,-119,198,uiahkjgkwq,doG
-412,CAt,efcobbcxla,-0.132,diirkjlftk,CaT,dOG
-0.0755,-919,wumnvgmgmo,504,-0.0305,-209,eavewntaot
-437,lnktyxuemn,-0.457,mxwdzfdmdm,cat,sicpmrbbuf,lkvlalmxsl
dOg,0.475,DOg,bifdapgnvs,CaT,-368,xghlsbuywa
-928,610,0.3085,0.397,861,-0.49,dOg
-684,CAt,793,-0.227,cAT,0.36,rpstgosigh
-0.236,83,lvlupxdayi,-426,-455,0.2695,-970
-860,-0.032,0.2555,577,-636,484,kihfdjfbrj
-439,-870,-0.0315,-425,-0.0545,784,nncraammgg
-0.041,CAt,Cat,0.3405,fuuczlapuq,-948,-645
-0.051,-0.2975,307,DoG,-194,0.177,doG
dOg,kleaubvfog,545,Dog,-0.1505,-0.2065,-386
315,-0.2245,-716,575,0.495,Dog,zacyybbzpz
-244,-0.276,873,821,-0.143,-0.4215,160
-0.226,pkifryhpac,-956,-0.0555,-957,-309,hnvitreslx
-0.0905,0.2395,-0.2535,420,DOG,649,-865
-59,vcktebljgc,-0.2995,-0.4745,0.374,0.261,frburcvkby
167,cvixmnhkes,-953,44,0.489,0.0505,0.476
-0.382,-741,-0.3805,jbfljizykg,-421,qrnjzygcuj,0.207
xpiovfsbtu,0.424,0.412,-0.1655,605,-0.1795,caT
CAT,0.439,0.4685,635,-758,Dog,zguokfwzde
0.0125,224,0.482,ozpabvsgit,dkhhbxlzzb,doG,0.4865
cAT,-328,0.2625,eaprucqvug,DoG,-68,-0.1695
-0.2405,ctauxecgai,gzqgmynlrn,396,lykerdjsdj,-305,czdumalzja
-502,-0.312,0.4205,-425,rtkltcpvzv,0.444,doG
0.0665,0.387,193,0.0275,ylqffbhofo,cAT,569
gpjjyfffyf,-0.1565,-0.2115,-0.1575,caT,dOG,636
0.467,0.097,18,djyyxpwxcv,0.014,pyajoizulf,DoG
wzszkomobq,eifdseqhuz,Dog,olirqysgmf,0.2605,qrxwddlcyi,-175
rxqqxuyhhg,dOG,nsmtabjxhu,ogjgpbooix,dhgazhpynu,0.027,-0.2925
vlsydnpmzr,CAt,-0.496,96,jhlwjkegcb,0.1185,wodbfmjxvl
wbwcuwhehu,szcfbykskl,dOG,698,-89,kaqsxrvsit,CaT
