hdaujssrej,fkhjtwnqyq,zjpckiluly,ggkiefnooz,fdkuzdnanh
doG,-0.0505,-867,uxfkvymjmy,0.1585
dOG,Dog,xxwhcnvyce,-400,0.276
0.006,qxhqbxfhco,CAT,fgrgfwitbo,-901
-0.019,-334,vxtnymagka,fvextdxnub,-382
-0.2925,osnumvifck,0.003,qfkwwrcahk,-0.4205
uenibvpibz,-0.2585,DOg,518,-560
doG,0.1945,dydpppxlld,534,0.1315
ofdydzvqeb,-398,hhcbgozrho,-0.0465,nejuxgralt
-958,ilmolrwgll,doG,nlpzxmwhrw,-612
wuubwzezaa,528,0.2945,0.279,cat
-0.1455,669,DOg,DOG,375
qssvliplgt,cat,194,fofyzpejlw,DOg
ehkdyzwfcf,dOg,pdfcedjkos,0.3915,enwmwoebsi
0.341,aebibelzha,445,wbwqphpybp,-611
0.1295,-0.2235,dog,nexltxtonq,Cat
cAT,-761,-0.0535,nxuifctraa,-456
114,-475,dOG,Cat,Cat
0.0685,-0.433,sxireecxtu,174,dog
-904,247,Cat,CAt,cAT
ofmapbfiih,223,dwslsxpfxc,-84,111
DOG,-492,woqsxcfuwl,136,-354
0.102,cAT,-0.2815,guvkgkoauv,29
