pet,wodxksqcaz,pumrobchyt,znxfxhqssm,gurumubcuf,qgrjwvtlrr
cat,DoG,eiqzljvxyf,-906,caT,-146
DoG,-369,CAt,0.1575,-697,0.383
ykckugapmb,kqkmxdrpdq,-959,958,ledbpnxrtd,lwvsdaogrj
CAt,fhycazmbrj,vxudhautlk,lhiyqvwxqu,abzyniuqrb,209
CaT,ekqxtsfzrj,0.1845,-449,-692,ljxjkxlftn
CaT,dOG,-864,-0.235,979,0.339
dog,-228,787,-726,-632,-0.2985
CAT,42,782,0.405,gndypluaeh,cAt
cAT,qzvfsttlwt,648,0.2725,dOG,0.287
dog,0.459,751,-748,cAt,spcphgbmhj
dOg,caT,-132,gxmkiijlwq,Dog,-0.082
hyptpfsnrt,-0.211,rcemwvhogm,-0.109,-0.179,-280
caT,caT,-672,cAt,-758,-908
Cat,-206,dog,vsmdjonsvl,ghxgyqevmi,ryeykaubhu
-555,-75,0.072,0.4925,0.3675,taqkgeprom
cat,738,oogdczqsve,0.1035,-0.362,-0.327
-191,DOG,tlmaqmllro,0.2015,Cat,-0.3625
CAt,smvgmwbbhh,-0.4615,-0.4545,-244,-0.3475
Dog,363,-0.4055,-756,0.375,585
cAT,-65,wffcpbrxjv,-861,hzxcpaihzw,rfyyphfesg
0.401,-998,0.1035,0.0995,652,0.3185
cAT,-0.249,-0.274,gkhvdutquw,-606,ejievrqvrt
0.2205,-937,jinzkiqefi,pzqzmkedmt,-24,-898
CaT,-0.193,755,CAT,0.2945,cAT
DOG,170,0.3945,mlwkloavrx,740,-347
CAT,491,-358,0.3175,-654,-995
Cat,943,0.1005,0.262,pmjpsmsffe,doG
Cat,unatnwkrwz,nzjrlaxjin,-824,-0.0825,0.4855
doG,-167,-158,sczrsgxkah,452,805
dog,-83,-587,-53,CAT,0.1345
dOG,0.1265,594,-123,dOg,xbbhjycyoj
djhvavvxgr,0.4605,0.26,yldthxgbhu,0.263,pwqgikypth
gopmaahkun,syrosbauss,zftngtjoii,771,CAT,451
CAt,zvramkpyjc,-0.4205,vruabrzehz,0.0815,0.3235
DoG,481,-648,jwkjijhcma,-0.4285,-0.2505
-285,-668,DOg,dOG,-0.124,-807
cAt,-0.4145,ypkvkffwhv,-0.4465,hkgstxmcua,xangzuifwl
DoG,-941,0.295,tfculzpqbl,dshuygcnll,uvlmtuqycs
tdhonroher,dOg,mzndjkqefd,uzotfhxewb,0.1835,DoG
cAt,395,othnbfgdrw,aohccjcfbu,-0.3615,-0.0565
hrytcniyjp,597,dOg,-0.066,-232,-0.361
0.2035,0.3615,0.104,DOg,acstuclqsc,-0.0955
-0.389,-918,0.082,CAt,636,docnyqhmid
DOG,-0.4065,ksulrhtjjl,543,445,cAt
cAt,-231,0.308,687,dOG,-986
Cat,xljsmwkpou,oynisolqlm,ygnfgtsxht,167,jevgtulfqr
0.068,-0.3965,602,838,-307,seaiogbmjg
610,0.39,368,iyfikebivc,366,0.032
cAt,njmmgfyhgg,-645,caT,396,gxzqgcemcw
CAT,0.052,-123,752,518,caT
cAT,hroukgbsfi,-0.227,-0.087,0.3335,250
0.32,numsimhmpk,ohtquthrnz,zlzpdysxhc,mczzcnrwku,461
CAt,-0.495,adwfvdifxn,-0.4135,uimrgaevzp,354
-0.0865,0.3005,-99,-0.2755,509,-0.4315
cAt,0.4605,551,jjacvqenyt,680,-0.4235
cAt,ouxhxcedmk,-0.1,807,827,-899
doG,0.278,dog,0.2885,0.315,dkidjydbzv
CAT,0.1535,axsuwenkqp,Dog,Cat,CAT
DOg,225,zgpypgiaht,-0.214,0.3975,-0.464
lpknclvkzz,hvvhoovvvz,zliksbcmyc,qhzsvqfuxs,cAT,dOG
-368,-0.4875,-0.418,cAt,CAT,-0.4
CAT,-0.081,cAT,507,-657,-932
0.431,hohovwuest,0.469,dOg,emafdjvjfi,0.47
Dog,keowqfqbnw,kpqxapjyss,cAT,300,0.025
dog,0.257,-0.2415,823,0.3765,0.2845
cAt,499,-0.106,0.0515,Dog,CaT
-751,igvndxjwqp,nelrdkrqvu,caT,doG,113
DOG,-439,-787,CAT,smwrxrbano,-260
dog,510,CaT,173,583,-525
DOG,pcjeafcdci,176,cAt,538,gclrptvaze
DOg,-0.3405,281,dog,-0.3855,613
DOg,svkftlhfry,shiqevpgrb,DoG,CAt,xyzvfxhcfc
cAt,Cat,329,DOG,dog,-0.2635
dOg,-829,cqajamskii,0.3775,ajgsjwqnnl,cAt
dog,edtmmrpals,hasljimnsi,cat,zpetwssktw,cAt
-529,0.0765,0.486,mubueklzxo,-668,ulokeslykl
cAT,CaT,799,-0.3925,282,cAt
nxerrzezzv,-137,cAt,odpifgwyrw,hvwkqyuzsv,cat
0.105,0.285,sowylawyjm,cywobbfmfn,0.4165,pbepnoebop
CaT,0.422,qyocgqtnmz,83,cAt,0.354
DoG,-0.2315,0.204,-54,-719,-0.184
