zjblglqetq,pEt,iaogmdvcan
0.1515,qikcreuyxa,-82
146,506,doG
354,caT,0.331
plbefoewvs,dog,0.3495
dOG,caT,DOG
0.01,cAt,-0.3255
0.221,-732,guurqhaeos
-1000,CAt,xcbgqfofse
cAt,dOg,0.156
0.2465,caT,-0.162
-905,DOG,911
gaokevzsge,DoG,-873
273,0.214,0.449
0.0455,CAt,dOg
kcoypeulev,cAt,0.332
0.209,dOg,594
0.2805,doG,0.0155
xmfxpoxieg,-27,0.434
758,cat,637
-158,-719,0.405
wvkkvzmcft,DoG,-231
doG,dog,aimvdmrduu
zmrjmcufvk,CAt,CAt
147,cat,gpikoqtcwb
161,Dog,fkbclnqwxa
-0.1865,Dog,xtpdjmgkoe
985,DoG,cAt
dOg,cAt,-0.492
0.3035,caT,ebpadgdvtn
rilrbzzcrx,dog,cfniyqoeav
-0.3155,dog,0.393
-0.462,-0.3815,echqcwfzty
804,-996,omhbzszuqt
818,CAt,-0.13
asvnpclpjo,cat,-56
-517,cat,-0.2015
994,Cat,-89
