peT,vaokpljrhl,sezujvcguc
cat,qpdnoprocq,hwpfuqnduv
CAT,0.423,yerxlccfzx
dOg,lkpbfljtei,0.4025
cat,-989,dOG
Dog,oeqeuddfqr,DOG
-0.4385,0.029,-0.2785
-640,0.26,cat
Cat,odchrqfqxc,oesyaiabzt
cat,-0.1085,-0.3205
DoG,DoG,0.487
cvoevrdrqp,-0.12,0.168
dOg,gdwsmcqeqo,udseyepyuz
228,ndkmvvexdp,0.368
CAt,dog,-0.341
dog,-511,jzrvcqsohj
Cat,-142,Dog
zotikxmnod,upjuceiemm,0.047
cat,-0.4865,DoG
dOG,Cat,DOg
978,-0.3495,avxpkmbhzx
rvnahuusig,0.4405,202
-476,nottdqsstt,CAt
joepwkjoos,-409,743
dOG,-0.2755,CaT
dOG,doG,-73
CaT,gwxmpjngsz,CAT
DOg,qmthkylwbe,-13
hrhzyrenyy,-822,-0.1635
cAt,-0.062,0.177
-85,CAT,0.218
caT,0.434,0.084
-839,ceasfaqpit,-0.094
-0.413,kanctqllkv,bwpnjwndac
gatkkvzxze,qsnpddkemr,-0.093
Cat,631,CaT
CaT,-133,jyxlucjrgv
DOg,0.067,cat
DOg,126,0.145
dOG,222,-0.2735
caT,-0.2825,-203
CAT,-0.15,jyastlvlmr
doG,0.0005,sugqpprqsw
tdsjddyvix,uucqkswmcd,0.3965
CAt,52,DOG
DOg,-0.4195,DoG
DOg,-0.273,-0.498
DOG,-0.3025,-893
DOG,-386,-1000
DOG,279,fgfgbaagjm
cAt,-0.4235,cicyzawqab
cAt,ikwlajwztj,dOg
dOg,hrqxiijfwj,-0.2005
dOg,CAt,-0.4605
dog,0.457,ykkwxhszlp
CAt,ocsrnjloek,-0.2235
