unkdjubiww,rskqkxnqui,pET,ujohsjusit,fejapcwpom,fosbrxaerv,ckybxzohyz
sphnhiwlxe,CAt,cAT,dog,698,410,-0.0285
jdivwlcxuq,0.4095,ugsbyshtin,0.057,495,417,joxdpxgvsg
cixwnhzqlx,684,koavfvhjfl,cmsdvgcfza,-887,0.3425,-0.0295
owtelimkdx,182,dog,-0.178,-659,877,fpdzgaizxw
rbnrudguwk,doG,0.417,0.08,-854,-0.161,-508
dOG,0.2405,CaT,219,-0.4385,-0.3765,713
eovgcqxuua,-0.0635,Dog,doG,Dog,Cat,-929
-0.451,0.3525,CaT,avulwqxjlr,0.3615,-538,dog
utdqfqhtzm,dtcychrepp,CaT,-0.2495,efjrlvzmqh,0.0995,-0.2765
-706,0.4345,-0.454,0.2645,33,-533,qozcifoarb
CAt,-0.0305,caT,615,107,ooaoftrljt,dOG
qdnijfjehy,-0.0795,cdcynzzgew,cat,-0.344,-0.35,667
-0.037,ooljsqxnct,CAT,230,-969,crdkghccwl,298
nlpdqjbvfv,548,cat,730,gvtiflclsl,-0.2005,64
-0.261,hbwwnoenhb,0.176,-842,159,0.059,262
-135,9,caT,0.248,414,DOG,117
-810,CAt,xpgaoisfyn,CAt,hvmanhiafr,-559,-656
0.013,272,0.224,dOg,-0.234,frbqapurjg,DOG
-691,qqubmurzlb,CAT,0.0185,dOg,dOG,-0.3045
-0.2255,0.093,-444,jhxjypykyu,-865,-739,cfhmtfrwnq
348,-0.376,doG,DoG,dwfobqtqtq,-667,nxzxurckxl
tgdmmiymgu,-0.344,dOG,Dog,qgojoizhvt,gedckadmvm,0.353
556,tprvnealvq,Dog,0.241,tgqwjhzbtb,0.1755,zneerrzaly
whdvxysewu,150,cAT,0.062,-0.302,291,DoG
-0.0065,cjqjtsdfqt,CAt,styhhveesc,-0.316,309,touelhohgh
clkgqasomr,0.1175,-0.452,-221,phmzaojhsc,caT,-0.11
ovcjrubzcb,eihvamarik,cAT,cat,ugllpmgmgo,-441,644
0.2545,vyabpaiayv,DoG,-446,-512,ejvsfhfqjo,atfeylyytp
-0.1965,ximqvxzxoa,dOg,phvlsfxwtu,-313,0.1135,-0.1235
vuugtstpyz,CaT,-325,vfgpvxltgl,hajzcfzadf,ghdnjxrxai,0.1025
781,-377,caT,-0.15,784,vquyrnerdk,506
owlicmwrdm,cdrwgmhpow,eongnchhjk,590,-0.486,0.1955,-0.459
-0.0005,odryszkmyu,CAT,-0.307,tynmgdbezc,0.009,cat
