ovwbzdnpaq,otdsszalnq,phspelsigw,oeshyinpba,xcengaljuv,pet
0.2685,afnurqiknc,159,0.421,0.4955,Cat
-0.3295,DOG,DOG,0.002,-0.457,Cat
0.442,-0.175,-166,614,dOG,CAt
-82,-808,-317,-454,dpolhxovga,CAt
-0.011,irjshhdgdm,0.3925,DOg,112,DOG
68,-0.2295,DOg,caT,-210,Cat
CaT,kruotarfgz,weiynoifsb,cAT,0.356,gxxcgihuhr
ovhlxrqwry,doG,dOG,0.268,-662,doG
dhnxzlqdcc,0.2215,0.037,CaT,-0.241,caT
0.4335,-363,0.0495,485,iplntdkaah,cat
CAT,-853,366,-0.0115,0.4525,Dog
bodbuxnxgc,145,-0.068,xeytnynqgn,nvcbcrdvzn,DOg
899,cAT,birxihjedh,wljpvwmfiz,165,DoG
-0.0925,-292,-588,doG,-151,0.36
339,-0.3835,DoG,kioqerwuup,doG,-0.24
689,DOg,-595,-0.0995,-114,CaT
fcgvncrmaq,0.395,vlqumevyct,-349,958,wwvnbijrbc
-106,dOg,srnfixmwck,dog,-0.459,-787
0.206,0.0345,CAt,caT,869,dOg
ogcsguklpd,993,-0.2035,lzzxofjqbv,CaT,lxtgqnoouf
-0.109,-934,-925,0.1065,faiwuaepkb,DOg
-475,hcadtshhwi,24,0.3955,Cat,dog
-0.4185,ekluowbojl,0.2245,734,asukchzjpx,caT
-135,-0.4845,lucdujqlbh,DOg,0.2815,caT
CAt,562,-0.0335,jjgdnfbqpl,jtybeydzkd,CAt
-76,0.4605,0.4575,755,-892,mewmpoonux
361,282,-735,0.1715,-0.437,DOG
-0.374,uxnonqdqvs,mlhgjglywb,ntshucjudu,-143,DOg
210,-477,30,cAt,-0.31,-174
betdbpvuln,cat,646,826,burjfngiel,CaT
934,ovvhuzsqub,iqoqjtrmlh,412,371,CAT
0.065,-0.162,cAT,0.343,-0.4485,-387
-0.182,0.281,101,180,408,cAt
iolgfviqva,913,DOG,-0.031,0.3775,Dog
pwlcpyxxwa,-242,usuhsdqqlr,620,hsifnxmwwk,CaT
nmiqpcsrtu,0.2365,-0.053,0.283,0.353,CAT
dmvmdpvneo,-0.109,971,109,tjauzmouoz,dog
424,-0.0325,752,-611,0.447,dOG
-0.349,DOG,pckkgcictd,vuzjviywgk,ffggczdivc,cAt
jqgzfgeftj,yamdgvocow,dOG,0.1695,-0.072,Cat
-0.4875,-0.4885,drzopqotzm,-939,CAt,dOg
437,-260,-869,qqrppmjkqe,CAt,DoG
cAT,CAt,dOG,-0.141,jjbnsatqrs,cat
tiotuuqnhk,cAT,etfnhuvleo,Dog,ucmhnxmqfp,cat
tjaknszihm,hoffnjexcw,0.459,CaT,DOg,cAt
wzgfcnamrz,389,sbamtowpsl,0.0615,cAt,cAt
804,ypuhoesohs,CAT,-0.0655,wmjkghdbqz,-771
722,-274,0.0635,hfdsgksvve,-0.408,Cat
0.4265,ihatgljksz,-0.1705,sjeayhipjj,cdsgxibjgx,-404
lahydogqif,lohqyodjms,-178,0.4145,Cat,Dog
-435,pkrjskofeo,isjjehmtpp,bhulrkrmrc,0.223,Cat
Cat,-0.0405,yofzvriixs,869,-992,0.1055
-890,-0.3295,234,580,-0.445,0.188
DOG,dOg,890,ywarzjuurx,364,CAt
0.312,-512,915,847,llucykwzui,-994
dog,cAT,-906,-639,0.489,130
-848,-374,kvioncvqti,-560,viwvlesyvg,-0.195
ozoxjhghds,-200,CaT,-922,bqzpscemmh,Dog
-0.247,doG,CAt,-149,CAT,CAt
851,-448,CAT,0.149,-658,dOG
-690,nlhyckjlsm,ohmtjxmilx,-1000,592,wdosqcpsiz
xlnslqoico,0.0515,tpeazwziih,nudeqvxqlq,wbxgvewlog,cAT
