pmebpramrw,dflqzpuhvz,tnrmqxifvr,vsfqstvtfa,bmyqptkkgo,uxsanvnims,qwzgswresk
512,cat,453,vuzntlzeiw,-0.138,481,ukdqnmjshd
-596,bicodcwkes,754,caT,944,-177,-0.134
kkmpbxwuch,-551,375,-157,-0.1885,0.1325,kvkeuadmyd
-0.348,0.446,tbsnllnjms,0.3425,pspuzrzwpi,0.002,160
532,DOG,652,CAt,cAt,dog,dOg
0.054,930,-116,-43,505,yldwqaneys,wrnrokhxkd
167,DOG,-0.313,0.0305,jbpveqxvsf,0.127,0.2685
ufvvjvdzwz,0.3735,-641,0.1095,-0.4995,bojbizkebj,ahiqnsfmba
-0.1885,Cat,0.1045,doG,CAT,0.2975,0.383
973,645,0.498,srmghptjsj,CAT,0.203,-0.058
-0.4735,DOg,424,-0.4865,fnzvkhvnim,cAT,wrnwvgcomr
-574,-792,0.0315,-0.3995,-0.2235,0.0455,ihcvmmsiri
