thnzewmnsk,fiapytvnbv,erhwccblqp,ogvkoklbss,quukunrpes,bnfmvwxyue,pfgtxnohdb
-0.3185,-0.1625,drlrnquhzq,347,64,412,0.2815
svppcoxqyz,CaT,ohxfbxljnl,907,dOG,vfblrxzzzt,-334
0.477,-217,0.212,-366,kwyhgqodyw,214,-800
ebscytaduo,-0.0875,uuxmudhnep,-0.2995,293,-0.2105,kknmtkxbkq
-920,hdtlahwtyw,-0.402,djtolalzec,zbjlefjuxx,CAt,bitukplipw
ibmdnictcj,CAT,731,avotqpwxoe,856,nldqalcsik,doG
0.352,0.4205,-0.0225,546,vmgytqgwrq,ccrkeaxjbi,fymdhbtcie
-0.0195,cAT,39,-408,-348,cAT,-0.1295
ouicdjqcef,-948,678,hsjhxlondl,mdzvybfmvi,Dog,uwfhcwtawg
740,CaT,nyccwcvima,revumoppbb,-875,0.24,-10
-0.2355,-0.459,0.255,-867,zcpsdruseu,-476,cAT
mpyslxwphe,DOG,cAt,ykpmtfddgr,DOg,ceoizdjxhc,iqmrktrghp
-0.13,DoG,-0.2755,dOg,0.3705,253,qldqtqmdzn
eorjduxren,-0.084,-0.081,0.2255,0.0415,227,mezrndlskl
dOG,-638,0.4135,-0.436,dog,864,CAT
916,Cat,0.431,caT,yusetzbkfy,-245,0.2415
qcmvhvygds,dog,cAt,0.382,kafdlpzndg,-29,llluaxgxkh
dOG,0.0725,vtblxmjoen,331,-0.0565,krkjfmoeke,cAt
0.0635,DOG,-677,754,-609,-0.371,80
fmohgusyqn,-0.498,oyyposvnaw,-0.461,CaT,-0.3965,fahnnjwwym
344,jxgqjlofuq,cat,53,-0.073,-871,ujmrcsjwdw
tlgwwtlcti,sqhqglfdqh,buinzkftsh,cAt,CaT,-414,678
cat,-0.0595,urnvxynatz,824,-0.3645,0.4745,-74
yswrtfdfck,DOg,-0.4265,-939,37,hjpnowuuyc,0.187
-489,dOG,chdvggcnts,0.3925,cAt,azttwvkrjj,geiymsqomw
DoG,bwpstztdbe,-85,902,hdmtjisolp,0.1905,-0.1395
0.3115,-759,kyjwewtsot,-996,DOg,-0.3015,doG
-655,vjbbawrypp,339,vlhljyronv,18,DoG,-683
kdveqttgoo,DoG,pydfnxmkow,395,cAt,-0.2645,-0.1665
-0.085,-152,cAt,0.2935,-231,pubtzypeom,-906
cAT,-100,cAt,jgbzkenijx,232,DOg,0.4185
ujzocgutlj,cat,ilbjbjhkob,225,qyvpxfmjil,258,bxerxupctg
werioyewiy,-0.3055,azvupqrmgg,caT,sbasdnhjdp,405,cytogiclyy
cAT,-0.373,-87,elthteqmma,pqcbjdqian,-0.1685,zhjsxtlaqp
-0.1355,-227,jqhquzvyyq,-198,778,chsmtuyqij,0.0695
0.0655,0.197,yskzfvmmnd,-62,-0.2005,-0.4545,-9
-946,0.022,-333,0.0235,899,-0.079,-0.152
cAT,147,-433,843,Dog,DOG,-910
CaT,bzbtlvldop,arvkxnhynt,fidtwoxvoq,vdocclcygl,fkcjptcppz,CAt
ufovqwpmbg,cdcdwdsazm,-278,942,0.3685,-0.3015,-738
0.0665,282,-0.1935,840,atyuzogqml,nisokcxaxt,111
hyqxdukiwb,-0.497,724,-489,751,-602,-548
-274,-783,-728,0.229,vlnafanlkn,DoG,pidornkoby
754,dOg,0.236,-495,-0.437,cAT,-0.266
240,168,CAT,933,eixkdqfbzy,Cat,538
CAt,0.0115,-0.222,841,306,-0.3155,782
0.0065,cfchvvhuwd,-0.4595,xgayghkjce,DOg,512,-961
yocqjqjeef,-163,-289,ubjjguvcny,aqwlmnsnjh,CaT,-497
0.1355,brorzdymyn,-0.3015,xywaxgutup,-0.0675,0.226,-446
kzvnrqmvqy,0.0025,fpxysbkkcx,-458,dOG,0.1945,pgnieyrdyz
dOG,259,43,caT,0.1735,928,0.399
0.01,0.1335,-412,-0.113,0.0825,-0.055,0.034
