lwmxzvxlqf,owigebxskc,viaxkndicj,tftlsljqfn,tbhkeilmqx,xkoylghsap,vjmglpicsv
gqkoqjomrr,0.156,gobablfxxx,871,djphtmdpbs,dOG,450
0.2495,94,-685,-0.0095,bcclwcjyox,eojqlrgtse,Dog
flerfygsyq,744,caT,DoG,CAT,vyasjjgwpl,662
fivymsucyw,404,caT,hvpxwhjntv,byxslmqxyg,qsznypriwc,-328
781,0.3925,DOg,DOG,-0.0885,453,qxdfcfbygi
987,0.1835,-452,-0.154,0.242,mxhzmdrabe,0.3095
440,ewbmjpyydx,-677,iqkhsnojoq,cat,Dog,0.1765
613,957,-0.282,0.0885,CAT,-56,dukohlfidv
0.3795,ongzuvoyai,0.1585,hnlzsnybzg,-811,CaT,dOg
0.119,-0.2935,-0.3355,DOG,jlpijzovga,DoG,ierfztcezx
-0.247,mpgfknksih,zqbrnmyoxf,-0.197,-0.3805,-521,0.23
qzxxiwtitq,gqexomdajl,dOg,0.341,eledqayeqn,-0.224,-0.3125
cAT,-0.245,CAt,CAT,-447,0.4125,-932
-0.051,-603,tkptntwkvq,-0.331,-0.49,tofzjoswis,riubwlftwd
CAt,-657,-808,0.0465,0.3865,Dog,-860
pgrsdjqhtq,-0.1415,-0.339,0.0675,404,-0.1105,wdhxeiyelq
349,863,avrrnxbdqw,0.2875,-0.444,Cat,-0.4605
-181,0.495,Dog,-0.288,0.071,-0.277,dOG
323,-859,jgnwncvrqn,165,doG,-276,-360
651,fotnhxabpx,-0.4545,0.124,hzaqseojrx,-0.3795,-951
0.4655,400,uzrkigzwcx,-815,-857,0.4465,72
urxxlnfwzn,-0.229,0.3285,783,yrdzgmhlko,gxwmalnjuh,owhjviseal
199,-387,-0.3785,zgjmxcrdow,gomaqegzzk,-641,-509
cAT,-0.39,445,-0.435,scwemwxrjo,iuymqdwseh,uycozpugov
0.404,jekbtdnjck,0.109,rymxstyqma,ithclwbclw,fxqzrgkqil,jzjwopmurj
xcjvriznvc,-0.4985,-0.3945,-207,-0.0925,CAt,-437
0,gcdexszirr,ybquzhuqeo,sdbayombrg,-47,caT,ggrofvikhx
183,0.2245,ppmsadfjtm,-46,-0.1065,erjtmkgzfx,-648
0.347,0.4145,etgxrvlgjo,dOG,-0.38,-521,gbejemndrg
xgzkazofmn,musfcvhqpu,uzmovllkaq,aoykfrvlds,-412,wcjzepiuzq,DOG
126,ohwxafakbg,626,-26,-465,-0.3715,ysqtekhlrr
cAT,gpvqkvgdau,cAT,151,-879,-672,0.4115
0.3025,409,dOg,-105,700,doG,998
ifolssqfpe,289,toodxnljle,-440,0.4805,tfgbboybmg,0.262
mzfiekgfjn,874,doG,0.4955,uhobugxqcv,wcacuqewlr,0.3315
0.374,-0.3735,hcxpzorcvb,cumemlahhp,oiecpqwgqp,594,628
DOG,-0.4315,-0.277,fwkepvgafw,0.209,kywzomcdhe,Dog
0.308,0.392,dafgeitdro,0.018,0.417,CAt,fkpgkwhxeg
-788,tghdjtkidi,-0.421,xhsysumdyt,675,ejeadmbdgp,-590
