gbvzdmiedr,puyyrbdapf,slyxevjzui,qbqxuhpygy,PEt,wuhlcbmprv
qwdchnoufd,-208,vunowzgxqp,-946,Dog,0.459
hvtpqfruik,-0.451,-729,cAT,CAT,-0.318
caT,vmgijbzoxi,-233,Cat,CAt,dOg
iumqaxwyzt,smsrvgtnbi,xbkofjpjra,euuawieoln,wgcjjhqbyk,0.3985
cAt,lsfqarefsn,mtnuoaawqu,-0.147,gmwwkkxhji,jedmzdzdxr
CaT,0.2995,-416,tgljqqikzb,CAT,Cat
zgtqehwrmm,0.481,sjqxczvjed,0.4675,Cat,qxbiomgctx
-0.3055,59,0.255,-0.384,CAT,0.0975
jfqgdcsnvp,aepzytqfhq,-0.094,doG,DOg,0.43
Dog,-0.234,-0.3015,pertlwzxvq,htnbfrjlov,ogcwuhgkql
0.078,-666,DOg,DOG,dOg,600
nezdgqddir,Dog,DoG,-674,dog,-448
-0.181,867,-0.1645,-0.4355,CAt,606
dzwrnglqld,-854,-143,doG,564,823
-0.3735,0.0225,0.3325,0.407,CaT,-999
123,CaT,wesvnfvlfr,219,dog,304
dgpbvxlzrs,-868,zxktirzhfb,547,DOg,-869
0.007,kkaiicjyzb,227,0.2135,cat,-0.4495
ywfzhydqid,lmanpvrkfr,-363,caT,DOg,0.42
xnstjhofwd,-0.3135,twnblzvvxl,-0.2505,-804,vbltxkouyt
CAt,nlknilybbr,-0.0785,-311,0.492,908
0.201,0.029,208,doG,Dog,vyqhbxagdy
0.0145,-81,cAt,glabqdjlvi,0.2825,-595
-56,0.3215,rgdbdznkuc,rhqtgdasmx,afcfvngkmh,-623
CaT,-0.109,odulijyzpv,-452,dog,0.1325
