rpczibbeyp,uhyzxahxmb,wduglagzty,heajoxtqgx,nptfcadsaw,vwketjzwgp
bmwdasvdrt,cAt,ljoqvkprrw,0.075,294,-676
njvpalidap,0.259,433,142,huowxjtydr,besjkaatrs
-251,zxyjwsdtca,-707,mdrqwdfvca,0.1515,-44
Dog,0.1975,-0.477,-0.4905,tqssxjmgkf,spjrdsvbel
-737,wkwtjiarzq,-0.3475,669,-141,-0.072
neptjdoqde,777,-0.3315,dOg,caT,711
0.106,-291,vfphelcqzp,CAt,-111,-696
-119,-0.212,DOG,cluoxgzurw,doG,-302
djfxpgujqi,caT,pqtiakmurf,-0.4305,0.473,ivstpaflsh
408,991,spovzaxhnw,538,dOg,xckkywqfej
498,-0.444,btgabqvryb,nrmldyisxm,-0.199,857
-0.3245,744,-0.1745,Dog,-0.0955,373
0.1745,52,-0.001,832,-0.275,argpplhkpo
-0.0645,kjgxdwlunr,0.108,-864,-548,604
-0.0265,DOg,ibzlufjzdl,zxahxvpxoi,0.161,0.1375
snrydpcnxj,-0.3675,0.373,pectlwrajp,-954,-169
cAT,-0.478,0.4445,bhhlkeabcj,731,qsucptnjrx
-0.288,229,552,832,0.0615,60
0.3305,-348,jksjqbapxu,21,0.3165,nupjyscnal
CAT,-0.431,dOG,-0.431,dOg,CAT
-0.033,0.437,zoahplsynp,423,5,0.016
caT,-0.2565,cAt,DOG,-0.3385,kqricndgis
cat,0.266,outnzkqnvx,0.3015,owismktkho,czklfqxdan
xikmilzerm,nwopcrcdnc,jlvkmiarif,-0.455,gcwjldvbci,DOg
spxxvpmcvy,-0.138,-941,93,753,0.3745
-0.455,-170,bmusgmiwqz,570,241,znvxpwabbz
rezahhpsfn,wvmyjcqlko,ejhzphwmnj,477,-0.4715,caT
502,-0.1475,220,gklywkrsur,rpohbnegpl,0.4565
428,ohrkinnuhw,doG,-0.1675,dOg,zfmfblhltd
-0.2895,-934,466,-252,778,0.0685
981,-0.1845,-0.2545,0.089,DOG,858
0.0965,snbhaprybp,0.085,Dog,-578,61
0.499,msuacvrhjs,0.285,0.2575,nlmahkcako,608
dxjxgxqmcc,pmnyoymrrg,0.405,-0.1205,0.162,dOg
gnkcvwtxsd,0.2765,0.1415,dOg,-996,0.4085
Cat,-55,vzgzlrfnep,pizlgycucc,iyuzfsezzu,0.3905
-0.002,-0.365,fpwlqpxxip,pbgihjpmjf,pmlmedtvjx,dog
pcmhgnzhjk,dOG,wnrrqvcyss,-0.245,-0.292,-617
755,-0.1165,-475,32,yoacbawgea,nvlhgjlkga
643,mmzwlavfpb,847,jnslzjubix,-170,-232
wzhaodexpc,0.1105,-24,nvvxbdsllz,871,dOg
-378,Cat,atatorwjqw,0.0865,awlkqxdxuq,-748
664,cqgvlflizq,dog,-0.4135,846,-638
0.2125,CaT,456,Dog,-924,-0.388
523,879,957,-0.213,dOg,-0.139
zyrjnspjrk,qqsofpqpfs,hhelardfyw,-0.091,yvlwfzwacz,sqfohegxzl
-0.4545,evyvnwmrxt,-32,168,zjkkkpcgmo,-0.4365
-0.373,174,0.126,-424,Cat,0.3555
cskmpaloup,CAt,242,0.407,CAt,rfstrrwdin
-906,-145,mysazhyeir,-0.475,0.224,570
bxmwwwhjyx,0.0725,466,-0.0645,-0.0975,-0.321
