inrpwpusfn,ztistxoaou,dqwfkfxmig,suyayspnpq
0.0455,541,0.0975,enlzxunwmp
559,0.267,mgddxhncgx,wiboeqjsfo
783,zxicwpxcgd,572,CAT
-0.0595,-106,-0.125,-675
-0.3725,-637,bwzlfemzgk,yhoubrwdgo
-0.212,jkzbiluykb,-181,-0.254
-684,doG,cAT,-0.4925
dOG,0.2165,-0.084,922
0.0675,48,doG,-233
xgjpwmjzpj,784,0.2215,104
-0.251,cat,-0.044,dOg
koqwvefexf,CAT,CAT,doG
DoG,ledzbzxulq,90,0.3035
caT,-427,isfbnfhqin,fqtswqpxhb
-195,-474,cAt,fggdzjlndk
-20,56,lrqjshmfls,nwjzpmnhmo
rbumnqaung,fstekamdce,0.3165,0.3955
xqvuplooui,qnmagtikqr,-0.056,872
-0.227,dog,DoG,-0.479
541,-0.499,acvgndxwpb,-679
Dog,iozpcwlfwg,glilwfyxpv,-0.4995
bxctrfsnag,478,441,-0.4365
-694,cat,gfstrzwqdr,DOG
926,291,CAT,136
DOG,0.0395,cukjxdcvwx,DoG
