qgrgsqjjdy,gtxcndoiie,pet,mtycirirsm
mqbhawhgpc,-647,caT,947
-0.473,pdzqoptyll,CAt,Cat
244,CAT,dog,0.0695
mbkcpzweyv,-758,-764,jkouvjbxun
0.0995,lnnekvzfwn,-274,DoG
-516,304,837,sgzwrabfmn
DOG,-0.3585,cat,uobpobtjzu
dOG,DOG,caT,-663
161,soeukzpvgl,dOg,-0.4355
DoG,-0.008,CaT,cat
-0.2545,iotitocoge,Cat,0.1595
plmmdcdyum,CAT,DoG,Dog
-480,-0.052,-0.43,qmloouihyn
0.0955,azcocqquyx,cAt,0.3295
925,680,CAt,DOG
120,0.121,0.0625,0.2725
Cat,ujgvsoagvc,DOG,wnekqvsnmf
cat,-0.078,cAT,qdljfmsjbu
-0.215,cbphzesyes,rpkqnkecmt,CaT
xwlaclgcic,-0.047,CaT,DoG
DOG,liowpbsphk,-0.3985,lriffgmzkp
CAt,876,DOg,0.0405
-0.3485,-502,dOG,xfnrwoyeuc
dhemrgrrij,0.009,-367,358
-333,23,DoG,doG
371,0.333,glsvlybfry,nuhlfuimzl
-206,-196,cat,-0.028
-0.138,DOG,983,0.3325
0.465,626,-73,CaT
dog,-0.441,Cat,DOG
-0.195,0.293,siuhwrpeoc,470
doG,fxotpayjal,cat,-0.2975
-599,172,477,0.0585
180,0.381,dOg,966
caT,-940,-0.1255,-162
itaumatwrp,-0.48,0.3105,tvdymwuqbu
kivixpbbnr,296,cAT,-702
dOg,CaT,DoG,taobedyvpu
360,994,DOg,-9
719,-0.0425,dOG,-0.238
-0.0945,odvrplwtyv,-0.14,rlaarbafpu
-89,0.3515,cat,0.011
0.403,xwmvbwyudx,-694,CAT
-158,dOG,doG,-97
DoG,-663,CaT,499
136,caT,DoG,-798
ahqyyushrr,doG,Dog,0.437
569,-0.199,185,xzqjezqkds
ikgigakoih,lejvvktunj,dog,-0.2845
tyqbfdypnz,-0.3695,bofxkwyelu,3
-0.109,0.0645,Cat,-543
0.4265,837,Cat,ritsnecipo
581,CAt,doG,cwwaeqqkwp
-452,-0.018,dOG,Cat
383,-275,840,995
-0.4485,-0.445,CAT,ihlekynqgp
-0.3625,Cat,kuyqtiaush,cepenptwzy
doG,-909,CAT,-616
368,naeayqimjv,753,CAT
0.0525,706,DoG,DOG
goqwqxlaup,556,cAT,0.1075
0.404,0.325,DoG,DOg
0.381,495,cAT,xxpthsihvz
-220,-456,-0.452,-42
615,-0.082,DOg,DOg
924,DOg,doG,xrtephwqry
jvpbjwqezc,eitsvkppsy,cAt,lipehtdzuc
420,dOG,Dog,-326
dOG,72,Dog,DOg
Dog,ljpejrmxwk,CAT,qpwcwygpia
0.4445,0.163,cAT,cusifwxhgs
-382,Dog,dOg,478
-750,kfpvkkxqdl,DoG,0.319
