exwpbyuigk,fdlfdnbvng,yxqztynkhi,oypuonfrbn,jkquedmnsg
cAt,mifdlemoes,CAT,-0.324,854
293,lsfeztsaeq,DOG,-0.433,-0.359
308,430,-119,-0.5,DOG
-414,276,182,0.3775,vsnugsdzzq
0.1095,jcwxwcsvps,569,-750,-0.3005
-0.15,qtkfzgoriz,501,-718,156
0.1905,0.207,-259,bpnipzpumv,-0.1585
0.29,0.419,0.37,etdnxihbbx,CAt
0.229,-0.4905,rbofejuhaj,49,192
qvkjpmktch,140,-0.302,Dog,dOG
-0.1085,344,whsbztxzay,gvundygjnf,pwppbptiov
0.4555,0.384,-502,-0.1985,5
0.013,-539,-0.132,qyhypnnfye,938
0.155,0.4255,-507,683,-0.071
-0.3945,hotxinnnwq,-6,-0.229,-257
onagdjkfcm,puoofkumhq,doG,0.486,-211
sojwgzwdke,-201,-330,-753,0.159
DOG,281,-943,kgmuxwzjht,dOg
cAt,-0.431,786,cat,jdttvszvii
-387,uymgcdqboc,vbwwiotbna,rlczbhgwld,-899
bucawocevq,528,0.29,0.15,stvuiikcav
CaT,zhqtfoeueb,ucialahcvp,-0.0335,-228
doG,-0.262,ttlvjpqkde,475,dzzdokinsb
-415,-930,-0.2185,-907,-791
-677,pplewgretg,-0.0755,gvefngrnnr,cat
203,-0.2415,doG,278,-0.3955
hgmhplthgk,0.3535,DOG,-0.251,bduwoxmlln
CAT,0.0115,-316,kgiojwbkzd,kdwefnehss
caT,-0.359,CaT,0.259,rgydnwpajj
0.2335,-0.023,zjixqrbscv,qqcositfax,-434
ljxiidffry,cAT,0.117,-0.179,ftqazvcafv
CAt,pxyackggjj,dOG,Cat,DOg
-0.3565,DOg,wixymfmbmo,dog,DOG
CAt,iaetmygocy,Dog,-245,407
tacrbumsou,pzotjkcqeu,326,-0.365,dog
266,ifnmpphkme,-965,0.2395,qoabovbufx
-1000,0.3945,-433,DOG,-993
CAT,xrfbolohhd,assfylxbdk,0.386,0.214
-0.259,830,cAT,-214,wqnytnaixq
767,-976,noeyhmphtf,DoG,-396
-0.413,-0.499,0.06,0.0195,DOG
253,-0.2155,wijfrhxsml,CAT,-164
hdeildopvm,0.061,-779,-851,wevyqvbktw
-0.3735,0.0565,fivxkozufx,Dog,-0.215
shfcvxoumv,0.3655,bafmumharj,0.098,-490
rohuaqgifg,-0.172,Cat,606,-0.072
cat,yqqytuvbyt,caT,0.2995,0.2745
395,xpnticdsgr,0.1315,0.252,dOg
-343,tfxclrsdbf,dog,-0.3895,-0.1005
dog,-894,CaT,abgracjssh,482
cxlsabkrjn,-0.427,caT,-165,vxmyxwbmdn
0.343,-109,465,-0.291,DOg
-0.477,dOg,84,-642,0.341
-309,0.055,yqzulortzv,kcqclnskxd,mmmheagzpg
-918,xhdpztfxia,-734,0.241,adwyxxmauj
dOG,dOg,Cat,0.4315,xayhpqwzia
hccrguzzem,Dog,876,doG,-0.1405
-180,0.206,417,0.403,-0.0595
-220,qrtjubkflb,-0.1205,DOG,wnbjwglgio
0.3245,156,-738,592,-0.315
edvjvitzsk,895,-0.381,0.026,dOG
-151,usunvejzia,750,-57,788
gpautzpgbg,0.003,pquyhaqtpo,gqrkzfxzex,-413
znoqlnedqp,dOG,-446,nukdfgvdjf,-0.048
-50,doG,0.27,-241,-263
gbicoikkth,-27,Cat,fedvxevfam,utrbzntbaw
728,-540,DOG,wxdozilgye,devvoogjbg
741,-0.0525,0.034,-475,jbosdwuimo
DOg,-940,-0.4565,Dog,mhztqvlped
wdrkvusdpw,gnxgnpejlp,0.436,745,Cat
-0.099,600,DOg,clvagjypqu,CAT
jbvtfvnesv,0.333,cat,-0.092,kmlwgqyutt
-0.454,-0.19,xmucfzctpn,0.418,-0.332
vrhouwwhwy,CaT,cnpsgqrphn,aobmsicntl,415
cAt,zfeuerbsuj,-463,-0.303,CaT
993,iagsvygwcn,-232,408,-0.35
voheiujksi,-25,-572,DOg,-0.2905
-0.182,-0.1475,wwcvtbqwck,Cat,-0.2345
DOG,0.031,uwhfklqzcl,raizincsrm,0.327
